Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1995-04-04,2.9375,2.96875,2.8125,2.953125,2.275673,40387200,ABC
1995-04-05,2.90625,2.96875,2.84375,2.84375,2.19139,12236800,ABC
1995-04-06,2.84375,2.9375,2.84375,2.890625,2.227511,3776000,ABC
1995-04-07,2.90625,2.90625,2.84375,2.84375,2.19139,1920800,ABC
1995-04-10,2.84375,2.90625,2.84375,2.875,2.215471,2047200,ABC
1995-04-11,2.84375,2.90625,2.84375,2.859375,2.203429,4096800,ABC
1995-04-12,2.84375,2.875,2.84375,2.859375,2.203429,2457600,ABC
1995-04-13,2.84375,2.875,2.84375,2.875,2.215471,2297600,ABC
1995-04-17,2.84375,2.953125,2.84375,2.953125,2.275673,2233600,ABC
1995-04-18,2.890625,2.953125,2.875,2.9375,2.263633,2441600,ABC
1995-04-19,2.875,2.90625,2.8125,2.84375,2.19139,1422400,ABC
1995-04-20,2.8125,2.8125,2.71875,2.734375,2.107106,1023200,ABC
1995-04-21,2.71875,2.8125,2.71875,2.796875,2.155267,2803200,ABC
1995-04-24,2.75,2.8125,2.75,2.75,2.119145,644800,ABC
1995-04-25,2.75,2.8125,2.75,2.8125,2.167308,484800,ABC
1995-04-26,2.75,2.8125,2.75,2.75,2.119145,151200,ABC
1995-04-27,2.75,2.8125,2.75,2.78125,2.143227,3552000,ABC
1995-04-28,2.78125,2.8125,2.765625,2.765625,2.131186,1076000,ABC
1995-05-01,2.8125,2.8125,2.765625,2.765625,2.131186,2287200,ABC
1995-05-02,2.765625,2.890625,2.765625,2.84375,2.19139,1212000,ABC
1995-05-03,2.8125,2.890625,2.78125,2.859375,2.203429,791200,ABC
1995-05-04,2.84375,2.890625,2.8125,2.8125,2.167308,1011200,ABC
1995-05-05,2.8125,2.875,2.8125,2.8125,2.167308,164000,ABC
1995-05-08,2.8125,2.890625,2.8125,2.8125,2.167308,59200,ABC
1995-05-09,2.8125,2.84375,2.734375,2.75,2.119145,592800,ABC
1995-05-10,2.8125,2.8125,2.734375,2.75,2.119145,817600,ABC
1995-05-11,2.75,2.8125,2.734375,2.75,2.119145,615200,ABC
1995-05-12,2.8125,2.8125,2.734375,2.75,2.119145,1013600,ABC
