Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-03-17,0.0,2.000455,1.848522,1.848522,0.975709,1377249,ADM
1980-03-18,0.0,1.916047,1.83164,1.907607,1.006896,2353171,ADM
1980-03-19,0.0,2.034218,1.932929,1.932929,1.020261,2341324,ADM
1980-03-20,0.0,2.017336,1.958251,1.983573,1.046993,1187692,ADM
1980-03-21,0.0,1.992014,1.932929,1.932929,1.020261,294702,ADM
1980-03-24,0.0,1.94981,1.848522,1.882284,0.993529,975922,ADM
1980-03-25,0.0,1.890725,1.789436,1.806318,0.953432,1677875,ADM
1980-03-26,0.0,1.823199,1.730351,1.730351,0.913335,3360192,ADM
1980-03-27,0.0,1.738792,1.519333,1.688148,0.891058,3671184,ADM
1980-03-28,0.0,1.848522,1.671266,1.848522,0.975709,2955903,ADM
1980-03-31,0.0,1.975133,1.873844,1.932929,1.020261,669373,ADM
1980-04-01,0.0,2.000455,1.94981,2.000455,1.055903,1218792,ADM
1980-04-02,0.0,2.017336,1.958251,1.958251,1.033627,1378730,ADM
1980-04-03,0.0,1.94981,1.907607,1.932929,1.020261,903357,ADM
1980-04-07,0.0,1.932929,1.856962,1.873844,0.989074,980365,ADM
1980-04-08,0.0,1.899166,1.856962,1.899166,1.00244,494625,ADM
1980-04-09,0.0,1.890725,1.873844,1.882284,0.993529,716762,ADM
1980-04-10,0.0,1.958251,1.890725,1.94981,1.029172,1473509,ADM
1980-04-11,0.0,1.975133,1.94981,1.966692,1.038082,1329860,ADM
1980-04-14,0.0,1.94981,1.924488,1.94981,1.029172,580518,ADM
1980-04-15,0.0,1.958251,1.932929,1.94137,1.024717,174748,ADM
1980-04-16,0.0,1.992014,1.856962,1.865403,0.984618,1069219,ADM
1980-04-17,0.0,1.882284,1.823199,1.823199,0.962343,1138822,ADM
1980-04-18,0.0,1.848522,1.806318,1.823199,0.962343,808579,ADM
1980-04-21,0.0,1.806318,1.738792,1.755673,0.9267,527205,ADM
1980-04-22,0.0,1.975133,1.83164,1.958251,1.033627,1386135,ADM
1980-04-23,0.0,2.017336,1.856962,1.856962,0.980164,2695262,ADM
1980-04-24,0.0,1.924488,1.823199,1.916047,1.01135,1052929,ADM
1980-04-25,0.0,1.958251,1.865403,1.958251,1.033627,567190,ADM
1980-04-28,0.0,2.05954,1.966692,2.042658,1.078179,783403,ADM
1980-04-29,0.0,2.076421,2.025777,2.042658,1.078179,284335,ADM
1980-04-30,0.0,2.143947,2.05954,2.127066,1.122733,1135860,ADM
1980-05-01,0.0,2.143947,2.067981,2.076421,1.096001,546457,ADM
1980-05-02,0.0,2.118625,2.05954,2.110184,1.113822,414656,ADM
1980-05-05,0.0,2.194592,2.093303,2.194592,1.158375,894472,ADM
