Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2004-02-05,23.75,24.940001,23.25,24.700001,17.835268,27565200,AIZ
2004-02-06,24.709999,24.940001,24.15,24.85,17.943584,5284400,AIZ
2004-02-09,24.6,24.700001,24.0,24.469999,17.669201,3252900,AIZ
2004-02-10,24.15,24.469999,24.049999,24.35,17.582548,1651600,AIZ
2004-02-11,24.280001,24.5,24.15,24.25,17.510336,2010200,AIZ
2004-02-12,24.190001,25.0,24.17,24.68,17.820835,1637500,AIZ
2004-02-13,24.790001,24.84,24.280001,24.700001,17.835268,612000,AIZ
2004-02-17,24.75,24.9,24.5,24.6,17.763069,592300,AIZ
2004-02-18,24.6,25.4,24.35,25.4,18.340727,805700,AIZ
2004-02-19,25.25,25.98,25.25,25.68,18.54291,1494600,AIZ
2004-02-20,25.690001,25.690001,25.0,25.35,18.304626,742000,AIZ
2004-02-23,25.389999,25.389999,24.35,24.549999,17.726957,1331500,AIZ
2004-02-24,24.4,24.969999,24.209999,24.799999,17.907484,963600,AIZ
2004-02-25,24.799999,25.0,24.700001,24.85,17.943584,321700,AIZ
2004-02-26,24.85,25.27,24.6,25.24,18.225191,617200,AIZ
2004-02-27,25.15,25.75,25.110001,25.74,18.586231,1569100,AIZ
2004-03-01,25.74,26.190001,25.700001,25.799999,18.629555,851700,AIZ
2004-03-02,25.950001,25.950001,25.1,25.940001,18.730646,595600,AIZ
2004-03-03,25.700001,25.799999,25.35,25.48,18.398499,457000,AIZ
2004-03-04,25.48,25.75,24.75,25.209999,18.203527,1060200,AIZ
2004-03-05,25.02,25.639999,25.0,25.549999,18.449041,450200,AIZ
2004-03-08,25.549999,25.65,25.17,25.48,18.398499,370100,AIZ
2004-03-09,25.5,25.51,24.709999,25.0,18.051895,816200,AIZ
2004-03-10,24.799999,24.85,24.4,24.65,17.799171,1034300,AIZ
2004-03-11,24.15,24.65,24.15,24.200001,17.474237,2538500,AIZ
2004-03-12,24.34,24.65,24.25,24.5,17.690859,1501700,AIZ
2004-03-15,24.75,24.75,23.74,24.0,17.329821,1595900,AIZ
2004-03-16,24.5,24.549999,24.18,24.23,17.495901,1525800,AIZ
2004-03-17,24.200001,24.5,24.059999,24.07,17.380369,1051700,AIZ
2004-03-18,24.07,24.1,23.709999,23.799999,17.185406,1006800,AIZ
2004-03-19,23.75,23.84,23.4,23.74,17.142078,759200,AIZ
2004-03-22,23.4,23.75,23.09,23.700001,17.113203,1018700,AIZ
2004-03-23,23.75,24.0,23.51,24.0,17.329821,678300,AIZ
2004-03-24,24.0,24.049999,23.77,23.799999,17.185406,510900,AIZ
2004-03-25,23.65,24.059999,23.49,23.959999,17.300945,1499800,AIZ
2004-03-26,23.870001,24.34,23.870001,24.1,17.402037,887500,AIZ
2004-03-29,24.110001,24.440001,24.110001,24.370001,17.596996,823900,AIZ
2004-03-30,24.200001,24.75,24.18,24.719999,17.84972,739300,AIZ
2004-03-31,24.75,25.290001,24.6,25.15,18.160204,728500,AIZ
2004-04-01,25.25,25.4,24.780001,25.25,18.232407,1568800,AIZ
2004-04-02,25.360001,25.41,24.75,25.219999,18.210756,1166400,AIZ
2004-04-05,25.049999,25.530001,24.9,25.51,18.420155,544200,AIZ
2004-04-06,25.450001,26.0,25.25,25.940001,18.730646,697900,AIZ
2004-04-07,25.75,25.860001,25.4,25.73,18.579014,444100,AIZ
2004-04-08,25.84,26.26,25.700001,26.219999,18.932827,657400,AIZ
2004-04-12,26.15,26.25,25.709999,25.879999,18.687321,804000,AIZ
2004-04-13,25.98,26.16,25.15,25.25,18.232407,860800,AIZ
2004-04-14,25.25,25.450001,24.969999,25.190001,18.189095,1518700,AIZ
2004-04-15,25.299999,25.75,25.07,25.25,18.232407,1406600,AIZ
2004-04-16,25.299999,25.639999,25.049999,25.540001,18.441818,272100,AIZ
2004-04-19,25.450001,26.129999,25.450001,25.73,18.579014,627800,AIZ
2004-04-20,25.700001,25.799999,25.4,25.549999,18.449041,926200,AIZ
2004-04-21,25.5,25.58,25.0,25.200001,18.196314,980800,AIZ
2004-04-22,25.35,25.440001,25.0,25.200001,18.196314,568200,AIZ
2004-04-23,25.200001,25.219999,24.860001,25.030001,18.073557,355900,AIZ
2004-04-26,24.85,25.0,24.65,24.9,17.979694,238900,AIZ
2004-04-27,24.85,25.27,24.84,25.17,18.174646,171900,AIZ
2004-04-28,25.25,25.25,24.92,25.0,18.051895,256100,AIZ
2004-04-29,24.889999,24.950001,24.6,24.719999,17.84972,298200,AIZ
2004-04-30,24.629999,25.0,24.34,24.360001,17.589779,608100,AIZ
2004-05-03,24.559999,25.040001,24.450001,25.0,18.051895,514800,AIZ
2004-05-04,24.950001,25.02,24.5,24.75,17.871374,953800,AIZ
2004-05-05,24.9,25.0,24.6,24.690001,17.828053,304700,AIZ
2004-05-06,24.700001,24.959999,24.290001,24.65,17.799171,319600,AIZ
2004-05-07,24.5,24.799999,23.549999,24.1,17.402037,564500,AIZ
2004-05-10,24.0,24.049999,23.48,24.0,17.329821,479000,AIZ
2004-05-11,23.940001,24.49,23.719999,24.26,17.517559,418400,AIZ
2004-05-12,24.65,24.719999,23.559999,24.4,17.618647,1549800,AIZ
2004-05-13,24.25,25.280001,24.08,24.99,18.04468,753400,AIZ
2004-05-14,24.99,25.15,24.85,25.0,18.051895,750400,AIZ
2004-05-17,24.799999,24.799999,24.25,24.370001,17.596996,569600,AIZ
2004-05-18,24.5,25.049999,24.41,24.84,17.936367,852100,AIZ
2004-05-19,24.799999,25.0,24.639999,24.75,17.871374,434400,AIZ
2004-05-20,24.75,25.0,24.700001,25.0,18.103096,546500,AIZ
2004-05-21,24.99,25.0,24.879999,24.93,18.052412,469600,AIZ
2004-05-24,25.049999,25.049999,24.82,25.0,18.103096,532500,AIZ
2004-05-25,25.0,25.01,24.52,24.65,17.849659,1171200,AIZ
2004-05-26,24.700001,24.84,24.379999,24.799999,17.958273,349200,AIZ
2004-05-27,24.700001,24.99,24.549999,24.6,17.81345,615900,AIZ
2004-05-28,24.65,25.1,24.450001,25.1,18.175505,283900,AIZ
2004-06-01,25.0,25.290001,24.9,25.16,18.218956,939300,AIZ
2004-06-02,25.41,25.49,25.15,25.4,18.392752,505900,AIZ
2004-06-03,25.43,25.700001,25.290001,25.629999,18.559298,397700,AIZ
2004-06-04,25.549999,25.85,25.450001,25.799999,18.682398,240100,AIZ
2004-06-07,25.9,25.91,25.49,25.549999,18.501369,336400,AIZ
2004-06-08,25.370001,25.6,25.24,25.58,18.523085,614300,AIZ
2004-06-09,25.700001,25.9,25.48,25.52,18.479637,846300,AIZ
2004-06-10,25.6,25.6,25.4,25.459999,18.436199,543700,AIZ
2004-06-14,25.459999,25.459999,25.08,25.450001,18.428957,177900,AIZ
2004-06-15,25.5,25.85,25.440001,25.68,18.595501,559400,AIZ
2004-06-16,25.5,25.719999,25.48,25.530001,18.486885,192800,AIZ
2004-06-17,25.5,25.790001,25.450001,25.780001,18.667913,282200,AIZ
2004-06-18,25.65,25.719999,25.07,25.35,18.356546,801400,AIZ
2004-06-21,25.41,25.440001,25.24,25.299999,18.320332,207700,AIZ
2004-06-22,25.32,25.4,25.1,25.299999,18.320332,268200,AIZ
2004-06-23,25.35,25.48,25.120001,25.280001,18.305855,183200,AIZ
2004-06-24,25.1,25.799999,25.1,25.450001,18.428957,507100,AIZ
2004-06-25,25.549999,25.99,25.440001,25.99,18.819977,2268900,AIZ
2004-06-28,25.99,26.25,25.92,26.200001,18.972042,604400,AIZ
2004-06-29,26.1,26.59,26.0,26.469999,19.167555,486600,AIZ
2004-06-30,26.52,26.57,26.25,26.379999,19.102386,566700,AIZ
2004-07-01,26.379999,26.41,26.18,26.299999,19.044449,461600,AIZ
2004-07-02,26.25,26.360001,26.0,26.07,18.877914,489000,AIZ
2004-07-06,26.059999,26.059999,25.709999,25.85,18.718597,246200,AIZ
2004-07-07,25.82,26.0,25.799999,26.0,18.827225,416800,AIZ
2004-07-08,26.0,26.0,25.799999,25.85,18.718597,224500,AIZ
2004-07-09,25.92,25.98,25.709999,25.85,18.718597,155700,AIZ
2004-07-12,25.9,26.0,25.799999,25.969999,18.805504,93700,AIZ
2004-07-13,25.969999,26.030001,25.82,26.0,18.827225,545400,AIZ
2004-07-14,26.0,26.0,25.51,25.780001,18.667913,203100,AIZ
2004-07-15,25.629999,25.74,25.309999,25.469999,18.443434,292100,AIZ
2004-07-16,25.48,25.610001,25.290001,25.48,18.450682,342200,AIZ
2004-07-19,25.4,25.6,25.35,25.549999,18.501369,280600,AIZ
