Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1994-02-22,7.375,7.375,7.25,7.25,4.511818,20800,ALB
1994-02-23,7.125,7.125,6.75,6.9375,4.317345,31600,ALB
1994-02-24,6.9375,6.9375,6.8125,6.8125,4.239555,32000,ALB
1994-02-25,6.6875,6.6875,6.25,6.4375,4.006184,49800,ALB
1994-02-28,6.5,6.75,6.4375,6.625,4.12287,170400,ALB
1994-03-01,6.625,6.625,6.5,6.5625,4.083976,41600,ALB
1994-03-02,6.4375,6.5625,6.4375,6.5625,4.083976,67000,ALB
1994-03-03,6.625,6.625,6.5,6.5,4.045079,27800,ALB
1994-03-04,6.5,6.75,6.4375,6.75,4.200658,358200,ALB
1994-03-07,6.4375,6.8125,6.4375,6.75,4.200658,690800,ALB
1994-03-08,6.75,6.8125,6.75,6.8125,4.239555,515200,ALB
1994-03-09,6.8125,6.875,6.8125,6.875,4.27845,540400,ALB
1994-03-10,6.875,6.875,6.8125,6.875,4.27845,1832200,ALB
1994-03-11,6.9375,7.1875,6.9375,7.1875,4.472925,1895400,ALB
1994-03-14,7.1875,7.625,7.1875,7.5625,4.706294,1413800,ALB
1994-03-15,7.5625,7.6875,7.4375,7.4375,4.628504,1665200,ALB
1994-03-16,7.4375,7.4375,7.3125,7.4375,4.628504,717000,ALB
1994-03-17,7.4375,7.6875,7.4375,7.5625,4.722165,971200,ALB
1994-03-18,7.625,7.6875,7.625,7.625,4.761194,1178000,ALB
1994-03-21,7.625,7.6875,7.625,7.6875,4.80022,659400,ALB
1994-03-22,7.6875,7.875,7.6875,7.8125,4.878271,374000,ALB
1994-03-23,7.8125,7.9375,7.75,7.875,4.917299,430200,ALB
1994-03-24,7.8125,7.875,7.75,7.75,4.839245,747000,ALB
1994-03-25,7.8125,7.8125,7.625,7.6875,4.80022,370000,ALB
1994-03-28,7.6875,7.6875,7.625,7.625,4.761194,1116200,ALB
1994-03-29,7.625,7.6875,7.5,7.5,4.683141,595800,ALB
1994-03-30,7.5,7.5,7.3125,7.375,4.605087,653000,ALB
1994-03-31,7.375,7.4375,7.25,7.375,4.605087,448400,ALB
1994-04-04,7.125,7.375,7.125,7.375,4.605087,386600,ALB
1994-04-05,7.3125,7.6875,7.3125,7.625,4.761194,361600,ALB
1994-04-06,7.625,7.6875,7.375,7.375,4.605087,551400,ALB
1994-04-07,7.5,7.5,7.375,7.4375,4.644113,338400,ALB
1994-04-08,7.3125,7.5,7.3125,7.5,4.683141,166000,ALB
1994-04-11,7.5,7.625,7.25,7.25,4.527036,424800,ALB
1994-04-12,7.125,7.25,7.125,7.125,4.448982,602800,ALB
1994-04-13,7.125,7.3125,7.0,7.0,4.37093,504600,ALB
1994-04-14,7.0625,7.0625,6.9375,6.9375,4.331906,378200,ALB
1994-04-15,6.875,7.0625,6.875,6.875,4.292879,197600,ALB
1994-04-18,7.0,7.25,7.0,7.25,4.527036,184800,ALB
1994-04-19,7.1875,7.3125,7.1875,7.25,4.527036,122200,ALB
1994-04-20,7.3125,7.3125,7.125,7.125,4.448982,201400,ALB
1994-04-21,7.125,7.3125,6.875,6.875,4.292879,858200,ALB
1994-04-22,7.0,7.25,7.0,7.25,4.527036,411400,ALB
1994-04-25,7.1875,7.625,7.1875,7.625,4.761194,330600,ALB
1994-04-26,7.5625,7.5625,7.25,7.375,4.605087,313400,ALB
1994-04-28,7.3125,7.3125,7.125,7.3125,4.566064,161600,ALB
1994-04-29,7.25,7.3125,7.1875,7.25,4.527036,344600,ALB
1994-05-02,7.1875,7.3125,7.0625,7.1875,4.488008,135800,ALB
1994-05-03,7.25,7.4375,7.125,7.1875,4.488008,375200,ALB
1994-05-04,7.125,7.375,7.125,7.3125,4.566064,491800,ALB
1994-05-05,7.3125,7.3125,7.1875,7.25,4.527036,152800,ALB
1994-05-06,7.25,7.3125,7.25,7.25,4.527036,272800,ALB
1994-05-09,7.25,7.3125,7.25,7.25,4.527036,161600,ALB
1994-05-10,7.25,7.5,7.25,7.5,4.683141,308200,ALB
1994-05-11,7.5,7.6875,7.5,7.5625,4.722165,388600,ALB
1994-05-12,7.5,7.75,7.5,7.75,4.839245,155000,ALB
1994-05-13,7.6875,7.75,7.375,7.375,4.605087,105200,ALB
1994-05-16,7.375,7.5625,7.375,7.4375,4.644113,206800,ALB
1994-05-17,7.5,7.5625,7.4375,7.5,4.683141,422600,ALB
1994-05-18,7.5,7.5,7.4375,7.5,4.683141,130800,ALB
1994-05-19,7.4375,7.625,7.375,7.5625,4.722165,199400,ALB
1994-05-20,7.5,7.5625,7.375,7.375,4.605087,119600,ALB
1994-05-23,7.3125,7.375,7.25,7.25,4.527036,195600,ALB
1994-05-24,7.4375,7.5625,7.375,7.5625,4.722165,158200,ALB
1994-05-25,7.5,7.75,7.5,7.6875,4.80022,104800,ALB
1994-05-26,7.75,7.75,7.5625,7.75,4.839245,345800,ALB
1994-05-27,7.6875,7.8125,7.625,7.8125,4.878271,298000,ALB
1994-05-31,7.9375,8.25,7.875,8.0625,5.034376,456400,ALB
1994-06-01,8.0625,8.0625,7.875,7.875,4.917299,268200,ALB
1994-06-02,8.0,8.0625,7.8125,7.875,4.917299,81000,ALB
1994-06-03,7.8125,7.9375,7.625,7.75,4.839245,397400,ALB
1994-06-06,7.875,7.9375,7.8125,7.875,4.917299,75600,ALB
1994-06-07,7.75,7.9375,7.75,7.9375,4.956322,92800,ALB
1994-06-08,7.9375,7.9375,7.875,7.875,4.917299,107600,ALB
1994-06-09,7.8125,7.90625,7.8125,7.875,4.93296,187800,ALB
1994-06-10,7.875,7.875,7.6875,7.6875,4.815507,280600,ALB
1994-06-13,7.75,7.875,7.5625,7.875,4.93296,97600,ALB
1994-06-14,7.875,8.0625,7.8125,8.0625,5.050409,339800,ALB
1994-06-15,8.0,8.1875,8.0,8.1875,5.12871,305200,ALB
1994-06-16,8.125,8.5,8.0625,8.5,5.324462,393800,ALB
1994-06-17,8.5,8.5,8.25,8.25,5.167861,407200,ALB
1994-06-20,8.125,8.25,8.0625,8.125,5.089561,47800,ALB
1994-06-21,8.125,8.5,8.125,8.5,5.324462,556200,ALB
1994-06-22,8.375,8.625,8.375,8.5,5.324462,759200,ALB
1994-06-23,8.4375,8.5,8.4375,8.5,5.324462,553200,ALB
1994-06-24,8.4375,8.5,8.375,8.375,5.246159,1003800,ALB
1994-06-27,8.375,8.375,8.125,8.25,5.167861,295200,ALB
1994-06-28,8.1875,8.25,8.125,8.125,5.089561,165800,ALB
1994-06-29,8.125,8.125,8.0,8.0,5.011259,396200,ALB
1994-06-30,8.0,8.1875,8.0,8.1875,5.12871,453200,ALB
1994-07-01,8.1875,8.25,8.0625,8.125,5.089561,870200,ALB
