Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1993-06-03,14.875,15.0,14.5,14.6875,7.450087,56603000,ALL
1993-06-04,14.5625,14.6875,14.3125,14.3125,7.259872,12644400,ALL
1993-06-07,14.125,14.25,14.0,14.0625,7.133063,10043800,ALL
1993-06-08,14.0625,14.125,13.8125,13.875,7.037956,6974600,ALL
1993-06-09,13.9375,14.25,13.9375,14.125,7.164766,4043200,ALL
1993-06-10,14.0625,14.125,13.9375,14.0,7.101358,2605400,ALL
1993-06-11,14.0,14.1875,14.0,14.0,7.101358,2641600,ALL
1993-06-14,14.0625,14.125,13.875,13.875,7.037956,1806200,ALL
1993-06-15,14.0,14.0,13.875,13.9375,7.069661,2257600,ALL
1993-06-16,13.9375,14.0,13.875,14.0,7.101358,2391600,ALL
1993-06-17,14.0,14.125,13.9375,14.0,7.101358,2126800,ALL
1993-06-18,14.0,14.0,13.8125,13.8125,7.006255,2128600,ALL
1993-06-21,13.8125,13.8125,13.5625,13.6875,6.942847,2101000,ALL
1993-06-22,13.6875,13.875,13.6875,13.875,7.037956,1593600,ALL
1993-06-23,13.875,14.0,13.8125,13.8125,7.006255,1948000,ALL
1993-06-24,13.8125,14.0625,13.625,14.0625,7.133063,3305200,ALL
1993-06-25,14.25,14.3125,14.0625,14.25,7.228169,2468000,ALL
1993-06-28,14.1875,14.5,14.1875,14.5,7.354985,2522600,ALL
1993-06-29,14.4375,14.5,14.125,14.375,7.291576,1190800,ALL
1993-06-30,14.5,14.625,14.4375,14.5,7.354985,2553800,ALL
1993-07-01,14.6875,14.75,14.3125,14.75,7.481788,2857800,ALL
1993-07-02,14.4375,14.4375,14.3125,14.375,7.291576,1077200,ALL
1993-07-06,14.4375,14.5625,14.3125,14.3125,7.259872,1237600,ALL
1993-07-07,14.25,14.375,14.1875,14.25,7.228169,1667200,ALL
1993-07-08,14.3125,14.5,14.25,14.4375,7.32328,1588600,ALL
1993-07-09,14.5625,14.625,14.25,14.25,7.228169,1731200,ALL
1993-07-12,14.375,14.375,13.9375,14.125,7.164766,1738600,ALL
1993-07-13,14.1875,14.4375,14.1875,14.3125,7.259872,1305000,ALL
1993-07-14,14.3125,14.625,14.3125,14.625,7.418384,1805600,ALL
1993-07-15,14.625,14.6875,14.5625,14.6875,7.450087,1235400,ALL
1993-07-16,14.875,15.0625,14.75,14.9375,7.576896,2590200,ALL
1993-07-19,15.0,15.1875,14.9375,15.1875,7.703712,2590000,ALL
1993-07-20,15.75,15.75,15.3125,15.3125,7.767111,3977600,ALL
1993-07-21,15.4375,15.4375,14.9375,14.9375,7.576896,1779000,ALL
1993-07-22,15.0,15.0,14.75,14.8125,7.513495,1095200,ALL
