Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1998-02-27,17.375,18.0,17.375,17.375,14.162831,50000,AMT
1998-03-02,17.25,17.25,17.0,17.25,14.060942,75000,AMT
1998-03-03,17.125,17.125,16.75,17.125,13.959057,35000,AMT
1998-03-04,15.75,15.75,15.5,15.75,12.838254,60000,AMT
1998-03-05,16.125,16.125,16.125,16.125,13.143925,400,AMT
1998-03-06,16.125,16.375,16.125,16.125,13.143925,3600,AMT
1998-03-09,16.125,16.5,15.875,15.875,12.940144,3200,AMT
1998-03-10,15.875,16.875,15.875,16.25,13.245819,56800,AMT
1998-03-11,16.25,16.5,16.125,16.25,13.245819,10400,AMT
1998-03-12,16.25,16.375,16.125,16.375,13.347709,3800,AMT
1998-03-13,16.5,16.5,16.5,16.5,13.449595,1000,AMT
1998-03-16,16.5,16.5,16.125,16.125,13.143925,7700,AMT
1998-03-17,16.125,16.125,15.75,15.875,12.940144,28000,AMT
1998-03-18,15.875,16.125,15.75,16.125,13.143925,45700,AMT
1998-03-19,16.125,17.375,16.0,17.125,13.959057,383600,AMT
1998-03-20,17.25,17.75,17.25,17.75,14.468503,275600,AMT
1998-03-23,17.75,19.0,17.375,18.875,15.385527,398600,AMT
1998-03-24,18.875,19.875,18.875,19.75,16.098761,261800,AMT
1998-03-25,19.75,20.125,19.5,19.875,16.200651,135600,AMT
1998-03-26,19.875,19.875,19.25,19.625,15.996873,26300,AMT
1998-03-27,19.625,19.75,18.375,19.25,15.691199,62200,AMT
1998-03-30,19.25,19.875,19.25,19.875,16.200651,49500,AMT
1998-03-31,19.875,20.25,19.875,20.125,16.404432,79000,AMT
1998-04-01,20.125,20.625,20.0,20.5,16.710108,150100,AMT
1998-04-02,21.75,23.375,21.75,23.25,18.951706,140500,AMT
1998-04-03,23.25,26.125,21.75,24.75,20.174398,458700,AMT
1998-04-06,24.75,26.0,23.0,24.0,19.563053,105300,AMT
1998-04-07,24.0,24.0,22.125,22.125,18.034693,152800,AMT
1998-04-08,22.125,23.0,21.0,22.5,18.340366,45100,AMT
1998-04-09,22.5,23.0,22.25,23.0,18.747925,151400,AMT
1998-04-13,23.0,23.25,22.375,22.625,18.442253,85900,AMT
1998-04-14,22.625,23.0,22.5,22.75,18.54414,322900,AMT
1998-04-15,22.75,22.875,21.5,21.75,17.729017,23100,AMT
1998-04-16,21.75,21.75,20.875,21.25,17.321451,55400,AMT
1998-04-17,21.25,21.625,21.0,21.625,17.627129,15100,AMT
1998-04-20,21.625,22.125,21.25,22.125,18.034693,92900,AMT
1998-04-21,22.125,22.125,21.75,22.125,18.034693,23100,AMT
1998-04-22,22.125,23.625,22.125,23.0,18.747925,60900,AMT
1998-04-23,23.0,23.5,23.0,23.5,19.155489,242300,AMT
1998-04-24,23.5,23.625,22.0,22.0,17.932796,100900,AMT
1998-04-27,22.0,22.5,19.875,20.875,17.015783,52200,AMT
1998-04-28,20.875,21.875,20.75,21.5,17.525232,29100,AMT
1998-04-29,21.5,22.5,21.0,22.5,18.340366,101300,AMT
1998-04-30,22.5,23.25,22.375,23.0,18.747925,116300,AMT
1998-05-01,23.0,23.125,22.0,22.125,18.034693,61000,AMT
1998-05-04,22.125,22.25,21.25,21.625,17.627129,58400,AMT
1998-05-05,21.625,21.75,20.75,21.25,17.321451,44000,AMT
1998-05-06,21.25,22.0,20.875,22.0,17.932796,47300,AMT
1998-05-07,22.0,22.125,21.375,21.375,17.423346,230900,AMT
1998-05-08,21.75,22.75,21.75,22.625,18.442253,320700,AMT
1998-05-11,22.625,22.75,22.25,22.375,18.238468,375200,AMT
1998-05-12,22.375,22.625,22.0,22.0,17.932796,333300,AMT
1998-05-13,22.125,22.625,22.125,22.375,18.238468,88100,AMT
1998-05-14,22.375,22.5,22.0,22.5,18.340366,35600,AMT
1998-05-15,22.5,22.5,21.5,22.0,17.932796,69200,AMT
1998-05-18,22.0,22.125,21.0,21.5,17.525232,53200,AMT
1998-05-19,21.5,22.0,21.5,22.0,17.932796,21000,AMT
1998-05-20,22.0,22.0,21.0,21.0,17.117672,14100,AMT
1998-05-21,21.0,21.125,19.5,21.125,17.219557,116400,AMT
1998-05-22,20.75,20.75,20.25,20.625,16.811998,45100,AMT
1998-05-26,20.625,21.0,19.125,19.5,15.894984,119500,AMT
1998-05-27,19.5,19.5,18.75,19.25,15.691199,91100,AMT
1998-05-28,19.25,20.5,18.75,20.5,16.710108,163600,AMT
1998-05-29,20.5,22.5,20.5,22.5,18.340366,121900,AMT
1998-06-01,22.5,22.5,22.0,22.125,18.034693,258500,AMT
1998-06-02,22.125,22.5,22.125,22.375,18.238468,123400,AMT
1998-06-03,22.375,22.5,20.75,20.75,16.913895,180600,AMT
1998-06-04,20.75,21.0,20.0,20.75,16.913895,263200,AMT
1998-06-05,21.0,23.0,21.0,22.875,18.646032,290100,AMT
1998-06-08,23.25,23.625,22.5,23.0,18.747925,2718000,AMT
1998-06-09,23.0,23.0,22.0,22.375,18.238468,604900,AMT
1998-06-10,22.5,23.125,22.5,22.875,18.646032,149300,AMT
1998-06-11,22.875,23.0625,22.5625,23.0,18.747925,697400,AMT
1998-06-12,23.0,23.0,22.375,22.5625,18.391314,782000,AMT
1998-06-15,22.9375,22.9375,21.875,21.875,17.830904,165900,AMT
1998-06-16,21.9375,22.0,21.75,21.75,17.729017,95000,AMT
1998-06-17,21.9375,21.9375,21.5,21.9375,17.881855,57400,AMT
1998-06-18,21.9375,21.9375,21.375,21.5,17.525232,588700,AMT
1998-06-19,21.125,21.375,21.0625,21.1875,17.270506,698100,AMT
1998-06-22,21.0,21.375,20.625,21.125,17.219557,159500,AMT
1998-06-23,21.875,22.75,21.625,22.5,18.340366,234000,AMT
1998-06-24,22.5,23.0625,22.5,23.0,18.747925,275900,AMT
1998-06-25,23.0,23.625,22.6875,23.0,18.747925,223500,AMT
1998-06-26,23.25,23.625,23.125,23.375,19.053598,115800,AMT
1998-06-29,23.125,23.1875,21.625,22.875,18.646032,188900,AMT
1998-06-30,22.9375,24.9375,22.6875,24.9375,20.327242,566300,AMT
1998-07-01,25.0,25.625,24.375,24.6875,20.123451,449600,AMT
1998-07-02,24.0,24.6875,24.0,24.0,19.563053,5141900,AMT
1998-07-06,24.25,25.3125,24.1875,25.25,20.581964,991100,AMT
1998-07-07,26.0625,27.0,25.625,25.875,21.091419,1096000,AMT
1998-07-08,26.125,27.25,26.125,26.5,21.600868,431200,AMT
1998-07-09,26.5,27.125,25.625,25.9375,21.142363,659300,AMT
1998-07-10,26.125,26.625,25.75,26.25,21.397093,334700,AMT
1998-07-13,26.9375,27.3125,26.6875,27.25,22.212217,429600,AMT
1998-07-14,27.0,27.375,26.0,26.125,21.2952,509200,AMT
1998-07-15,26.625,27.0,26.25,26.9375,21.957489,225800,AMT
1998-07-16,27.375,27.375,26.5,26.9375,21.957489,233300,AMT
1998-07-17,26.875,27.4375,26.375,27.0,22.008438,479300,AMT
1998-07-20,26.75,27.4375,26.5625,27.0625,22.059381,244800,AMT
1998-07-21,27.5625,28.125,27.25,27.4375,22.365051,575300,AMT
1998-07-22,27.8125,28.125,27.5,27.75,22.619776,630200,AMT
1998-07-23,28.0,28.5,27.75,28.0,22.823568,496100,AMT
1998-07-24,27.875,28.625,27.25,27.875,22.721668,245300,AMT
1998-07-27,27.625,27.625,26.375,26.5625,21.651823,280600,AMT
1998-07-28,26.625,27.25,26.0,26.25,21.397093,421600,AMT
1998-07-29,26.375,26.75,26.25,26.25,21.397093,268000,AMT
1998-07-30,26.0,26.375,25.75,25.875,21.091419,208200,AMT
1998-07-31,26.0,26.125,24.0,24.0,19.563053,335600,AMT
1998-08-03,24.0,24.9375,24.0,24.9375,20.327242,214700,AMT
1998-08-04,24.5,24.625,22.5,23.0,18.747925,654300,AMT
1998-08-05,23.25,23.625,22.375,22.5,18.340366,446700,AMT
1998-08-06,22.5,23.5,22.5,22.875,18.646032,582600,AMT
1998-08-07,23.375,24.75,23.0,23.0,18.747925,197300,AMT
1998-08-10,23.0,23.5,22.875,23.25,18.951706,286500,AMT
1998-08-11,22.375,22.75,22.0,22.75,18.54414,231200,AMT
1998-08-12,23.5,24.375,23.3125,24.0625,19.613997,555700,AMT
1998-08-13,23.875,24.9375,23.75,24.125,19.664944,171600,AMT
1998-08-14,24.25,24.4375,23.5,23.5625,19.206434,62600,AMT
1998-08-17,23.6875,24.0,23.1875,23.1875,18.900761,107100,AMT
1998-08-18,23.375,23.375,22.25,22.3125,18.187529,111600,AMT
1998-08-19,22.3125,22.5,20.375,20.75,16.913895,213100,AMT
1998-08-20,20.75,20.75,19.75,20.125,16.404432,834700,AMT
1998-08-21,20.0,20.25,19.5,20.25,16.50633,462900,AMT
1998-08-24,20.1875,20.375,19.9375,20.0,16.30254,124100,AMT
1998-08-25,20.1875,20.375,19.875,20.0,16.30254,314800,AMT
1998-08-26,20.0,20.0,19.0625,19.5,15.894984,438900,AMT
1998-08-27,18.625,18.625,17.25,18.0625,14.723234,525400,AMT
1998-08-28,18.25,18.75,16.75,17.0,13.857163,453600,AMT
1998-08-31,17.0,17.1875,14.375,15.75,12.838254,412700,AMT
1998-09-01,16.0,17.0,15.5,17.0,13.857163,363300,AMT
1998-09-02,17.0,19.625,17.0,19.25,15.691199,813400,AMT
1998-09-03,18.5,19.25,18.5,18.875,15.385527,444100,AMT
1998-09-04,18.5,18.6875,18.0625,18.625,15.181744,78000,AMT
1998-09-08,20.125,20.1875,19.875,20.0,16.30254,922600,AMT
1998-09-09,19.75,21.0625,19.75,20.875,17.015783,394600,AMT
1998-09-10,20.625,21.0,19.9375,21.0,17.117672,483700,AMT
1998-09-11,20.75,22.375,20.625,22.125,18.034693,281400,AMT
1998-09-14,23.0,23.75,22.5625,23.0,18.747925,231600,AMT
1998-09-15,22.75,22.9375,22.375,22.9375,18.69698,816000,AMT
1998-09-16,23.1875,23.375,22.375,23.25,18.951706,1176700,AMT
1998-09-17,22.875,22.875,22.0,22.3125,18.187529,221200,AMT
1998-09-18,22.5,22.5,21.375,22.1875,18.085634,104200,AMT
1998-09-21,21.125,22.125,21.125,22.125,18.034693,137800,AMT
1998-09-22,22.1875,22.375,22.0,22.125,18.034693,250200,AMT
1998-09-23,22.1875,22.8125,22.125,22.6875,18.4932,274000,AMT
1998-09-24,22.5625,23.0,22.5625,23.0,18.747925,131300,AMT
1998-09-25,22.875,23.0,22.625,22.875,18.646032,115200,AMT
1998-09-28,22.875,23.25,22.75,22.875,18.646032,81300,AMT
1998-09-29,22.75,23.0625,22.5,23.0,18.747925,182800,AMT
1998-09-30,23.0,25.5,23.0,25.5,20.785746,613900,AMT
1998-10-01,24.5,24.75,23.75,24.4375,19.919678,438100,AMT
1998-10-02,24.375,24.5,23.40625,23.4375,19.104542,264700,AMT
1998-10-05,23.25,23.25,19.25,20.0,16.30254,309200,AMT
1998-10-06,20.0,20.0,18.3125,18.375,14.977959,338800,AMT
