Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-06-02,0.0,2.703704,2.685185,2.685185,1.104002,118800,AON
1980-06-03,0.0,2.722222,2.685185,2.722222,1.119229,141750,AON
1980-06-04,0.0,2.722222,2.703704,2.722222,1.119229,102600,AON
1980-06-05,0.0,2.740741,2.703704,2.740741,1.126843,575100,AON
1980-06-06,0.0,2.759259,2.703704,2.703704,1.111616,88425,AON
1980-06-09,0.0,2.740741,2.703704,2.722222,1.119229,151875,AON
1980-06-10,0.0,2.796296,2.703704,2.796296,1.149685,238275,AON
1980-06-11,0.0,2.907407,2.777778,2.907407,1.195368,154575,AON
1980-06-12,0.0,3.0,2.907407,2.962963,1.218209,213300,AON
1980-06-13,0.0,3.055556,2.981481,3.0,1.233437,369225,AON
1980-06-16,0.0,3.018519,2.962963,3.018519,1.24105,509625,AON
1980-06-17,0.0,3.074074,2.944444,3.0,1.233437,168750,AON
1980-06-18,0.0,3.0,2.944444,2.981481,1.225823,293625,AON
1980-06-19,0.0,2.981481,2.925926,2.944444,1.210595,53325,AON
1980-06-20,0.0,3.0,2.925926,2.962963,1.218209,71550,AON
1980-06-23,0.0,3.018519,2.944444,2.981481,1.225823,24975,AON
1980-06-24,0.0,2.981481,2.925926,2.981481,1.225823,147825,AON
1980-06-25,0.0,3.0,2.944444,2.944444,1.210595,123525,AON
1980-06-26,0.0,2.925926,2.851852,2.87037,1.18014,114750,AON
1980-06-27,0.0,2.907407,2.851852,2.87037,1.18014,109350,AON
1980-06-30,0.0,2.87037,2.796296,2.833333,1.164912,108000,AON
1980-07-01,0.0,2.944444,2.833333,2.925926,1.202981,150525,AON
1980-07-02,0.0,2.907407,2.87037,2.907407,1.195368,43875,AON
1980-07-03,0.0,3.0,2.907407,3.0,1.233437,56700,AON
1980-07-07,0.0,3.055556,2.981481,3.018519,1.24105,111375,AON
1980-07-08,0.0,2.981481,2.944444,2.962963,1.218209,110700,AON
1980-07-09,0.0,3.037037,2.962963,3.0,1.233437,33075,AON
1980-07-10,0.0,2.944444,2.907407,2.907407,1.195368,70200,AON
1980-07-11,0.0,2.888889,2.814815,2.87037,1.18014,1334475,AON
1980-07-14,0.0,2.962963,2.814815,2.944444,1.210595,256500,AON
1980-07-15,0.0,2.962963,2.888889,2.907407,1.195368,366525,AON
1980-07-16,0.0,2.962963,2.888889,2.962963,1.218209,264600,AON
1980-07-17,0.0,2.962963,2.925926,2.944444,1.210595,91125,AON
1980-07-18,0.0,2.981481,2.925926,2.981481,1.225823,193725,AON
1980-07-21,0.0,2.981481,2.944444,2.962963,1.218209,44550,AON
1980-07-22,0.0,2.981481,2.925926,2.944444,1.210595,284850,AON
1980-07-23,0.0,2.925926,2.87037,2.925926,1.202981,141750,AON
1980-07-24,0.0,2.944444,2.888889,2.907407,1.195368,168750,AON
1980-07-25,0.0,2.962963,2.907407,2.925926,1.202981,58725,AON
1980-07-28,0.0,2.925926,2.888889,2.907407,1.195368,58050,AON
1980-07-29,0.0,2.925926,2.907407,2.925926,1.202981,39825,AON
1980-07-30,0.0,2.962963,2.925926,2.944444,1.210595,452925,AON
1980-07-31,0.0,2.944444,2.888889,2.907407,1.195368,117450,AON
1980-08-01,0.0,2.907407,2.851852,2.87037,1.18014,112725,AON
1980-08-04,0.0,2.925926,2.87037,2.925926,1.202981,80325,AON
1980-08-05,0.0,2.944444,2.907407,2.907407,1.195368,74925,AON
1980-08-06,0.0,2.888889,2.851852,2.888889,1.187754,104625,AON
1980-08-07,0.0,2.888889,2.833333,2.888889,1.187754,139725,AON
1980-08-08,0.0,2.962963,2.925926,2.944444,1.210595,342900,AON
1980-08-11,0.0,2.962963,2.925926,2.925926,1.202981,56025,AON
