Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1994-03-11,20.625,20.875,20.625,20.875,7.533898,2359000,AVB
1994-03-14,20.75,20.75,20.625,20.625,7.443675,536500,AVB
1994-03-15,20.625,20.75,20.625,20.625,7.443675,215700,AVB
1994-03-16,20.625,21.375,20.625,21.375,7.714356,338600,AVB
1994-03-17,21.375,21.375,20.875,21.125,7.624129,195900,AVB
1994-03-18,21.125,21.125,20.75,21.0,7.579013,285700,AVB
1994-03-21,21.0,21.0,20.875,20.875,7.533898,38900,AVB
1994-03-22,20.875,20.875,20.75,20.75,7.488789,78400,AVB
1994-03-23,20.75,21.5,20.75,21.25,7.669239,209200,AVB
1994-03-24,21.125,21.125,21.0,21.0,7.579013,155000,AVB
1994-03-25,21.0,21.125,21.0,21.0,7.579013,91500,AVB
1994-03-28,21.0,21.125,20.875,21.125,7.624129,111200,AVB
1994-03-29,21.125,21.125,20.625,20.625,7.443675,101200,AVB
1994-03-30,20.625,20.75,20.375,20.5,7.398564,105000,AVB
1994-03-31,20.5,20.625,20.5,20.625,7.443675,108300,AVB
1994-04-04,20.375,20.375,20.0,20.125,7.263222,42300,AVB
1994-04-05,20.25,20.875,20.25,20.75,7.488789,55600,AVB
1994-04-06,20.75,20.875,20.75,20.875,7.533898,31800,AVB
1994-04-07,20.875,21.0,20.75,20.75,7.488789,52000,AVB
1994-04-08,20.75,20.75,20.5,20.5,7.398564,24000,AVB
1994-04-11,20.5,20.625,20.375,20.375,7.353448,44400,AVB
1994-04-12,20.375,20.5,20.25,20.5,7.398564,15100,AVB
1994-04-13,20.5,20.5,20.375,20.375,7.353448,30500,AVB
1994-04-14,20.375,20.5,20.375,20.375,7.353448,38800,AVB
1994-04-15,20.375,20.5,20.125,20.125,7.263222,12200,AVB
1994-04-18,20.125,20.375,20.125,20.125,7.263222,39800,AVB
1994-04-19,20.25,20.375,20.25,20.25,7.308339,24500,AVB
1994-04-20,20.25,20.25,20.125,20.25,7.308339,72000,AVB
1994-04-21,20.25,20.375,20.25,20.25,7.308339,15000,AVB
1994-04-22,20.25,20.5,20.125,20.5,7.398564,20700,AVB
1994-04-25,20.5,20.5,20.25,20.25,7.308339,27300,AVB
1994-04-26,20.375,20.5,20.375,20.5,7.398564,64000,AVB
1994-04-28,20.5,20.75,20.5,20.625,7.443675,27100,AVB
1994-04-29,20.625,20.625,20.5,20.5,7.398564,5500,AVB
1994-05-02,20.5,20.625,20.5,20.625,7.443675,11700,AVB
1994-05-03,20.625,20.625,20.375,20.5,7.398564,29000,AVB
1994-05-04,20.5,20.5,20.25,20.25,7.308339,39600,AVB
1994-05-05,20.25,20.375,20.125,20.375,7.353448,7600,AVB
1994-05-06,20.375,20.375,20.0,20.125,7.263222,13600,AVB
1994-05-09,20.125,20.25,20.125,20.25,7.308339,3700,AVB
1994-05-10,20.25,20.25,20.125,20.25,7.308339,75100,AVB
1994-05-11,20.25,20.375,20.125,20.25,7.308339,81400,AVB
1994-05-12,20.25,20.375,20.25,20.25,7.308339,7100,AVB
1994-05-13,20.25,20.375,20.25,20.25,7.308339,14500,AVB
1994-05-16,20.25,20.375,20.125,20.25,7.308339,12600,AVB
1994-05-17,20.25,20.375,20.125,20.125,7.263222,13400,AVB
1994-05-18,20.125,20.375,20.125,20.375,7.353448,6700,AVB
1994-05-19,20.375,20.5,20.375,20.5,7.398564,36500,AVB
1994-05-20,20.5,20.75,20.5,20.5,7.398564,26800,AVB
1994-05-23,20.625,21.0,20.625,21.0,7.579013,36200,AVB
1994-05-24,21.0,21.375,20.875,21.375,7.714356,116200,AVB
1994-05-25,21.625,21.875,21.625,21.75,7.849696,283300,AVB
1994-05-26,21.625,21.625,21.5,21.5,7.759468,50200,AVB
1994-05-27,21.5,21.625,21.375,21.375,7.714356,10000,AVB
