Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2009-08-06,16.5,16.91,15.56,16.18,12.020391,24197800,AVGO
2009-08-07,16.15,16.76,16.030001,16.43,12.20612,2454300,AVGO
2009-08-10,16.629999,16.629999,15.61,15.97,11.86438,2421000,AVGO
2009-08-11,15.98,16.0,15.5,15.67,11.641503,2305400,AVGO
2009-08-12,16.15,16.200001,15.66,16.0,11.886664,1451300,AVGO
2009-08-13,16.0,16.719999,16.0,16.549999,12.295274,1150600,AVGO
2009-08-14,16.5,17.0,16.25,16.6,12.332417,637800,AVGO
2009-08-17,16.27,16.370001,16.200001,16.219999,12.050109,254400,AVGO
2009-08-18,16.48,17.200001,16.35,17.07,12.681584,1446700,AVGO
2009-08-19,16.84,17.940001,16.799999,17.889999,13.290777,2070800,AVGO
2009-08-20,17.950001,17.950001,17.290001,17.76,13.194197,1882100,AVGO
2009-08-21,17.790001,17.969999,17.58,17.82,13.238775,863600,AVGO
2009-08-24,17.52,17.85,17.299999,17.5,13.001042,1021600,AVGO
2009-08-25,17.65,17.9,17.549999,17.85,13.261058,530800,AVGO
2009-08-26,17.690001,17.85,17.15,17.85,13.261058,708600,AVGO
2009-08-27,17.85,18.209999,17.549999,18.16,13.491364,1161100,AVGO
2009-08-28,18.1,19.0,18.0,18.469999,13.721665,1295000,AVGO
2009-08-31,18.35,18.4,17.809999,18.200001,13.521078,1004800,AVGO
2009-09-01,18.25,18.440001,16.940001,17.85,13.261058,1383500,AVGO
2009-09-02,17.76,18.25,17.48,17.68,13.134766,1293400,AVGO
2009-09-03,17.969999,17.969999,17.0,17.450001,12.963889,3657700,AVGO
2009-09-04,17.75,18.0,17.49,17.76,13.194197,1158600,AVGO
2009-09-08,17.76,17.93,17.450001,17.700001,13.149621,574900,AVGO
2009-09-09,17.85,17.85,17.219999,17.26,12.822741,551200,AVGO
2009-09-10,17.01,17.459999,16.950001,17.049999,12.666723,415200,AVGO
2009-09-11,17.0,17.33,16.540001,16.879999,12.54043,620300,AVGO
2009-09-14,16.639999,16.9,16.309999,16.65,12.369561,1614500,AVGO
2009-09-15,17.25,17.35,16.629999,17.18,12.763306,1986900,AVGO
2009-09-16,17.4,17.75,17.110001,17.58,13.060474,2021100,AVGO
2009-09-17,17.66,17.9,16.530001,16.639999,12.362129,1446400,AVGO
2009-09-18,16.57,17.02,16.18,16.200001,12.035248,899900,AVGO
2009-09-21,16.280001,16.629999,15.87,16.610001,12.339844,553000,AVGO
2009-09-22,16.959999,17.370001,16.82,17.25,12.815309,1114100,AVGO
2009-09-23,17.620001,17.790001,17.299999,17.4,12.926749,530300,AVGO
2009-09-24,17.33,17.85,16.75,17.49,12.993606,778800,AVGO
2009-09-25,17.48,17.48,17.1,17.129999,12.726157,468500,AVGO
2009-09-28,17.32,17.85,17.030001,17.65,13.112474,233600,AVGO
2009-09-29,17.549999,17.84,16.950001,17.030001,12.651874,356700,AVGO
2009-09-30,17.0,17.33,16.959999,17.07,12.681584,512600,AVGO
2009-10-01,17.0,17.09,16.209999,16.309999,12.116965,660500,AVGO
2009-10-02,16.200001,16.360001,15.9,16.09,11.953522,629600,AVGO
2009-10-05,16.1,16.530001,16.0,16.49,12.250692,188900,AVGO
2009-10-06,16.74,17.200001,16.440001,16.469999,12.235835,469400,AVGO
2009-10-07,16.57,16.610001,15.92,16.129999,11.98324,291700,AVGO
2009-10-08,16.110001,16.18,15.94,16.01,11.89409,557300,AVGO
2009-10-09,15.98,16.450001,15.94,16.25,12.072392,870500,AVGO
2009-10-12,16.219999,16.450001,16.040001,16.34,12.139255,1288800,AVGO
2009-10-13,16.190001,16.67,16.15,16.530001,12.28041,557300,AVGO
2009-10-14,16.84,17.0,16.540001,16.860001,12.52557,695500,AVGO
2009-10-15,17.4,17.950001,17.1,17.16,12.748449,2092000,AVGO
2009-10-16,17.23,17.23,16.209999,16.43,12.20612,1263800,AVGO
2009-10-19,16.459999,16.639999,16.059999,16.24,12.064962,2142900,AVGO
2009-10-20,16.34,16.73,16.27,16.530001,12.28041,489000,AVGO
2009-10-21,16.370001,16.91,16.110001,16.49,12.250692,233800,AVGO
2009-10-22,16.33,16.33,15.61,16.280001,12.094684,983400,AVGO
2009-10-23,16.129999,16.41,15.92,16.049999,11.923809,1134100,AVGO
2009-10-26,15.91,16.120001,15.81,15.84,11.767797,162400,AVGO
2009-10-27,15.95,15.99,15.26,15.45,11.47806,328800,AVGO
2009-10-28,15.5,15.5,14.89,14.93,11.091743,622000,AVGO
2009-10-29,14.95,15.2,14.72,15.04,11.173465,1183300,AVGO
2009-10-30,15.1,15.19,14.87,15.0,11.143745,278100,AVGO
2009-11-02,15.1,15.1,14.72,14.87,11.047168,276600,AVGO
2009-11-03,14.68,14.82,14.44,14.49,10.764859,363700,AVGO
2009-11-04,14.6,15.25,14.33,14.78,10.980306,805300,AVGO
2009-11-05,15.02,15.74,14.85,15.32,11.381478,274100,AVGO
2009-11-06,15.32,15.69,14.87,15.29,11.359194,257500,AVGO
2009-11-09,15.26,15.74,15.09,15.66,11.634072,252900,AVGO
2009-11-10,15.69,15.69,15.18,15.45,11.47806,146800,AVGO
