Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1973-02-21,0.0,5.1875,5.15625,5.15625,2.159792,22400,AVY
1973-02-22,0.0,5.203125,5.171875,5.171875,2.166337,11200,AVY
1973-02-23,0.0,5.171875,5.125,5.140625,2.153246,52800,AVY
1973-02-26,0.0,5.125,5.125,5.125,2.146703,9600,AVY
1973-02-27,0.0,5.140625,5.125,5.125,2.146703,18400,AVY
1973-02-28,0.0,5.140625,5.125,5.125,2.146703,29600,AVY
1973-03-01,0.0,5.125,5.0625,5.0625,2.123787,24000,AVY
1973-03-02,0.0,5.0625,5.03125,5.03125,2.110677,36800,AVY
1973-03-05,0.0,5.046875,5.0,5.015625,2.104121,48000,AVY
1973-03-06,0.0,5.078125,5.015625,5.078125,2.130343,12800,AVY
1973-03-07,0.0,5.125,5.0625,5.125,2.150007,97600,AVY
1973-03-08,0.0,5.109375,5.09375,5.109375,2.14345,8000,AVY
1973-03-09,0.0,5.125,5.09375,5.09375,2.136897,100800,AVY
1973-03-12,0.0,5.09375,5.0625,5.0625,2.123787,57600,AVY
1973-03-13,0.0,5.03125,5.03125,5.03125,2.110677,114400,AVY
1973-03-14,0.0,5.125,5.0625,5.109375,2.14345,226400,AVY
1973-03-15,0.0,5.21875,5.125,5.1875,2.176225,74400,AVY
1973-03-16,0.0,5.1875,5.15625,5.1875,2.176225,116000,AVY
1973-03-19,0.0,5.234375,5.171875,5.234375,2.19589,53600,AVY
1973-03-20,0.0,5.28125,5.203125,5.25,2.202446,40000,AVY
1973-03-21,0.0,5.34375,5.265625,5.28125,2.215556,65600,AVY
1973-03-22,0.0,5.265625,5.125,5.125,2.150007,69600,AVY
1973-03-23,0.0,5.140625,5.109375,5.125,2.150007,20000,AVY
1973-03-26,0.0,5.21875,5.15625,5.1875,2.176225,28800,AVY
1973-03-27,0.0,5.1875,5.15625,5.171875,2.169671,12000,AVY
1973-03-28,0.0,5.3125,5.15625,5.3125,2.228665,38400,AVY
1973-03-29,0.0,5.53125,5.34375,5.53125,2.320436,516000,AVY
1973-03-30,0.0,5.5,5.4375,5.46875,2.294214,50400,AVY
1973-04-02,0.0,5.5,5.4375,5.5,2.307324,12000,AVY
1973-04-03,0.0,5.5625,5.46875,5.5625,2.333543,53600,AVY
1973-04-04,0.0,5.609375,5.53125,5.609375,2.353209,32800,AVY
1973-04-05,0.0,5.609375,5.546875,5.546875,2.326988,21600,AVY
1973-04-06,0.0,5.578125,5.375,5.375,2.254884,79200,AVY
1973-04-09,0.0,5.375,5.34375,5.375,2.254884,48000,AVY
1973-04-10,0.0,5.375,5.296875,5.296875,2.222111,125600,AVY
1973-04-11,0.0,5.265625,5.0,5.0,2.097567,34400,AVY
1973-04-12,0.0,5.109375,5.015625,5.109375,2.14345,92800,AVY
1973-04-13,0.0,5.109375,5.078125,5.09375,2.136897,13600,AVY
1973-04-16,0.0,5.109375,5.078125,5.078125,2.130343,26400,AVY
1973-04-17,0.0,5.09375,5.078125,5.078125,2.130343,7200,AVY
1973-04-18,0.0,5.0625,5.0,5.015625,2.104121,31200,AVY
1973-04-19,0.0,5.015625,5.0,5.015625,2.104121,18400,AVY
1973-04-23,0.0,5.015625,5.0,5.0,2.097567,29600,AVY
1973-04-24,0.0,5.03125,5.0,5.0,2.097567,40800,AVY
1973-04-25,0.0,4.96875,4.796875,4.796875,2.012354,52800,AVY
1973-04-26,0.0,4.75,4.625,4.671875,1.959914,48800,AVY
1973-04-27,0.0,4.71875,4.6875,4.6875,1.966468,68000,AVY
1973-04-30,0.0,4.75,4.65625,4.75,1.992689,73600,AVY
1973-05-01,0.0,4.90625,4.78125,4.875,2.045129,56800,AVY
1973-05-02,0.0,4.875,4.859375,4.875,2.045129,27200,AVY
1973-05-03,0.0,4.984375,4.859375,4.953125,2.077903,33600,AVY
1973-05-04,0.0,5.125,4.984375,5.125,2.150007,56000,AVY
1973-05-07,0.0,5.09375,5.0,5.09375,2.136897,51200,AVY
1973-05-08,0.0,5.09375,5.0625,5.0625,2.123787,5600,AVY
1973-05-09,0.0,5.21875,5.09375,5.21875,2.189335,12800,AVY
1973-05-10,0.0,5.265625,5.1875,5.1875,2.176225,59200,AVY
1973-05-11,0.0,5.1875,5.078125,5.078125,2.130343,61600,AVY
1973-05-14,0.0,5.0625,5.03125,5.03125,2.110677,27200,AVY
1973-05-15,0.0,5.0,4.921875,4.921875,2.064792,12000,AVY
1973-05-16,0.0,4.9375,4.890625,4.890625,2.051683,11200,AVY
1973-05-17,0.0,4.875,4.78125,4.796875,2.012354,34400,AVY
1973-05-18,0.0,4.765625,4.5625,4.5625,1.91403,18400,AVY
1973-05-21,0.0,4.5625,4.515625,4.53125,1.90092,32000,AVY
1973-05-22,0.0,4.75,4.5625,4.75,1.992689,68000,AVY
1973-05-23,0.0,4.78125,4.75,4.78125,2.005798,24000,AVY
1973-05-24,0.0,4.90625,4.765625,4.90625,2.058239,36000,AVY
1973-05-25,0.0,5.09375,4.84375,5.09375,2.136897,56800,AVY
1973-05-29,0.0,5.09375,5.015625,5.015625,2.104121,44800,AVY
1973-05-30,0.0,5.03125,4.9375,4.9375,2.071347,10400,AVY
1973-05-31,0.0,4.890625,4.84375,4.84375,2.032018,20800,AVY
1973-06-01,0.0,4.96875,4.875,4.875,2.045129,29600,AVY
1973-06-04,0.0,4.875,4.84375,4.84375,2.032018,11200,AVY
1973-06-05,0.0,4.84375,4.78125,4.796875,2.012354,67200,AVY
1973-06-06,0.0,4.8125,4.78125,4.8125,2.018908,8000,AVY
1973-06-07,0.0,4.921875,4.8125,4.921875,2.064792,20800,AVY
1973-06-08,0.0,4.96875,4.921875,4.96875,2.084457,43200,AVY
1973-06-11,0.0,4.9375,4.9375,4.9375,2.071347,5600,AVY
1973-06-12,0.0,5.03125,4.96875,5.03125,2.110677,7200,AVY
1973-06-13,0.0,5.03125,4.984375,5.0,2.097567,20800,AVY
1973-06-14,0.0,5.046875,4.984375,5.046875,2.117231,32800,AVY
1973-06-15,0.0,5.03125,4.890625,4.890625,2.051683,68800,AVY
1973-06-18,0.0,4.875,4.859375,4.859375,2.038574,8800,AVY
1973-06-19,0.0,4.875,4.8125,4.8125,2.018908,105600,AVY
1973-06-20,0.0,4.875,4.8125,4.875,2.045129,15200,AVY
1973-06-21,0.0,4.9375,4.875,4.890625,2.051683,13600,AVY
1973-06-22,0.0,4.9375,4.875,4.921875,2.064792,23200,AVY
1973-06-25,0.0,4.9375,4.890625,4.9375,2.071347,11200,AVY
1973-06-26,0.0,5.0,4.953125,4.953125,2.077903,32800,AVY
1973-06-27,0.0,5.0,4.953125,5.0,2.097567,55200,AVY
1973-06-28,0.0,5.3125,5.03125,5.25,2.202446,69600,AVY
1973-06-29,0.0,5.25,5.203125,5.203125,2.182781,31200,AVY
1973-07-02,0.0,5.203125,5.15625,5.15625,2.163116,6400,AVY
1973-07-03,0.0,5.140625,5.125,5.125,2.150007,13600,AVY
1973-07-05,0.0,5.203125,5.109375,5.203125,2.182781,12000,AVY
1973-07-06,0.0,5.234375,5.171875,5.234375,2.19589,32000,AVY
1973-07-09,0.0,5.21875,5.140625,5.171875,2.169671,17600,AVY
1973-07-10,0.0,5.21875,5.140625,5.140625,2.15656,15200,AVY
1973-07-11,0.0,5.21875,5.171875,5.203125,2.182781,21600,AVY
1973-07-12,0.0,5.21875,5.21875,5.21875,2.189335,4000,AVY
1973-07-13,0.0,5.1875,5.171875,5.171875,2.169671,8800,AVY
1973-07-16,0.0,5.3125,5.203125,5.28125,2.215556,380800,AVY
1973-07-17,0.0,5.34375,5.28125,5.328125,2.235221,30400,AVY
1973-07-18,0.0,5.34375,5.3125,5.3125,2.228665,49600,AVY
1973-07-19,0.0,5.328125,5.25,5.328125,2.235221,14400,AVY
1973-07-20,0.0,5.359375,5.3125,5.3125,2.228665,23200,AVY
1973-07-23,0.0,5.328125,5.21875,5.21875,2.189335,20800,AVY
