Date,Open,High,Low,Close,Adj Close,Volume
1993-08-13,3.171875,3.187500,3.125000,3.125000,2.218977,14796800
1993-08-16,3.140625,3.140625,3.031250,3.093750,2.196787,3422400
1993-08-17,3.062500,3.093750,3.046875,3.046875,2.163503,732800
1993-08-18,3.046875,3.125000,3.046875,3.093750,2.196787,1084800
1993-08-19,3.078125,3.156250,3.062500,3.156250,2.241167,832800
1993-08-20,3.156250,3.203125,3.140625,3.187500,2.263357,464000
1993-08-23,3.171875,3.171875,3.140625,3.140625,2.230072,146400
1993-08-24,3.156250,3.156250,3.125000,3.125000,2.218977,354400
1993-08-25,3.125000,3.156250,3.125000,3.156250,2.241167,214400
1993-08-26,3.156250,3.187500,3.156250,3.156250,2.241167,287200
1993-08-27,3.156250,3.218750,3.156250,3.187500,2.263357,330400
1993-08-30,3.203125,3.218750,3.171875,3.187500,2.263357,120800
1993-08-31,3.203125,3.203125,3.171875,3.203125,2.274451,233600
1993-09-01,3.171875,3.187500,3.171875,3.187500,2.263357,196800
1993-09-02,3.187500,3.187500,3.125000,3.125000,2.218977,132000
1993-09-03,3.125000,3.156250,3.062500,3.062500,2.174597,51200
1993-09-07,3.093750,3.156250,3.093750,3.093750,2.196787,984800
1993-09-08,3.125000,3.125000,2.953125,3.000000,2.130218,208800
1993-09-09,2.968750,3.000000,2.968750,2.984375,2.119123,277600
1993-09-10,3.000000,3.000000,2.859375,2.875000,2.041459,152000
1993-09-13,2.875000,2.937500,2.875000,2.875000,2.041459,320800
1993-09-14,2.906250,2.906250,2.718750,2.718750,1.930510,1212000
1993-09-15,2.656250,2.875000,2.562500,2.875000,2.041459,1803200
1993-09-16,2.875000,2.875000,2.781250,2.859375,2.030364,248000
1993-09-17,2.828125,2.968750,2.828125,2.953125,2.096932,784800
1993-09-20,3.000000,3.031250,2.906250,2.906250,2.063649,484800
1993-09-21,2.875000,2.875000,2.781250,2.828125,2.008173,240000
1993-09-22,2.828125,2.828125,2.765625,2.796875,1.985985,152000
1993-09-23,2.781250,2.781250,2.718750,2.734375,1.941604,946400
1993-09-24,2.734375,2.828125,2.734375,2.812500,1.997079,480800
1993-09-27,2.812500,2.906250,2.812500,2.890625,2.052554,86400
1993-09-28,2.890625,2.906250,2.890625,2.890625,2.052554,98400
1993-09-29,3.125000,3.125000,3.078125,3.125000,2.218977,788800
1993-09-30,3.125000,3.312500,3.125000,3.296875,2.341021,1268000
1993-10-01,3.296875,3.296875,3.187500,3.250000,2.307736,548800
1993-10-04,3.218750,3.250000,3.203125,3.203125,2.274451,387200
1993-10-05,3.140625,3.140625,3.031250,3.031250,2.152407,482400
1993-10-06,3.031250,3.062500,3.031250,3.062500,2.174597,42400
1993-10-07,3.046875,3.078125,3.046875,3.078125,2.185693,8000
1993-10-08,3.078125,3.125000,3.078125,3.125000,2.218977,905600
1993-10-11,3.109375,3.281250,3.109375,3.281250,2.329926,713600
1993-10-12,3.265625,3.296875,3.250000,3.281250,2.329926,176800
1993-10-13,3.296875,3.296875,3.250000,3.250000,2.307736,346400
1993-10-14,3.281250,3.328125,3.281250,3.296875,2.341021,383200
1993-10-15,3.312500,3.328125,3.296875,3.296875,2.341021,144000
1993-10-18,3.296875,3.343750,3.296875,3.296875,2.341021,160000
1993-10-19,3.312500,3.312500,3.281250,3.296875,2.341021,396800
1993-10-20,3.296875,3.312500,3.296875,3.312500,2.352116,304000
1993-10-21,3.312500,3.328125,3.312500,3.312500,2.352116,90400
1993-10-22,3.312500,3.328125,3.312500,3.312500,2.352116,80000
1993-10-25,3.312500,3.328125,3.312500,3.312500,2.352116,87200
1993-10-26,3.328125,3.328125,3.250000,3.250000,2.307736,502400
1993-10-27,3.250000,3.250000,3.203125,3.203125,2.274451,40000
1993-10-28,3.203125,3.250000,3.203125,3.250000,2.307736,90400
1993-10-29,3.250000,3.343750,3.234375,3.328125,2.363212,408800
1993-11-01,3.312500,3.312500,3.296875,3.312500,2.352116,64000
1993-11-02,3.312500,3.312500,3.265625,3.312500,2.352116,287200
1993-11-03,3.296875,3.296875,3.265625,3.296875,2.341021,40800
1993-11-04,3.265625,3.281250,3.250000,3.250000,2.307736,53600
1993-11-05,3.234375,3.234375,3.187500,3.187500,2.263357,114400
1993-11-08,3.218750,3.218750,3.187500,3.218750,2.285546,150400
1993-11-09,3.187500,3.234375,3.187500,3.203125,2.274451,77600
1993-11-10,3.187500,3.187500,3.140625,3.171875,2.252262,95200
1993-11-11,3.140625,3.171875,3.140625,3.156250,2.241167,68800
1993-11-12,3.156250,3.203125,3.140625,3.140625,2.230072,271200
1993-11-15,3.140625,3.140625,3.140625,3.140625,2.230072,11200
1993-11-16,3.125000,3.171875,3.125000,3.156250,2.241167,127200
1993-11-17,3.125000,3.125000,2.984375,2.984375,2.119123,299200
1993-11-18,2.968750,2.984375,2.968750,2.968750,2.108028,20000
1993-11-19,2.968750,2.968750,2.921875,2.921875,2.074743,27200
1993-11-22,2.906250,2.921875,2.906250,2.921875,2.074743,11200
1993-11-23,2.921875,2.953125,2.906250,2.937500,2.085839,39200
1993-11-24,2.937500,3.000000,2.937500,3.000000,2.130218,162400
1993-11-26,3.031250,3.109375,3.031250,3.109375,2.207882,76800
1993-11-29,3.125000,3.140625,3.093750,3.093750,2.196787,27200
1993-11-30,3.093750,3.093750,3.078125,3.078125,2.185693,60800
1993-12-01,3.093750,3.093750,3.046875,3.046875,2.163503,140800
1993-12-02,3.015625,3.015625,3.000000,3.015625,2.141313,100800
1993-12-03,3.000000,3.000000,3.000000,3.000000,2.130218,28000
1993-12-06,3.000000,3.046875,3.000000,3.031250,2.152407,40800
1993-12-07,3.015625,3.015625,2.906250,2.921875,2.074743,240000
1993-12-08,2.890625,2.937500,2.890625,2.890625,2.052554,128800
1993-12-09,2.875000,2.890625,2.843750,2.875000,2.041459,180800
1993-12-10,2.875000,2.890625,2.859375,2.890625,2.052554,204800
1993-12-13,2.875000,2.937500,2.875000,2.937500,2.085839,121600
1993-12-14,2.968750,3.046875,2.968750,3.000000,2.130218,304800
1993-12-15,3.000000,3.109375,3.000000,3.109375,2.207882,964800
1993-12-16,3.125000,3.140625,3.093750,3.093750,2.196787,52800
1993-12-17,3.093750,3.109375,3.078125,3.109375,2.207882,27200
1993-12-20,3.109375,3.125000,3.093750,3.093750,2.196787,37600
1993-12-21,3.093750,3.125000,3.062500,3.125000,2.218977,421600
1993-12-22,3.140625,3.187500,3.140625,3.187500,2.263357,520800
1993-12-23,3.187500,3.187500,3.171875,3.187500,2.263357,31200
1993-12-27,3.187500,3.312500,3.187500,3.312500,2.352116,207200
1993-12-28,3.343750,3.375000,3.343750,3.343750,2.374305,170400
1993-12-29,3.343750,3.421875,3.343750,3.421875,2.429779,220000
1993-12-30,3.406250,3.406250,3.359375,3.359375,2.385400,404000
1993-12-31,3.375000,3.500000,3.375000,3.500000,2.485255,269600
1994-01-03,3.468750,3.468750,3.375000,3.375000,2.396496,879200
1994-01-04,3.359375,3.406250,3.359375,3.375000,2.396496,27200
1994-01-05,3.375000,3.468750,3.343750,3.437500,2.440875,119200
1994-01-06,3.437500,3.468750,3.390625,3.437500,2.440875,127200
1994-01-07,3.406250,3.406250,3.359375,3.375000,2.396496,78400
1994-01-10,3.375000,3.375000,3.343750,3.359375,2.385400,404800
1994-01-11,3.343750,3.359375,3.343750,3.343750,2.374305,344800
1994-01-12,3.312500,3.375000,3.296875,3.375000,2.396496,329600
1994-01-13,3.375000,3.375000,3.328125,3.359375,2.385400,64000
1994-01-14,3.375000,3.406250,3.359375,3.406250,2.418685,170400
1994-01-17,3.406250,3.437500,3.390625,3.437500,2.440875,87200
1994-01-18,3.468750,3.562500,3.468750,3.562500,2.529634,196800
1994-01-19,3.531250,3.593750,3.531250,3.593750,2.551823,132800
1994-01-20,3.593750,3.671875,3.593750,3.671875,2.607298,119200
1994-01-21,3.656250,3.781250,3.640625,3.750000,2.662772,209600
1994-01-24,3.781250,3.843750,3.750000,3.781250,2.684962,1111200
1994-01-25,3.765625,3.765625,3.718750,3.750000,2.662772,252800
1994-01-26,3.718750,3.781250,3.718750,3.781250,2.696196,196000
1994-01-27,3.781250,3.859375,3.781250,3.859375,2.751903,272000
1994-01-28,3.843750,3.843750,3.765625,3.843750,2.740762,228000
1994-01-31,3.812500,4.093750,3.812500,4.093750,2.919022,601600
1994-02-01,4.078125,4.078125,3.968750,3.968750,2.829892,346400
1994-02-02,3.968750,4.000000,3.953125,3.953125,2.818750,84800
1994-02-03,3.937500,3.968750,3.937500,3.968750,2.829892,118400
1994-02-04,4.062500,4.078125,4.000000,4.015625,2.863316,390400
1994-02-07,3.968750,4.031250,3.937500,4.031250,2.874458,148800
1994-02-08,4.031250,4.093750,4.000000,4.093750,2.919022,654400
1994-02-09,4.125000,4.218750,4.125000,4.187500,2.985870,1688000
1994-02-10,4.187500,4.187500,4.078125,4.109375,2.930164,215200
1994-02-11,4.078125,4.078125,4.000000,4.000000,2.852174,69600
1994-02-14,3.968750,3.968750,3.875000,3.906250,2.785327,291200
1994-02-15,3.906250,3.906250,3.796875,3.796875,2.707338,45600
1994-02-16,3.765625,3.828125,3.765625,3.828125,2.729620,400000
1994-02-17,3.796875,3.906250,3.796875,3.906250,2.785327,119200
1994-02-18,3.937500,3.984375,3.937500,3.937500,2.807611,174400
1994-02-22,3.968750,4.000000,3.968750,4.000000,2.852174,34400
1994-02-23,3.968750,3.968750,3.890625,3.890625,2.774185,38400
1994-02-24,3.921875,3.921875,3.812500,3.859375,2.751903,344000
1994-02-25,3.812500,3.812500,3.781250,3.781250,2.696196,34400
1994-02-28,3.750000,3.843750,3.718750,3.843750,2.740762,163200
1994-03-01,3.843750,3.875000,3.781250,3.812500,2.718479,242400
1994-03-02,3.750000,3.765625,3.687500,3.765625,2.685055,215200
1994-03-03,3.734375,3.781250,3.718750,3.750000,2.673914,587200
1994-03-04,3.750000,3.781250,3.750000,3.750000,2.673914,207200
1994-03-07,3.781250,3.859375,3.781250,3.843750,2.740762,68000
1994-03-08,3.859375,4.000000,3.859375,4.000000,2.852174,116000
1994-03-09,3.984375,4.093750,3.937500,4.062500,2.896739,187200
1994-03-10,4.093750,4.093750,4.062500,4.062500,2.896739,7200
1994-03-11,4.062500,4.062500,4.062500,4.062500,2.896739,212000
