Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2005-01-21,16.0,16.200001,15.5,16.0,12.585373,22145000,CE
2005-01-24,16.049999,16.08,16.0,16.0,12.585373,3509900,CE
2005-01-25,16.0,16.01,15.5,15.65,12.310072,2995500,CE
2005-01-26,15.55,15.63,15.5,15.59,12.262871,1467500,CE
2005-01-27,15.59,15.85,15.1,15.78,12.412325,858000,CE
2005-01-28,15.8,16.02,15.78,16.0,12.585373,697300,CE
2005-01-31,16.049999,16.26,16.02,16.129999,12.687628,1641900,CE
2005-02-01,16.129999,16.280001,16.0,16.200001,12.74269,838100,CE
2005-02-02,16.200001,16.34,16.16,16.200001,12.74269,759200,CE
2005-02-03,16.209999,16.209999,15.99,16.01,12.593236,729500,CE
2005-02-04,16.040001,16.07,16.0,16.040001,12.616835,926600,CE
2005-02-07,16.030001,16.1,15.75,15.75,12.388726,1128300,CE
2005-02-08,15.75,16.0,15.71,15.8,12.428053,274900,CE
2005-02-09,15.83,15.94,15.68,15.79,12.420191,410500,CE
2005-02-10,15.7,15.71,15.5,15.58,12.255004,551600,CE
2005-02-11,15.52,15.74,15.25,15.57,12.24714,842000,CE
2005-02-14,15.3,15.65,15.1,15.6,12.270742,652500,CE
2005-02-15,15.57,16.0,15.55,15.94,12.538173,438400,CE
2005-02-16,15.95,16.139999,15.81,16.1,12.664027,514800,CE
2005-02-17,16.15,16.700001,16.110001,16.5,12.978664,928500,CE
2005-02-18,16.57,16.799999,16.4,16.74,13.167445,2403100,CE
2005-02-22,16.52,16.790001,16.370001,16.450001,12.93934,782700,CE
2005-02-23,16.4,16.75,16.35,16.6,13.057326,474500,CE
2005-02-24,16.51,16.75,16.450001,16.75,13.175311,483000,CE
2005-02-25,16.75,17.27,16.75,17.27,13.584338,1240600,CE
2005-02-28,17.25,17.25,16.549999,16.700001,13.135976,993300,CE
2005-03-01,16.68,16.68,16.120001,16.16,12.711226,916800,CE
2005-03-02,16.549999,16.709999,16.049999,16.360001,12.868544,1275400,CE
2005-03-03,16.5,16.700001,16.25,16.25,12.782021,836400,CE
2005-03-04,16.4,16.76,16.35,16.51,12.986529,1138700,CE
2005-03-07,16.68,17.16,16.67,17.09,13.442752,1395900,CE
2005-03-08,17.450001,17.450001,17.200001,17.25,13.568606,1201500,CE
2005-03-09,17.5,18.24,17.360001,17.950001,14.119214,1465300,CE
2005-03-10,17.950001,18.09,17.389999,17.9,14.079885,966700,CE
2005-03-11,18.049999,18.08,17.9,18.0,14.158545,722300,CE
2005-03-14,18.030001,18.16,17.42,17.85,14.040553,1093100,CE
