Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2005-08-11,3.25,3.31,3.2,3.24,2.391358,76671500,CF
2005-08-12,3.25,3.6,3.25,3.586,2.646732,29113500,CF
2005-08-15,3.55,3.57,3.452,3.46,2.553734,10596500,CF
2005-08-16,3.38,3.46,3.38,3.43,2.531592,5141000,CF
2005-08-17,3.43,3.44,3.36,3.37,2.487307,6423500,CF
2005-08-18,3.39,3.396,3.25,3.27,2.4135,12727000,CF
2005-08-19,3.298,3.338,3.25,3.32,2.450404,3029500,CF
2005-08-22,3.33,3.404,3.282,3.4,2.50945,2909500,CF
2005-08-23,3.5,3.588,3.46,3.512,2.592114,13466000,CF
2005-08-24,3.5,3.55,3.466,3.5,2.583257,3083000,CF
2005-08-25,3.54,3.548,3.48,3.492,2.577352,4667000,CF
2005-08-26,3.51,3.522,3.48,3.494,2.578829,2704000,CF
2005-08-29,3.38,3.436,3.368,3.4,2.50945,5458000,CF
2005-08-30,3.422,3.478,3.39,3.406,2.513878,2581000,CF
2005-08-31,3.412,3.412,3.322,3.358,2.47845,3004500,CF
2005-09-01,3.37,3.37,3.106,3.25,2.398738,12468500,CF
2005-09-02,3.282,3.316,3.202,3.214,2.372168,5748500,CF
2005-09-06,3.24,3.29,3.234,3.28,2.42088,2726500,CF
2005-09-07,3.282,3.286,3.204,3.238,2.389882,3643500,CF
2005-09-08,3.25,3.304,3.25,3.264,2.409071,2558500,CF
2005-09-09,3.31,3.32,3.284,3.314,2.445977,2468500,CF
2005-09-12,3.29,3.304,3.202,3.218,2.37512,3300500,CF
2005-09-13,3.224,3.224,3.14,3.176,2.344121,3798500,CF
2005-09-14,3.15,3.174,3.13,3.144,2.320503,2055500,CF
2005-09-15,3.15,3.162,3.006,3.02,2.228981,6004000,CF
2005-09-16,3.012,3.068,2.91,3.064,2.261457,9555000,CF
2005-09-19,3.05,3.19,3.038,3.1,2.288027,5559000,CF
2005-09-20,3.1,3.206,3.09,3.16,2.332311,4178000,CF
2005-09-21,3.14,3.14,2.94,3.0,2.214221,8313500,CF
2005-09-22,3.0,3.014,2.9,2.902,2.14189,7184000,CF
2005-09-23,2.9,3.14,2.896,3.118,2.301313,4830500,CF
2005-09-26,3.12,3.16,3.05,3.1,2.288027,7826500,CF
2005-09-27,3.09,3.112,3.068,3.092,2.282124,4505000,CF
2005-09-28,3.076,3.076,2.996,3.03,2.236362,3055000,CF
2005-09-29,3.038,3.1,2.964,3.0,2.214221,6141000,CF
2005-09-30,3.01,3.02,2.932,2.962,2.186173,12109000,CF
2005-10-03,2.97,2.97,2.87,2.9,2.140413,4279000,CF
2005-10-04,2.89,2.9,2.806,2.814,2.076937,2002000,CF
2005-10-05,2.8,2.8,2.566,2.63,1.941134,10826000,CF
2005-10-06,2.64,2.698,2.62,2.682,1.979512,4121000,CF
2005-10-07,2.76,2.76,2.692,2.7,1.992798,2174500,CF
2005-10-10,2.714,2.728,2.488,2.51,1.852565,2443000,CF
2005-10-11,2.53,2.53,2.402,2.43,1.793518,3256500,CF
2005-10-12,2.424,2.436,2.36,2.388,1.76252,2545500,CF
2005-10-13,2.386,2.386,2.238,2.26,1.668045,3555000,CF
2005-10-14,2.268,2.5,2.264,2.472,1.824518,7229500,CF
2005-10-17,2.472,2.478,2.42,2.44,1.8009,3007000,CF
2005-10-18,2.44,2.44,2.388,2.4,1.771376,2575000,CF
2005-10-19,2.42,2.452,2.388,2.432,1.794995,5052000,CF
2005-10-20,2.44,2.618,2.438,2.564,1.89242,7568500,CF
2005-10-21,2.566,2.614,2.554,2.592,1.913087,4029500,CF
2005-10-24,2.592,2.64,2.592,2.626,1.938181,2160000,CF
2005-10-25,2.646,2.682,2.616,2.64,1.948514,2629500,CF
2005-10-26,2.63,2.67,2.59,2.618,1.932276,2839500,CF
2005-10-27,2.61,2.636,2.59,2.6,1.91899,810000,CF
2005-10-28,2.64,2.692,2.64,2.67,1.970656,1664500,CF
2005-10-31,2.7,2.798,2.7,2.764,2.040035,3915000,CF
2005-11-01,2.83,2.85,2.71,2.72,2.00756,2830000,CF
2005-11-02,2.724,2.75,2.65,2.708,1.998702,3455000,CF
2005-11-03,2.68,2.7,2.642,2.66,1.963276,1815000,CF
2005-11-04,2.66,2.756,2.644,2.68,1.978037,2600500,CF
2005-11-07,2.68,2.762,2.672,2.706,1.997227,1783500,CF
2005-11-08,2.686,2.71,2.664,2.704,1.995751,1599500,CF
2005-11-09,2.706,2.756,2.692,2.706,2.000186,2294000,CF
2005-11-10,2.72,2.878,2.662,2.75,2.03271,4019000,CF
2005-11-11,2.758,2.83,2.758,2.808,2.07558,1347500,CF
2005-11-14,2.796,2.84,2.784,2.814,2.080014,1282500,CF
2005-11-15,2.83,3.01,2.812,2.952,2.182021,7032000,CF
2005-11-16,3.02,3.1,3.0,3.034,2.242632,4794000,CF
2005-11-17,3.05,3.176,3.024,3.16,2.335767,8077500,CF
2005-11-18,3.16,3.16,3.03,3.122,2.30768,3764000,CF
2005-11-21,3.18,3.19,3.132,3.164,2.338724,4266000,CF
2005-11-22,3.164,3.18,3.102,3.146,2.325418,1920000,CF
2005-11-23,3.15,3.15,3.094,3.1,2.291417,1068000,CF
2005-11-25,3.11,3.134,3.11,3.124,2.309158,154000,CF
2005-11-28,3.132,3.138,3.07,3.098,2.289938,1477000,CF
2005-11-29,3.116,3.116,3.09,3.1,2.291417,792000,CF
2005-11-30,3.096,3.116,3.078,3.09,2.284026,1513500,CF
2005-12-01,3.084,3.1,3.018,3.054,2.257415,3586000,CF
2005-12-02,3.052,3.11,3.03,3.106,2.295851,3127500,CF
2005-12-05,3.09,3.16,3.06,3.128,2.312114,3232000,CF
2005-12-06,3.146,3.17,3.134,3.164,2.338724,1503000,CF
2005-12-07,3.17,3.198,3.124,3.124,2.309158,1762000,CF
2005-12-08,3.124,3.124,3.016,3.024,2.235241,5745000,CF
2005-12-09,3.038,3.06,2.984,3.034,2.242632,5531500,CF
2005-12-12,3.044,3.074,3.01,3.022,2.233763,2333500,CF
2005-12-13,3.022,3.05,2.946,2.978,2.201239,3260500,CF
2005-12-14,2.97,2.99,2.938,2.96,2.187934,1973500,CF
2005-12-15,2.95,2.996,2.922,2.994,2.213065,1495500,CF
2005-12-16,3.016,3.04,3.004,3.02,2.232284,3498000,CF
2005-12-19,3.02,3.06,2.96,3.05,2.254459,2893500,CF
2005-12-20,2.96,3.01,2.926,2.994,2.213065,3497000,CF
2005-12-21,2.996,3.0,2.924,2.952,2.182021,1900500,CF
2005-12-22,2.952,3.074,2.952,3.068,2.267764,2252000,CF
2005-12-23,3.03,3.08,3.03,3.046,2.251502,1622000,CF
2005-12-27,3.056,3.098,3.05,3.06,2.26185,2007500,CF
2005-12-28,3.056,3.058,2.986,3.05,2.254459,4846500,CF
2005-12-29,3.06,3.088,3.05,3.066,2.266285,1294000,CF
2005-12-30,3.066,3.086,3.038,3.05,2.254459,741000,CF
2006-01-03,3.05,3.08,3.02,3.06,2.26185,2272500,CF
2006-01-04,3.06,3.14,3.06,3.112,2.300287,2567500,CF
2006-01-05,3.12,3.248,3.114,3.23,2.387508,5217500,CF
2006-01-06,3.22,3.22,3.16,3.204,2.36829,5087000,CF
2006-01-09,3.204,3.32,3.204,3.28,2.424468,3454500,CF
2006-01-10,3.246,3.296,3.224,3.29,2.431859,2359500,CF
2006-01-11,3.29,3.29,3.24,3.258,2.408206,2560500,CF
2006-01-12,3.25,3.316,3.23,3.26,2.409684,2819000,CF
2006-01-13,3.262,3.284,3.254,3.274,2.420032,1849000,CF
2006-01-17,3.244,3.268,3.172,3.256,2.406727,2442500,CF
2006-01-18,3.24,3.318,3.21,3.316,2.451077,1538500,CF
2006-01-19,3.32,3.322,3.268,3.306,2.443686,1172500,CF
2006-01-20,3.312,3.318,3.178,3.19,2.357942,1943500,CF
2006-01-23,3.194,3.276,3.192,3.246,2.399335,1171000,CF
2006-01-24,3.25,3.324,3.24,3.298,2.437773,3657000,CF
2006-01-25,3.3,3.308,3.22,3.26,2.409684,11327500,CF
2006-01-26,3.266,3.366,3.266,3.352,2.477687,2149500,CF
2006-01-27,3.35,3.42,3.342,3.404,2.516124,1289500,CF
2006-01-30,3.4,3.45,3.354,3.38,2.498383,1613500,CF
2006-01-31,3.38,3.424,3.37,3.402,2.514647,2094500,CF
2006-02-01,3.384,3.384,3.35,3.356,2.480644,2454500,CF
2006-02-02,3.344,3.356,3.266,3.3,2.43925,7376500,CF
2006-02-03,3.296,3.38,3.276,3.376,2.495427,2558000,CF
2006-02-06,3.376,3.418,3.37,3.416,2.524995,2713000,CF
2006-02-07,3.418,3.418,3.376,3.388,2.504297,2793000,CF
2006-02-08,3.386,3.462,3.37,3.448,2.548647,2350000,CF
2006-02-09,3.446,3.558,3.44,3.5,2.587084,1597500,CF
2006-02-10,3.5,3.516,3.47,3.47,2.56491,2953000,CF
2006-02-13,3.468,3.468,3.408,3.408,2.519081,1087500,CF
2006-02-14,3.4,3.484,3.364,3.476,2.569345,1291000,CF
2006-02-15,3.474,3.52,3.42,3.496,2.584128,955000,CF
2006-02-16,3.494,3.52,3.446,3.47,2.56491,1903500,CF
2006-02-17,3.494,3.51,3.442,3.464,2.560474,1560000,CF
2006-02-21,3.456,3.456,3.368,3.412,2.522036,2890000,CF
2006-02-22,3.418,3.548,3.406,3.542,2.618129,2073500,CF
2006-02-23,3.53,3.58,3.498,3.566,2.635869,904500,CF
2006-02-24,3.38,3.838,3.376,3.69,2.727526,4643000,CF
2006-02-27,3.678,3.678,3.488,3.594,2.656566,3970000,CF
2006-02-28,3.58,3.59,3.5,3.524,2.604823,1863500,CF
