Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.689016,7436400,CHRW
1997-10-17,5.65625,5.75,5.40625,5.59375,3.628207,3390400,CHRW
1997-10-20,5.5,5.625,5.46875,5.53125,3.587669,3068000,CHRW
1997-10-21,5.5625,5.6875,5.5,5.59375,3.628207,2382400,CHRW
1997-10-22,5.6875,5.75,5.59375,5.71875,3.709285,1525200,CHRW
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.628207,1622400,CHRW
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.709285,813600,CHRW
1997-10-27,5.65625,5.75,5.375,5.421875,3.516727,1507200,CHRW
1997-10-28,5.25,5.6875,4.9375,5.59375,3.628207,2955600,CHRW
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.668747,1859200,CHRW
1997-10-30,5.53125,5.5625,5.375,5.5,3.567398,856000,CHRW
1997-10-31,5.4375,5.640625,5.4375,5.5,3.567398,561600,CHRW
1997-11-03,5.625,5.84375,5.53125,5.734375,3.719417,1004000,CHRW
1997-11-04,5.75,5.875,5.6875,5.78125,3.749823,364000,CHRW
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.8309,324400,CHRW
1997-11-06,5.875,6.25,5.875,6.25,4.053863,361600,CHRW
1997-11-07,6.1875,6.625,6.03125,6.4375,4.175479,662400,CHRW
1997-11-10,6.3125,6.5,6.15625,6.15625,3.993055,266800,CHRW
1997-11-11,5.9375,6.0,5.75,6.0,3.891708,618000,CHRW
1997-11-12,6.0,6.0,5.5625,5.6875,3.689016,314800,CHRW
1997-11-13,5.5625,5.625,5.46875,5.5,3.567398,500000,CHRW
1997-11-14,5.4375,5.5,5.3125,5.4375,3.526862,438000,CHRW
1997-11-17,5.5,5.84375,5.5,5.8125,3.770092,284000,CHRW
1997-11-18,5.875,5.875,5.6875,5.71875,3.709285,1429600,CHRW
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.607938,148400,CHRW
1997-11-20,5.625,5.625,5.3125,5.5625,3.607938,1268000,CHRW
1997-11-21,5.5625,5.625,5.5,5.53125,3.587669,640800,CHRW
1997-11-24,5.5,5.59375,5.5,5.53125,3.587669,64400,CHRW
1997-11-25,5.5625,5.625,5.5,5.515625,3.577533,326800,CHRW
1997-11-26,5.5,5.53125,5.234375,5.253906,3.407776,463200,CHRW
1997-11-28,5.28125,5.3125,5.25,5.25,3.405245,212800,CHRW
1997-12-01,5.25,5.375,5.25,5.265625,3.41538,475200,CHRW
1997-12-02,5.375,5.5,5.28125,5.34375,3.466051,1280800,CHRW
1997-12-03,5.4375,5.5,5.34375,5.5,3.567398,934400,CHRW
1997-12-04,5.5,5.625,5.40625,5.546875,3.597803,681600,CHRW
1997-12-05,5.5,5.75,5.4375,5.6875,3.689016,282800,CHRW
1997-12-08,5.6875,5.75,5.65625,5.71875,3.709285,227600,CHRW
1997-12-09,5.75,5.8125,5.59375,5.59375,3.628207,124000,CHRW
1997-12-10,5.625,5.625,5.3125,5.375,3.495695,269600,CHRW
1997-12-11,5.25,5.375,5.15625,5.3125,3.45505,400800,CHRW
1997-12-12,5.375,5.375,5.15625,5.15625,3.353428,412400,CHRW
1997-12-15,5.25,5.375,5.171875,5.21875,3.394076,289200,CHRW
1997-12-16,5.125,5.3125,5.125,5.21875,3.394076,190800,CHRW
1997-12-17,5.15625,5.1875,5.03125,5.03125,3.272132,584800,CHRW
1997-12-18,5.09375,5.09375,4.96875,5.0,3.25181,272400,CHRW
1997-12-19,5.03125,5.03125,4.9375,4.9375,3.211163,921600,CHRW
1997-12-22,4.9375,5.3125,4.9375,5.0625,3.292457,924000,CHRW
1997-12-23,5.1875,5.1875,4.9375,5.0,3.25181,2331200,CHRW
1997-12-24,5.03125,5.03125,4.9375,4.9375,3.211163,50400,CHRW
1997-12-26,5.0,5.0625,4.96875,5.0625,3.292457,1248400,CHRW
1997-12-29,5.0625,5.28125,5.0,5.28125,3.434725,430800,CHRW
1997-12-30,5.0625,5.34375,5.0625,5.28125,3.434725,662800,CHRW
1997-12-31,5.40625,5.6875,5.25,5.59375,3.637963,911600,CHRW
1998-01-02,5.53125,5.78125,5.53125,5.78125,3.759906,112400,CHRW
1998-01-05,6.03125,6.09375,5.625,5.625,3.658288,629600,CHRW
1998-01-06,5.59375,5.59375,5.25,5.421875,3.526182,915200,CHRW
1998-01-07,5.421875,5.75,5.421875,5.5625,3.617639,164800,CHRW
1998-01-08,5.5,5.78125,5.5,5.75,3.739581,236000,CHRW
1998-01-09,5.65625,5.75,5.5,5.5,3.576989,140400,CHRW
1998-01-12,5.375,5.53125,5.34375,5.34375,3.475371,927200,CHRW
1998-01-13,5.5,5.5,5.3125,5.4375,3.536344,100400,CHRW
1998-01-14,5.4375,5.5625,5.34375,5.359375,3.485533,585600,CHRW
1998-01-15,5.4375,5.4375,5.34375,5.375,3.495695,417200,CHRW
1998-01-16,5.4375,5.59375,5.34375,5.5625,3.617639,69200,CHRW
1998-01-20,5.5,5.78125,5.5,5.78125,3.759906,348800,CHRW
1998-01-21,5.75,5.78125,5.71875,5.75,3.739581,141600,CHRW
1998-01-22,5.71875,5.75,5.65625,5.65625,3.678611,92400,CHRW
1998-01-23,5.65625,5.875,5.65625,5.8125,3.780228,211200,CHRW
1998-01-26,5.875,5.875,5.625,5.71875,3.719259,497200,CHRW
1998-01-27,5.75,5.75,5.625,5.625,3.658288,96400,CHRW
1998-01-28,5.625,5.6875,5.625,5.65625,3.678611,154800,CHRW
1998-01-29,5.65625,5.8125,5.65625,5.71875,3.719259,108400,CHRW
1998-01-30,5.796875,5.796875,5.65625,5.71875,3.719259,130400,CHRW
1998-02-02,5.78125,6.15625,5.78125,6.0,3.902172,580800,CHRW
1998-02-03,5.9375,6.125,5.9375,6.0,3.902172,159200,CHRW
1998-02-04,6.0,6.09375,5.90625,5.90625,3.8412,557600,CHRW
1998-02-05,5.875,5.96875,5.875,5.875,3.820876,73200,CHRW
1998-02-06,5.96875,6.09375,5.875,5.9375,3.861523,246800,CHRW
1998-02-09,5.90625,6.1875,5.90625,6.0625,3.942819,724800,CHRW
1998-02-10,6.0625,6.3125,6.0625,6.25,4.064764,401600,CHRW
1998-02-11,6.15625,6.25,5.53125,5.75,3.739581,2063200,CHRW
1998-02-12,5.8125,5.90625,5.75,5.90625,3.8412,464400,CHRW
1998-02-13,5.96875,5.96875,5.8125,5.9375,3.861523,163200,CHRW
1998-02-17,6.03125,6.03125,5.875,5.90625,3.8412,697200,CHRW
1998-02-18,6.0,6.0,5.90625,5.90625,3.8412,2071200,CHRW
1998-02-19,6.0,6.0,5.84375,5.84375,3.800552,184800,CHRW
1998-02-20,5.84375,5.90625,5.78125,5.78125,3.759906,89200,CHRW
