Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1962-01-02,0.0,3.296131,3.244048,3.296131,0.352754,105840,CVX
1962-01-03,0.0,3.303571,3.27381,3.28869,0.351957,127680,CVX
1962-01-04,0.0,3.28869,3.258929,3.258929,0.348772,75600,CVX
1962-01-05,0.0,3.266369,3.177083,3.177083,0.340013,201600,CVX
1962-01-08,0.0,3.191964,3.139881,3.162202,0.33842,126000,CVX
1962-01-09,0.0,3.206845,3.125,3.206845,0.343198,183120,CVX
1962-01-10,0.0,3.206845,3.162202,3.206845,0.343198,72240,CVX
1962-01-11,0.0,3.296131,3.191964,3.28869,0.351957,112560,CVX
1962-01-12,0.0,3.296131,3.251488,3.28125,0.351161,124320,CVX
1962-01-15,0.0,3.28869,3.229167,3.229167,0.345587,92400,CVX
1962-01-16,0.0,3.251488,3.199405,3.236607,0.346383,99120,CVX
1962-01-17,0.0,3.266369,3.214286,3.214286,0.343994,151200,CVX
1962-01-18,0.0,3.258929,3.191964,3.258929,0.348772,147840,CVX
1962-01-19,0.0,3.266369,3.221726,3.244048,0.34718,124320,CVX
1962-01-22,0.0,3.258929,3.229167,3.258929,0.348772,102480,CVX
1962-01-23,0.0,3.258929,3.229167,3.236607,0.346383,122640,CVX
1962-01-24,0.0,3.244048,3.221726,3.221726,0.344791,102480,CVX
1962-01-25,0.0,3.266369,3.229167,3.229167,0.345587,136080,CVX
1962-01-26,0.0,3.27381,3.229167,3.251488,0.347976,114240,CVX
1962-01-29,0.0,3.27381,3.214286,3.229167,0.345587,194880,CVX
1962-01-30,0.0,3.266369,3.229167,3.244048,0.34718,156240,CVX
1962-01-31,0.0,3.266369,3.191964,3.221726,0.347983,226800,CVX
1962-02-01,0.0,3.296131,3.236607,3.296131,0.35602,327600,CVX
1962-02-02,0.0,3.452381,3.28125,3.452381,0.372897,509040,CVX
1962-02-05,0.0,3.4375,3.377976,3.392857,0.366467,208320,CVX
1962-02-06,0.0,3.385417,3.333333,3.363095,0.363253,146160,CVX
1962-02-07,0.0,3.467262,3.355655,3.43006,0.370486,294000,CVX
1962-02-08,0.0,3.459821,3.44494,3.44494,0.372093,87360,CVX
1962-02-09,0.0,3.482143,3.4375,3.474702,0.375307,159600,CVX
1962-02-12,0.0,3.526786,3.482143,3.511905,0.379326,127680,CVX
1962-02-13,0.0,3.504464,3.467262,3.504464,0.378522,240240,CVX
1962-02-14,0.0,3.497024,3.459821,3.497024,0.377719,117600,CVX
1962-02-15,0.0,3.534226,3.489583,3.511905,0.379326,142800,CVX
1962-02-16,0.0,3.549107,3.504464,3.541667,0.38254,156240,CVX
1962-02-19,0.0,3.578869,3.541667,3.549107,0.383344,273840,CVX
1962-02-20,0.0,3.556548,3.526786,3.549107,0.383344,188160,CVX
1962-02-21,0.0,3.534226,3.511905,3.519345,0.380129,215040,CVX
1962-02-23,0.0,3.519345,3.497024,3.504464,0.378522,173040,CVX
1962-02-26,0.0,3.519345,3.482143,3.482143,0.376111,159600,CVX
1962-02-27,0.0,3.511905,3.459821,3.511905,0.379326,295680,CVX
1962-02-28,0.0,3.519345,3.482143,3.482143,0.376111,176400,CVX
1962-03-01,0.0,3.504464,3.422619,3.497024,0.377719,162960,CVX
1962-03-02,0.0,3.504464,3.489583,3.497024,0.377719,110880,CVX
1962-03-05,0.0,3.497024,3.452381,3.497024,0.377719,107520,CVX
1962-03-06,0.0,3.489583,3.459821,3.467262,0.374504,97440,CVX
1962-03-07,0.0,3.511905,3.459821,3.459821,0.3737,204960,CVX
1962-03-08,0.0,3.482143,3.452381,3.452381,0.372897,105840,CVX
1962-03-09,0.0,3.489583,3.4375,3.452381,0.372897,132720,CVX
1962-03-12,0.0,3.482143,3.452381,3.482143,0.376111,89040,CVX
1962-03-13,0.0,3.497024,3.467262,3.467262,0.374504,105840,CVX
1962-03-14,0.0,3.504464,3.474702,3.474702,0.375307,146160,CVX
1962-03-15,0.0,3.511905,3.467262,3.497024,0.377719,144480,CVX
1962-03-16,0.0,3.519345,3.489583,3.519345,0.380129,95760,CVX
1962-03-19,0.0,3.534226,3.504464,3.534226,0.381737,99120,CVX
1962-03-20,0.0,3.549107,3.519345,3.541667,0.38254,141120,CVX
1962-03-21,0.0,3.534226,3.511905,3.526786,0.380933,92400,CVX
1962-03-22,0.0,3.526786,3.459821,3.504464,0.378522,179760,CVX
1962-03-23,0.0,3.556548,3.504464,3.526786,0.380933,137760,CVX
1962-03-26,0.0,3.519345,3.459821,3.459821,0.3737,102480,CVX
1962-03-27,0.0,3.474702,3.422619,3.474702,0.375307,82320,CVX
1962-03-28,0.0,3.504464,3.474702,3.504464,0.378522,60480,CVX
