Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2004-07-13,14.0,14.1,13.49,13.5,6.312546,14964100,DPZ
2004-07-14,13.5,13.55,12.91,13.44,6.28449,2801000,DPZ
2004-07-15,13.45,13.85,13.35,13.84,6.471531,1276200,DPZ
2004-07-16,13.87,13.9,13.51,13.83,6.466854,1488200,DPZ
2004-07-19,13.8,13.8,13.35,13.52,6.321898,966200,DPZ
2004-07-20,13.52,13.93,13.41,13.93,6.513613,719300,DPZ
2004-07-21,13.94,13.94,13.5,13.6,6.359305,472300,DPZ
2004-07-22,13.6,13.65,13.33,13.6,6.359305,218500,DPZ
2004-07-23,13.4,13.62,13.4,13.56,6.340602,268500,DPZ
2004-07-26,13.5,13.5,13.05,13.2,6.172267,236200,DPZ
2004-07-27,13.2,13.2,12.4,12.75,5.961848,2668000,DPZ
2004-07-28,12.85,13.12,12.84,13.03,6.092779,1028100,DPZ
2004-07-29,13.1,13.78,13.1,13.78,6.443473,1015700,DPZ
2004-07-30,13.72,13.9,13.55,13.9,6.499585,623000,DPZ
2004-08-02,13.8,13.8,13.55,13.7,6.406066,329400,DPZ
2004-08-03,13.7,14.08,13.7,13.94,6.518289,1557100,DPZ
2004-08-04,14.04,14.04,13.88,13.9,6.499585,156300,DPZ
2004-08-05,13.94,14.0,13.86,13.89,6.494909,188100,DPZ
2004-08-06,13.82,14.0,13.7,13.8,6.452826,276300,DPZ
2004-08-09,13.8,13.8,13.5,13.7,6.406066,212100,DPZ
2004-08-10,13.7,13.85,13.65,13.79,6.448147,272400,DPZ
2004-08-11,13.8,13.88,13.6,13.7,6.406066,166800,DPZ
2004-08-12,13.65,13.75,13.58,13.63,6.373335,284700,DPZ
2004-08-13,13.68,13.7,13.35,13.4,6.265787,104900,DPZ
2004-08-16,13.4,13.55,13.4,13.48,6.303195,86400,DPZ
2004-08-17,13.4,13.65,13.25,13.45,6.289168,161100,DPZ
2004-08-18,13.52,13.64,13.35,13.61,6.363983,43000,DPZ
2004-08-19,13.6,13.6,12.75,13.3,6.219028,124100,DPZ
2004-08-20,13.25,13.64,13.1,13.64,6.378009,112300,DPZ
2004-08-23,13.7,13.91,13.6,13.85,6.476204,442900,DPZ
2004-08-24,13.75,13.8,13.45,13.8,6.452826,607400,DPZ
2004-08-25,13.8,13.89,13.51,13.8,6.452826,307300,DPZ
2004-08-26,13.9,13.9,13.7,13.7,6.406066,104300,DPZ
2004-08-27,13.75,14.08,13.75,14.04,6.565047,880600,DPZ
2004-08-30,14.0,14.15,13.9,14.02,6.555697,265000,DPZ
2004-08-31,13.95,14.25,13.95,14.25,6.663243,401800,DPZ
2004-09-01,14.25,14.59,14.25,14.45,6.756763,421400,DPZ
2004-09-02,14.5,14.5,14.15,14.3,6.686622,273800,DPZ
2004-09-03,14.05,14.2,13.75,14.0,6.546343,310100,DPZ
2004-09-07,14.0,14.05,13.65,13.87,6.485558,329000,DPZ
2004-09-08,13.77,13.87,13.7,13.79,6.448147,178000,DPZ
2004-09-09,13.69,13.95,13.69,13.78,6.443473,163500,DPZ
2004-09-10,14.15,14.37,13.9,14.37,6.719355,1073900,DPZ
2004-09-13,14.3,14.5,14.27,14.35,6.710003,394400,DPZ
2004-09-14,14.44,14.9,14.28,14.83,6.93445,500500,DPZ
2004-09-15,15.0,15.37,14.9,15.22,7.116811,1045100,DPZ
2004-09-16,15.22,15.5,15.22,15.48,7.238388,531000,DPZ
2004-09-17,15.4,15.4,15.1,15.2,7.107459,270400,DPZ
2004-09-20,15.2,15.48,15.15,15.25,7.130839,185700,DPZ
2004-09-21,15.33,15.53,15.22,15.4,7.200979,241000,DPZ
2004-09-22,15.25,15.35,14.8,15.11,7.065376,351900,DPZ
2004-09-23,15.01,15.2,14.88,14.97,6.999914,181000,DPZ
2004-09-24,15.05,15.2,14.85,15.04,7.032644,215900,DPZ
2004-09-27,15.0,15.02,14.65,14.88,6.95783,344400,DPZ
2004-09-28,14.8,15.25,14.62,15.25,7.130839,223500,DPZ
2004-09-29,15.35,15.4,14.95,15.05,7.03732,757800,DPZ
2004-09-30,15.05,15.11,14.7,14.7,6.873664,1354500,DPZ
2004-10-01,14.8,14.85,14.25,14.6,6.826902,733500,DPZ
2004-10-04,14.95,15.0,14.74,14.98,7.004589,319200,DPZ
2004-10-05,14.9,15.47,14.66,15.32,7.163572,590600,DPZ
2004-10-06,15.27,16.01,15.27,15.9,7.434778,808600,DPZ
2004-10-07,15.97,16.15,15.55,15.91,7.439455,897900,DPZ
2004-10-08,15.85,16.200001,15.8,15.95,7.458155,537700,DPZ
2004-10-11,16.0,16.25,15.87,16.0,7.481536,400500,DPZ
2004-10-12,16.07,16.35,15.75,15.96,7.462833,618900,DPZ
2004-10-13,16.049999,16.190001,16.0,16.16,7.556352,207400,DPZ
2004-10-14,16.0,16.09,15.77,15.89,7.430101,387600,DPZ
2004-10-15,15.89,16.190001,15.89,15.98,7.472184,285700,DPZ
2004-10-18,16.0,16.26,15.9,15.9,7.434778,389800,DPZ
2004-10-19,16.0,16.6,15.5,15.59,7.289822,682700,DPZ
2004-10-20,15.69,15.7,15.42,15.61,7.299174,389700,DPZ
2004-10-21,15.55,15.91,15.51,15.78,7.378665,124400,DPZ
2004-10-22,15.71,16.0,15.6,15.85,7.411397,296500,DPZ
2004-10-25,15.95,15.95,15.72,15.93,7.448806,131900,DPZ
2004-10-26,15.94,15.95,15.63,15.88,7.425427,289500,DPZ
2004-10-27,15.92,15.98,15.75,15.94,7.453479,301800,DPZ
2004-10-28,15.98,15.99,15.78,15.93,7.448806,172300,DPZ
2004-10-29,15.96,16.4,15.94,16.4,7.668574,545700,DPZ
2004-11-01,16.450001,16.99,16.16,16.799999,7.855614,288600,DPZ
2004-11-02,16.799999,17.030001,16.799999,16.9,7.902372,139200,DPZ
2004-11-03,17.15,17.35,16.65,16.879999,7.89302,324100,DPZ
2004-11-04,16.93,17.049999,16.549999,16.68,7.799502,247200,DPZ
2004-11-05,16.84,17.049999,16.809999,17.0,7.949135,623400,DPZ
2004-11-08,17.049999,17.059999,16.719999,16.809999,7.860287,122000,DPZ
2004-11-09,16.719999,16.93,16.639999,16.65,7.785473,150100,DPZ
2004-11-10,16.75,17.1,16.700001,16.870001,7.888343,118800,DPZ
2004-11-11,16.799999,17.74,16.799999,17.73,8.290477,487200,DPZ
2004-11-12,17.450001,17.98,17.35,17.98,8.40738,116800,DPZ
2004-11-15,17.98,17.98,17.559999,17.65,8.253068,119400,DPZ
