Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1962-01-02,0.0,26.117022,25.851065,25.851065,0.435876,1880,DTE
1962-01-03,0.0,25.851065,25.638298,25.638298,0.432288,5170,DTE
1962-01-04,0.0,25.797873,25.425531,25.425531,0.428701,7755,DTE
1962-01-05,0.0,25.372339,24.893618,24.893618,0.419732,10575,DTE
1962-01-08,0.0,24.94681,24.680851,24.94681,0.420629,6815,DTE
1962-01-09,0.0,25.0,24.787233,25.0,0.421526,5170,DTE
1962-01-10,0.0,25.106382,24.893618,25.106382,0.42332,4700,DTE
1962-01-11,0.0,25.212767,24.893618,25.212767,0.425114,4230,DTE
1962-01-12,0.0,25.478724,25.212767,25.478724,0.429598,3525,DTE
1962-01-15,0.0,25.319149,25.05319,25.106382,0.42332,3525,DTE
1962-01-16,0.0,25.212767,25.0,25.106382,0.42332,4465,DTE
1962-01-17,0.0,25.212767,25.106382,25.106382,0.42332,1175,DTE
1962-01-18,0.0,25.106382,24.840425,24.94681,0.420629,3995,DTE
1962-01-19,0.0,24.893618,24.840425,24.840425,0.418836,940,DTE
1962-01-22,0.0,25.05319,24.893618,25.05319,0.422423,6345,DTE
1962-01-23,0.0,25.106382,24.94681,24.94681,0.420629,6815,DTE
1962-01-24,0.0,24.893618,24.734043,24.734043,0.417042,5170,DTE
1962-01-25,0.0,24.94681,24.680851,24.680851,0.416145,3995,DTE
1962-01-26,0.0,24.734043,24.468084,24.734043,0.417042,2585,DTE
1962-01-29,0.0,24.734043,24.361702,24.361702,0.410764,2350,DTE
1962-01-30,0.0,24.414894,24.202127,24.25532,0.40897,4230,DTE
1962-01-31,0.0,24.148935,23.936171,23.989363,0.404486,6345,DTE
1962-02-01,0.0,24.25532,23.989363,24.148935,0.407176,5405,DTE
1962-02-02,0.0,24.25532,24.148935,24.25532,0.40897,2585,DTE
1962-02-05,0.0,24.680851,24.202127,24.361702,0.410764,10340,DTE
1962-02-06,0.0,24.468084,24.308512,24.361702,0.410764,5170,DTE
