Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1985-07-22,0.0,5.625,5.25,5.625,3.756747,59400,DVN
1985-07-23,0.0,5.8125,5.5625,5.625,3.756747,20800,DVN
1985-07-24,0.0,5.5625,5.375,5.5,3.673261,32600,DVN
1985-07-25,0.0,5.5625,5.5,5.5625,3.715007,16600,DVN
1985-07-26,0.0,5.5625,5.4375,5.5,3.673261,10400,DVN
1985-07-29,0.0,5.5,5.3125,5.4375,3.631522,25000,DVN
1985-07-30,0.0,5.4375,5.375,5.375,3.589781,10400,DVN
1985-07-31,0.0,5.375,5.3125,5.375,3.589781,12800,DVN
1985-08-01,0.0,5.375,5.1875,5.375,3.589781,31800,DVN
1985-08-02,0.0,5.3125,5.1875,5.25,3.506298,13000,DVN
1985-08-05,0.0,5.25,5.1875,5.25,3.506298,1200,DVN
1985-08-06,0.0,5.25,5.125,5.1875,3.464554,28600,DVN
1985-08-07,5.1875,5.1875,5.1875,5.1875,3.464554,0,DVN
1985-08-08,0.0,5.1875,5.125,5.125,3.422814,600,DVN
1985-08-09,0.0,5.1875,5.1875,5.1875,3.464554,400,DVN
1985-08-12,0.0,5.0625,4.9375,5.0625,3.381071,3800,DVN
1985-08-13,0.0,5.125,5.0625,5.125,3.422814,4400,DVN
1985-08-14,0.0,5.0625,5.0625,5.0625,3.381071,1400,DVN
1985-08-15,0.0,5.0,5.0,5.0,3.339331,1600,DVN
1985-08-16,0.0,4.9375,4.9375,4.9375,3.297587,800,DVN
1985-08-19,0.0,4.875,4.875,4.875,3.255847,5200,DVN
1985-08-20,0.0,4.9375,4.8125,4.9375,3.297587,3000,DVN
1985-08-21,0.0,4.875,4.8125,4.8125,3.214105,3400,DVN
1985-08-22,0.0,4.875,4.75,4.8125,3.214105,1600,DVN
1985-08-23,0.0,4.875,4.8125,4.8125,3.214105,21800,DVN
1985-08-26,4.8125,4.8125,4.8125,4.8125,3.214105,0,DVN
1985-08-27,0.0,4.75,4.625,4.625,3.08888,9200,DVN
1985-08-28,0.0,4.6875,4.5625,4.6875,3.130623,12400,DVN
1985-08-29,0.0,4.875,4.6875,4.875,3.255847,7200,DVN
1985-08-30,0.0,5.0,4.9375,5.0,3.339331,8400,DVN
1985-09-03,0.0,5.0625,5.0,5.0,3.339331,10200,DVN
1985-09-04,0.0,4.9375,4.9375,4.9375,3.297587,800,DVN
1985-09-05,0.0,4.9375,4.8125,4.9375,3.297587,11400,DVN
1985-09-06,0.0,5.0,4.9375,5.0,3.339331,9800,DVN
1985-09-09,0.0,4.9375,4.9375,4.9375,3.297587,200,DVN
1985-09-10,0.0,4.9375,4.875,4.9375,3.297587,9800,DVN
1985-09-11,0.0,5.0,4.875,4.875,3.255847,5200,DVN
1985-09-12,0.0,5.0,4.875,4.875,3.255847,5200,DVN
1985-09-13,0.0,5.0,4.875,4.875,3.255847,7400,DVN
1985-09-16,0.0,4.8125,4.75,4.8125,3.214105,2600,DVN
1985-09-17,0.0,4.875,4.75,4.75,3.172364,4800,DVN
1985-09-18,0.0,4.6875,4.6875,4.6875,3.130623,800,DVN
