Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1993-12-14,21.5,22.75,21.4375,22.625,9.168622,1077400,EMN
1993-12-15,22.5,22.5,21.75,22.125,8.966003,897800,EMN
1993-12-16,22.1875,22.1875,22.0,22.125,8.966003,571200,EMN
1993-12-17,22.125,22.125,21.625,21.625,8.763384,1053000,EMN
1993-12-20,21.625,22.3125,21.625,22.3125,9.041985,1284800,EMN
1993-12-21,22.25,22.875,22.25,22.625,9.168622,882800,EMN
1993-12-22,22.6875,22.6875,22.4375,22.625,9.168622,200600,EMN
1993-12-23,22.6875,23.125,22.6875,23.0625,9.345916,195800,EMN
1993-12-27,23.1875,23.75,23.1875,23.625,9.573866,68400,EMN
1993-12-28,23.5625,23.5625,23.375,23.5,9.523208,273600,EMN
1993-12-29,23.625,23.8125,23.625,23.8125,9.649853,264400,EMN
1993-12-30,23.8125,24.0625,23.8125,23.9375,9.700508,156200,EMN
1993-12-31,23.8125,23.875,23.625,23.75,9.624524,133000,EMN
1994-01-03,23.8125,23.8125,23.125,23.4375,9.497883,467800,EMN
1994-01-04,23.4375,23.4375,22.3125,22.5625,9.143294,2250200,EMN
1994-01-05,22.0,22.1875,21.75,22.1875,8.991331,2933400,EMN
1994-01-06,22.0,22.1875,21.5,21.75,8.814034,2753200,EMN
1994-01-07,21.6875,21.6875,20.75,20.875,8.459444,3428400,EMN
1994-01-10,20.9375,21.5,20.875,21.4375,8.687395,1411000,EMN
1994-01-11,21.5,21.5,21.1875,21.375,8.662071,1185400,EMN
1994-01-12,21.3125,21.3125,20.875,21.0,8.510106,2209200,EMN
1994-01-13,20.9375,21.0,20.8125,20.875,8.459444,1033400,EMN
1994-01-14,20.9375,21.0625,20.8125,20.9375,8.484778,1366000,EMN
1994-01-17,20.875,21.0,20.75,20.9375,8.484778,1157400,EMN
1994-01-18,20.9375,20.9375,20.75,20.8125,8.434116,1118400,EMN
1994-01-19,20.75,21.25,20.75,21.125,8.56076,1327800,EMN
1994-01-20,21.125,21.1875,20.8125,21.0,8.510106,1121400,EMN
1994-01-21,21.0625,21.0625,20.875,21.0,8.510106,1460800,EMN
1994-01-24,21.0,21.0,20.75,20.8125,8.434116,2101400,EMN
1994-01-25,20.75,20.9375,20.625,20.8125,8.434116,1470400,EMN
1994-01-26,20.75,20.875,20.75,20.8125,8.434116,723600,EMN
1994-01-27,20.8125,20.9375,20.75,20.8125,8.434116,1610600,EMN
1994-01-28,20.9375,21.5625,20.875,21.5,8.712727,1285200,EMN
1994-01-31,21.5,22.1875,21.5,21.875,8.864696,1316000,EMN
1994-02-01,21.125,21.25,21.0,21.125,8.56076,3041400,EMN
1994-02-02,21.0625,21.0625,20.8125,21.0,8.510106,3352000,EMN
1994-02-03,21.0625,21.4375,21.0,21.375,8.662071,2135600,EMN
1994-02-04,21.3125,21.625,21.25,21.3125,8.636743,1256600,EMN
1994-02-07,21.3125,21.8125,21.3125,21.75,8.814034,799400,EMN
1994-02-08,21.5,21.625,21.375,21.4375,8.687395,916600,EMN
1994-02-09,21.3125,21.5625,21.3125,21.5625,8.738052,769800,EMN
1994-02-10,21.5,21.6875,21.375,21.375,8.662071,977600,EMN
1994-02-11,21.375,21.4375,21.25,21.375,8.662071,690800,EMN
1994-02-14,21.4375,21.5625,21.375,21.5,8.712727,616800,EMN
1994-02-15,21.4375,21.75,21.4375,21.5625,8.738052,701200,EMN
1994-02-16,21.5625,21.8125,21.5,21.6875,8.788714,668800,EMN
1994-02-17,21.8125,22.0,21.6875,21.6875,8.788714,995000,EMN
1994-02-18,21.6875,21.75,21.5,21.5625,8.738052,434000,EMN
1994-02-22,21.25,21.4375,21.0625,21.25,8.611411,1151800,EMN
1994-02-23,21.25,21.4375,21.25,21.4375,8.687395,1016000,EMN
1994-02-24,21.375,21.375,21.125,21.1875,8.586089,537800,EMN
1994-02-25,21.0625,21.125,20.9375,20.9375,8.484778,651200,EMN
1994-02-28,21.0625,21.0625,20.8125,20.875,8.459444,520400,EMN
1994-03-01,20.8125,20.875,20.75,20.875,8.459444,751800,EMN
1994-03-02,20.75,20.8125,20.5625,20.5625,8.332809,1084800,EMN
1994-03-03,20.5625,20.5625,20.25,20.25,8.206169,731600,EMN
1994-03-04,20.25,20.3125,20.0,20.125,8.155518,1008400,EMN
1994-03-07,20.125,20.125,20.0625,20.0625,8.130188,600000,EMN
1994-03-08,20.0625,20.125,20.0,20.0625,8.130188,1083600,EMN
1994-03-09,19.8125,20.0625,19.8125,20.0625,8.212053,268400,EMN
1994-03-10,20.0,20.125,19.8125,19.875,8.135302,1073200,EMN
1994-03-11,19.875,20.375,19.875,20.3125,8.31438,297400,EMN
1994-03-14,20.4375,20.4375,20.25,20.375,8.339969,343400,EMN
