Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1972-06-01,0.0,3.578125,3.541667,3.552083,0.820406,314400,EMR
1972-06-02,3.552083,3.5625,3.541667,3.552083,0.820406,1396800,EMR
1972-06-05,3.552083,3.557292,3.53125,3.536458,0.816797,372000,EMR
1972-06-06,3.541667,3.5625,3.541667,3.541667,0.818,177600,EMR
1972-06-07,3.526042,3.526042,3.479167,3.479167,0.803565,379200,EMR
1972-06-08,3.479167,3.510417,3.479167,3.489583,0.805971,552000,EMR
1972-06-09,3.489583,3.5,3.46875,3.5,0.808376,177600,EMR
1972-06-12,3.5,3.510417,3.46875,3.5,0.808376,506400,EMR
1972-06-13,3.5,3.510417,3.479167,3.5,0.808376,288000,EMR
1972-06-14,3.5,3.515625,3.489583,3.489583,0.805971,789600,EMR
1972-06-15,3.489583,3.526042,3.489583,3.510417,0.810782,220800,EMR
1972-06-16,3.510417,3.520833,3.458333,3.463542,0.799956,96000,EMR
1972-06-19,3.463542,3.515625,3.447917,3.515625,0.811986,124800,EMR
1972-06-20,3.520833,3.541667,3.520833,3.526042,0.814392,206400,EMR
1972-06-21,3.53125,3.572917,3.53125,3.572917,0.825218,232800,EMR
1972-06-22,3.572917,3.572917,3.552083,3.5625,0.822812,336000,EMR
1972-06-23,3.5625,3.583333,3.53125,3.536458,0.816797,242400,EMR
1972-06-26,3.536458,3.536458,3.520833,3.520833,0.813189,237600,EMR
1972-06-27,3.53125,3.5625,3.53125,3.546875,0.819203,285600,EMR
1972-06-28,3.541667,3.541667,3.520833,3.53125,0.815594,139200,EMR
1972-06-29,3.53125,3.5625,3.489583,3.5625,0.822812,278400,EMR
1972-06-30,3.567708,3.598958,3.546875,3.546875,0.819203,153600,EMR
1972-07-03,3.546875,3.552083,3.536458,3.541667,0.818,134400,EMR
1972-07-05,3.552083,3.645833,3.552083,3.635417,0.839654,148800,EMR
1972-07-06,3.65625,3.697917,3.65625,3.677083,0.849276,391200,EMR
1972-07-07,3.677083,3.682292,3.645833,3.645833,0.842059,175200,EMR
1972-07-10,3.640625,3.640625,3.614583,3.614583,0.834841,201600,EMR
1972-07-11,3.59375,3.59375,3.557292,3.578125,0.82642,117600,EMR
1972-07-12,3.578125,3.598958,3.572917,3.572917,0.825218,242400,EMR
1972-07-13,3.572917,3.572917,3.546875,3.572917,0.825218,120000,EMR
1972-07-14,3.572917,3.59375,3.5625,3.578125,0.82642,182400,EMR
1972-07-17,3.578125,3.588542,3.567708,3.583333,0.827624,170400,EMR
1972-07-18,3.583333,3.604167,3.5625,3.604167,0.832436,158400,EMR
1972-07-19,3.604167,3.645833,3.598958,3.614583,0.834841,307200,EMR
1972-07-20,3.619792,3.666667,3.619792,3.666667,0.846871,76800,EMR
1972-07-21,3.666667,3.6875,3.645833,3.677083,0.849276,184800,EMR
1972-07-24,3.677083,3.755208,3.666667,3.755208,0.867321,194400,EMR
1972-07-25,3.755208,3.84375,3.739583,3.739583,0.863713,391200,EMR
1972-07-26,3.739583,3.75,3.723958,3.734375,0.862509,196800,EMR
1972-07-27,3.734375,3.75,3.71875,3.75,0.866118,446400,EMR
1972-07-28,3.75,3.75,3.692708,3.71875,0.858901,218400,EMR
1972-07-31,3.71875,3.71875,3.703125,3.71875,0.858901,144000,EMR
1972-08-01,3.729167,3.760417,3.729167,3.739583,0.863713,206400,EMR
1972-08-02,3.739583,3.744792,3.729167,3.729167,0.861306,1514400,EMR
1972-08-03,3.729167,3.744792,3.729167,3.744792,0.864916,350400,EMR
