Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1972-06-01,0.0,2.283738,2.25361,2.271687,0.36306,82978,ETN
1972-06-02,2.265661,2.265661,2.241558,2.247584,0.359208,120318,ETN
1972-06-05,2.235533,2.235533,2.199378,2.205404,0.352467,107871,ETN
1972-06-06,2.205404,2.217456,2.181301,2.193353,0.350541,327763,ETN
1972-06-07,2.187327,2.187327,2.175276,2.175276,0.347652,43563,ETN
1972-06-08,2.175276,2.187327,2.175276,2.175276,0.347652,87127,ETN
1972-06-09,2.175276,2.175276,2.157199,2.157199,0.344763,497868,ETN
1972-06-12,2.157199,2.163224,2.133096,2.133096,0.34091,109946,ETN
1972-06-13,2.133096,2.16925,2.108993,2.16925,0.346688,103722,ETN
1972-06-14,2.16925,2.181301,2.157199,2.181301,0.348615,35266,ETN
1972-06-15,2.193353,2.205404,2.193353,2.205404,0.352467,62233,ETN
1972-06-16,2.217456,2.25361,2.217456,2.247584,0.359208,51861,ETN
1972-06-19,2.235533,2.235533,2.229507,2.229507,0.356319,47712,ETN
1972-06-20,2.229507,2.265661,2.217456,2.25361,0.360171,190849,ETN
1972-06-21,2.277713,2.313867,2.277713,2.283738,0.364986,136914,ETN
1972-06-22,2.283738,2.283738,2.283738,2.283738,0.364986,53936,ETN
1972-06-23,2.283738,2.301815,2.283738,2.283738,0.364986,95425,ETN
1972-06-26,2.283738,2.283738,2.223481,2.223481,0.355356,701164,ETN
1972-06-27,2.229507,2.259635,2.229507,2.235533,0.357282,350582,ETN
1972-06-28,2.223481,2.223481,2.199378,2.199378,0.351503,85052,ETN
1972-06-29,2.199378,2.205404,2.157199,2.16925,0.346688,105797,ETN
1972-06-30,2.16925,2.199378,2.157199,2.187327,0.349578,109946,ETN
1972-07-03,2.187327,2.199378,2.181301,2.193353,0.350541,47712,ETN
1972-07-05,2.193353,2.217456,2.193353,2.199378,0.351503,43563,ETN
1972-07-06,2.217456,2.25361,2.217456,2.247584,0.359208,141063,ETN
1972-07-07,2.235533,2.235533,2.193353,2.21143,0.35343,134839,ETN
1972-07-10,2.21143,2.217456,2.193353,2.21143,0.35343,85052,ETN
1972-07-11,2.193353,2.193353,2.175276,2.175276,0.347652,20744,ETN
1972-07-12,2.175276,2.205404,2.163224,2.205404,0.352467,47712,ETN
1972-07-13,2.193353,2.193353,2.16925,2.16925,0.346688,514464,ETN
1972-07-14,2.16925,2.193353,2.16925,2.193353,0.350541,49787,ETN
1972-07-17,2.193353,2.205404,2.187327,2.187327,0.349578,138988,ETN
1972-07-18,2.187327,2.187327,2.16925,2.16925,0.346688,132765,ETN
1972-07-19,2.16925,2.205404,2.16925,2.205404,0.352467,99574,ETN
1972-07-20,2.199378,2.199378,2.175276,2.175276,0.347652,91276,ETN
1972-07-21,2.16925,2.16925,2.157199,2.16925,0.346688,62233,ETN
1972-07-24,2.181301,2.21143,2.181301,2.193353,0.350541,369252,ETN
1972-07-25,2.193353,2.205404,2.16925,2.16925,0.346688,400369,ETN
1972-07-26,2.175276,2.199378,2.175276,2.175276,0.347652,163882,ETN
1972-07-27,2.175276,2.181301,2.12707,2.151173,0.3438,213668,ETN
1972-07-28,2.133096,2.133096,2.096942,2.096942,0.335132,163882,ETN
1972-07-31,2.08489,2.08489,2.04271,2.054762,0.328391,182552,ETN
1972-08-01,2.030659,2.030659,1.976428,2.030659,0.327226,369252,ETN
1972-08-02,2.036685,2.078865,2.036685,2.078865,0.334994,205371,ETN
1972-08-03,2.090916,2.115019,2.090916,2.096942,0.337907,116169,ETN
1972-08-04,2.08489,2.08489,2.054762,2.072839,0.334023,89201,ETN
1972-08-07,2.08489,2.115019,2.08489,2.090916,0.336936,87127,ETN
1972-08-08,2.090916,2.108993,2.078865,2.108993,0.339849,182552,ETN
1972-08-09,2.108993,2.108993,2.072839,2.08489,0.335965,143137,ETN
1972-08-10,2.08489,2.102967,2.030659,2.030659,0.327226,78829,ETN
1972-08-11,2.030659,2.048736,2.000531,2.048736,0.330139,356805,ETN
1972-08-14,2.048736,2.066813,2.036685,2.066813,0.333052,138988,ETN
1972-08-15,2.066813,2.078865,2.054762,2.054762,0.33111,1568284,ETN
1972-08-16,2.054762,2.066813,2.048736,2.054762,0.33111,122393,ETN
1972-08-17,2.054762,2.066813,2.024633,2.024633,0.326255,49787,ETN
1972-08-18,2.024633,2.066813,2.012582,2.060788,0.332081,180477,ETN
1972-08-21,2.060788,2.102967,2.060788,2.08489,0.335965,271753,ETN
1972-08-22,2.08489,2.108993,2.08489,2.108993,0.339849,74680,ETN
1972-08-23,2.108993,2.133096,2.096942,2.133096,0.343733,122393,ETN
1972-08-24,2.133096,2.16925,2.12707,2.157199,0.347617,207445,ETN
1972-08-25,2.157199,2.16925,2.151173,2.151173,0.346646,78829,ETN
1972-08-28,2.151173,2.163224,2.151173,2.151173,0.346646,74680,ETN
1972-08-29,2.151173,2.181301,2.151173,2.16925,0.349559,263455,ETN
1972-08-30,2.16925,2.193353,2.16925,2.16925,0.349559,207445,ETN
1972-08-31,2.16925,2.181301,2.163224,2.16925,0.349559,265530,ETN
1972-09-01,2.16925,2.16925,2.157199,2.16925,0.349559,66382,ETN
1972-09-05,2.16925,2.181301,2.16925,2.16925,0.349559,105797,ETN
1972-09-06,2.16925,2.187327,2.16925,2.16925,0.349559,255157,ETN
1972-09-07,2.16925,2.187327,2.16925,2.175276,0.35053,68457,ETN
1972-09-08,2.175276,2.193353,2.16925,2.181301,0.351501,352656,ETN
1972-09-11,2.181301,2.187327,2.175276,2.175276,0.35053,58085,ETN
1972-09-12,2.175276,2.181301,2.163224,2.16925,0.349559,149360,ETN
1972-09-13,2.16925,2.16925,2.145147,2.145147,0.345675,329838,ETN
1972-09-14,2.145147,2.157199,2.139122,2.145147,0.345675,112020,ETN
1972-09-15,2.145147,2.151173,2.139122,2.151173,0.346646,35266,ETN
1972-09-18,2.151173,2.151173,2.145147,2.145147,0.345675,14521,ETN
1972-09-19,2.145147,2.163224,2.133096,2.163224,0.348588,97499,ETN
1972-09-20,2.163224,2.163224,2.133096,2.151173,0.346646,118244,ETN
1972-09-21,2.151173,2.151173,2.139122,2.151173,0.346646,24893,ETN
1972-09-22,2.151173,2.157199,2.145147,2.145147,0.345675,56010,ETN
1972-09-25,2.145147,2.145147,2.12707,2.12707,0.342762,558027,ETN
1972-09-26,2.115019,2.115019,2.048736,2.060788,0.332081,387922,ETN
1972-09-27,2.060788,2.096942,2.060788,2.090916,0.336936,176328,ETN
1972-09-28,2.090916,2.115019,2.078865,2.096942,0.337907,109946,ETN
1972-09-29,2.096942,2.108993,2.078865,2.090916,0.336936,307019,ETN
1972-10-02,2.090916,2.090916,2.060788,2.078865,0.334994,186700,ETN
1972-10-03,2.078865,2.090916,2.048736,2.054762,0.33111,439783,ETN
1972-10-04,2.054762,2.060788,2.048736,2.054762,0.33111,165956,ETN
1972-10-05,2.054762,2.060788,2.036685,2.036685,0.328197,89201,ETN
1972-10-06,2.036685,2.054762,2.000531,2.018608,0.325284,485421,ETN
1972-10-09,2.018608,2.018608,2.006556,2.006556,0.323342,26968,ETN
1972-10-10,2.006556,2.012582,1.988479,2.000531,0.322371,174254,ETN
1972-10-11,2.018608,2.04271,2.018608,2.024633,0.326255,267604,ETN
1972-10-12,2.024633,2.030659,2.000531,2.006556,0.323342,60159,ETN
1972-10-13,2.006556,2.018608,2.000531,2.000531,0.322371,35266,ETN
1972-10-16,2.000531,2.012582,1.982453,2.000531,0.322371,62233,ETN
1972-10-17,2.000531,2.000531,1.964376,1.964376,0.316545,76755,ETN
1972-10-18,1.970402,1.982453,1.970402,1.982453,0.319458,143137,ETN
1972-10-19,1.982453,1.982453,1.964376,1.964376,0.316545,74680,ETN
1972-10-20,1.964376,1.976428,1.946299,1.970402,0.317516,109946,ETN
1972-10-23,1.976428,2.006556,1.976428,2.000531,0.322371,138988,ETN
1972-10-24,2.000531,2.024633,1.994505,1.994505,0.3214,319465,ETN
1972-10-25,1.988479,1.988479,1.976428,1.976428,0.318487,255157,ETN
1972-10-26,1.976428,1.976428,1.904119,1.904119,0.306835,2416734,ETN
1972-10-27,1.916171,1.928222,1.916171,1.916171,0.308777,259306,ETN
1972-10-30,1.916171,1.952325,1.916171,1.952325,0.314603,338135,ETN
1972-10-31,1.958351,2.012582,1.958351,1.988479,0.320429,468826,ETN
1972-11-01,1.988479,1.988479,1.976428,1.976428,0.321605,194998,ETN
1972-11-02,1.976428,2.000531,1.976428,1.976428,0.321605,356805,ETN
1972-11-03,1.976428,2.000531,1.970402,2.000531,0.325528,201222,ETN
1972-11-06,2.000531,2.012582,2.000531,2.012582,0.327488,340210,ETN
1972-11-08,2.012582,2.036685,2.012582,2.012582,0.327488,350582,ETN
1972-11-09,2.006556,2.006556,1.988479,1.988479,0.323566,255157,ETN
1972-11-10,1.988479,2.006556,1.982453,1.994505,0.324547,419039,ETN
1972-11-13,1.994505,2.006556,1.982453,1.988479,0.323566,296646,ETN
1972-11-14,1.988479,1.988479,1.964376,1.964376,0.319644,159733,ETN
1972-11-15,1.964376,1.970402,1.928222,1.928222,0.313761,138988,ETN
1972-11-16,1.922197,1.922197,1.904119,1.916171,0.3118,371326,ETN
1972-11-17,1.916171,1.958351,1.904119,1.952325,0.317684,275902,ETN
1972-11-20,1.952325,1.976428,1.952325,1.976428,0.321605,126541,ETN
1972-11-21,1.976428,1.976428,1.952325,1.976428,0.321605,178403,ETN
1972-11-22,1.976428,1.976428,1.952325,1.970402,0.320625,636856,ETN
1972-11-24,1.976428,2.000531,1.976428,2.000531,0.325528,224041,ETN
1972-11-27,2.000531,2.018608,1.994505,2.006556,0.326508,159733,ETN
1972-11-28,2.006556,2.006556,1.976428,1.988479,0.323566,182552,ETN
1972-11-29,1.988479,2.006556,1.982453,1.994505,0.324547,126541,ETN
1972-11-30,1.994505,1.994505,1.958351,1.994505,0.324547,161807,ETN
1972-12-01,1.994505,1.994505,1.940274,1.958351,0.318664,2748646,ETN
1972-12-04,1.958351,1.976428,1.940274,1.976428,0.321605,657601,ETN
1972-12-05,1.976428,1.994505,1.976428,1.988479,0.323566,512389,ETN
1972-12-06,1.988479,2.036685,1.976428,2.036685,0.331411,456379,ETN
1972-12-07,2.054762,2.08489,2.054762,2.08489,0.339255,833929,ETN
1972-12-08,2.08489,2.115019,2.08489,2.115019,0.344157,242711,ETN
1972-12-11,2.115019,2.139122,2.102967,2.133096,0.347099,228189,ETN
1972-12-12,2.12707,2.12707,2.108993,2.121044,0.345138,143137,ETN
1972-12-13,2.121044,2.121044,2.072839,2.096942,0.341216,116169,ETN
1972-12-14,2.090916,2.090916,2.072839,2.072839,0.337294,852599,ETN
1972-12-15,2.060788,2.060788,2.006556,2.006556,0.326508,850524,ETN
