Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1997-11-10,25.75,25.75,25.125,25.1875,8.076983,947200,FE
1997-11-11,25.1875,25.4375,25.125,25.3125,8.117064,514700,FE
1997-11-12,25.25,25.875,25.125,25.625,8.217274,344700,FE
1997-11-13,25.5625,25.9375,25.5625,25.875,8.297441,1007700,FE
1997-11-14,25.875,26.0,25.6875,26.0,8.337529,1394900,FE
1997-11-17,25.9375,26.25,25.875,26.125,8.377615,706600,FE
1997-11-18,26.0,26.375,25.9375,26.0625,8.357571,625800,FE
1997-11-19,26.0,26.25,26.0,26.25,8.417698,342400,FE
1997-11-20,26.1875,26.625,26.1875,26.5,8.497867,558800,FE
1997-11-21,26.75,26.875,26.5,26.875,8.618121,640800,FE
1997-11-24,26.625,27.0,26.5,26.875,8.618121,330800,FE
1997-11-25,26.8125,27.25,26.75,27.125,8.698288,1021000,FE
1997-11-26,27.1875,27.1875,26.875,26.875,8.618121,488700,FE
1997-11-28,27.0,27.0,26.875,27.0,8.658201,244200,FE
1997-12-01,27.0,27.375,26.9375,27.375,8.778454,836200,FE
1997-12-02,27.25,27.375,27.0625,27.125,8.698288,437800,FE
1997-12-03,27.25,27.25,26.875,27.125,8.698288,338400,FE
1997-12-04,27.25,27.6875,27.0625,27.375,8.778454,1405800,FE
1997-12-05,27.125,27.875,27.125,27.3125,8.758412,362500,FE
1997-12-08,27.375,27.4375,27.125,27.3125,8.758412,312900,FE
1997-12-09,27.1875,27.3125,26.9375,27.1875,8.718328,365300,FE
1997-12-10,27.4375,27.5,27.1875,27.3125,8.758412,354100,FE
1997-12-11,27.25,27.3125,26.9375,27.125,8.698288,199600,FE
1997-12-12,27.25,27.3125,27.0,27.1875,8.718328,680500,FE
1997-12-15,27.1875,27.5625,27.1875,27.5,8.81854,489500,FE
1997-12-16,27.5,27.5625,27.375,27.4375,8.798502,310200,FE
1997-12-17,27.5625,27.5625,27.3125,27.4375,8.798502,386100,FE
1997-12-18,27.4375,27.8125,27.375,27.8125,8.918755,1640900,FE
1997-12-19,27.8125,28.3125,27.6875,28.3125,9.079088,2164100,FE
1997-12-22,28.3125,28.8125,28.25,28.625,9.179301,851400,FE
1997-12-23,28.4375,28.75,28.3125,28.5,9.139212,493200,FE
1997-12-24,28.5625,28.6875,28.4375,28.625,9.179301,92200,FE
1997-12-26,28.5625,28.625,28.0625,28.25,9.059047,215300,FE
1997-12-29,28.25,28.75,28.125,28.5625,9.159255,280800,FE
1997-12-30,28.625,28.8125,28.5,28.8125,9.239424,268600,FE
1997-12-31,28.625,29.0,28.5625,29.0,9.299553,482900,FE
1998-01-02,28.75,28.9375,28.5,28.875,9.259471,317200,FE
1998-01-05,28.6875,28.90625,28.1875,28.375,9.099132,734200,FE
1998-01-06,28.25,28.625,28.25,28.5625,9.159255,1507800,FE
1998-01-07,28.4375,28.4375,28.0625,28.4375,9.119169,724000,FE
1998-01-08,28.3125,28.4375,28.0625,28.375,9.099132,461600,FE
1998-01-09,28.3125,28.5625,28.125,28.3125,9.079088,863900,FE
1998-01-12,27.875,28.75,27.875,28.75,9.219379,679200,FE
1998-01-13,28.75,28.75,28.375,28.4375,9.119169,1065600,FE
1998-01-14,28.4375,28.4375,28.125,28.4375,9.119169,348700,FE
1998-01-15,28.3125,28.375,28.25,28.25,9.059047,638200,FE
1998-01-16,28.5,28.5,28.25,28.375,9.099132,488700,FE
1998-01-20,28.375,28.5,28.0,28.5,9.139212,344700,FE
1998-01-21,28.5,28.75,28.25,28.5,9.139212,464300,FE
1998-01-22,28.4375,28.5,28.25,28.5,9.139212,421800,FE
1998-01-23,28.4375,28.5,28.1875,28.3125,9.079088,320800,FE
1998-01-26,28.25,28.625,28.25,28.625,9.179301,1019500,FE
1998-01-27,28.625,28.875,28.5625,28.625,9.179301,415700,FE
1998-01-28,28.5625,29.0,28.5,28.9375,9.279512,325800,FE
1998-01-29,28.9375,29.5,28.75,29.4375,9.439841,1813100,FE
1998-01-30,29.375,29.5,29.0,29.0,9.299553,283500,FE
1998-02-02,29.5,29.625,28.875,29.0,9.299553,1120100,FE
1998-02-03,28.75,29.4375,28.75,29.4375,9.439841,2424000,FE
1998-02-04,28.875,29.25,28.875,29.0625,9.439844,544800,FE
1998-02-05,29.0625,29.4375,28.9375,29.25,9.500749,854100,FE
1998-02-06,29.25,29.875,29.25,29.5625,9.602249,415100,FE
1998-02-09,29.5,29.5625,29.3125,29.375,9.541354,553000,FE
1998-02-10,29.25,29.4375,29.125,29.25,9.500749,329000,FE
1998-02-11,29.1875,29.3125,29.125,29.25,9.500749,407900,FE
1998-02-12,29.1875,29.4375,29.0,29.375,9.541354,436400,FE
1998-02-13,29.375,29.6875,29.1875,29.625,9.622554,241300,FE
1998-02-17,29.625,29.8125,29.0625,29.25,9.500749,336100,FE
1998-02-18,29.25,29.4375,29.1875,29.1875,9.480445,320700,FE
1998-02-19,29.1875,29.25,29.0,29.25,9.500749,510000,FE
1998-02-20,29.3125,29.3125,28.875,29.0625,9.439844,392600,FE
1998-02-23,29.125,29.125,28.75,29.0,9.419546,553700,FE
1998-02-24,28.9375,29.0,28.5,28.75,9.338344,367100,FE
1998-02-25,29.0,29.125,28.6875,29.0,9.419546,268300,FE
1998-02-26,28.875,29.0,28.625,28.8125,9.358644,396700,FE
