Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2001-06-20,24.0,24.5,23.9,23.9,9.751898,11000,FIS
2001-06-21,24.5,25.5,24.5,25.5,10.404745,39300,FIS
2001-06-22,25.5,25.65,25.5,25.6,10.445548,33800,FIS
2001-06-25,25.9,26.5,25.9,26.5,10.812778,9100,FIS
2001-06-26,26.5,26.5,26.15,26.450001,10.792373,109800,FIS
2001-06-27,26.450001,26.6,26.440001,26.6,10.853578,185300,FIS
2001-06-28,26.799999,27.5,26.799999,27.5,11.220804,66000,FIS
2001-06-29,27.549999,28.1,27.549999,28.0,11.424816,71300,FIS
2001-07-02,28.0,28.4,28.0,28.0,11.424816,69700,FIS
2001-07-03,28.01,28.16,28.01,28.049999,11.445221,56200,FIS
2001-07-05,28.049999,28.049999,27.940001,27.950001,11.404418,61900,FIS
2001-07-06,27.950001,30.0,26.9,30.0,12.24087,3337400,FIS
2001-07-09,30.0,31.299999,29.799999,29.91,12.204154,1674700,FIS
2001-07-10,29.91,30.01,28.549999,28.549999,11.649233,1210400,FIS
2001-07-11,28.450001,29.01,28.379999,28.5,11.628836,2426400,FIS
2001-07-12,28.51,30.200001,28.51,29.450001,12.016459,1294600,FIS
2001-07-13,29.35,30.02,28.99,29.0,11.832848,709500,FIS
2001-07-16,29.0,29.610001,28.52,28.75,11.730836,593900,FIS
2001-07-17,28.75,29.75,28.709999,29.59,12.073585,837100,FIS
2001-07-18,29.52,30.0,29.43,29.49,12.032785,396600,FIS
2001-07-19,29.440001,29.5,28.809999,28.9,11.792046,303600,FIS
2001-07-20,28.799999,29.15,28.799999,28.959999,11.816525,519000,FIS
2001-07-23,28.959999,29.01,28.6,29.01,11.836925,206100,FIS
2001-07-24,28.950001,29.299999,28.74,28.98,11.824685,268600,FIS
2001-07-25,28.969999,29.790001,28.75,29.549999,12.057261,385200,FIS
2001-07-26,29.4,29.950001,29.18,29.93,12.212315,208500,FIS
2001-07-27,29.92,30.549999,29.9,30.530001,12.457133,274600,FIS
2001-07-30,30.540001,32.150002,30.540001,31.620001,12.901883,289200,FIS
2001-07-31,31.6,33.5,31.6,33.02,13.473124,357300,FIS
2001-08-01,33.099998,34.279999,33.099998,34.0,13.872993,759800,FIS
2001-08-02,33.950001,34.200001,33.66,33.709999,13.754662,365500,FIS
2001-08-03,33.5,33.549999,32.599998,32.650002,13.322159,139800,FIS
2001-08-06,32.799999,32.900002,32.080002,32.139999,13.114061,161700,FIS
2001-08-07,32.139999,32.700001,32.099998,32.450001,13.240547,186400,FIS
