Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-03-17,0.0,4.197531,4.148148,4.197531,1.17628,111881,GPC
1980-03-18,0.0,4.345679,4.148148,4.345679,1.217795,88594,GPC
1980-03-19,0.0,4.419753,4.345679,4.419753,1.238553,69356,GPC
1980-03-20,0.0,4.493827,4.444444,4.444444,1.245472,36450,GPC
1980-03-21,0.0,4.444444,4.345679,4.345679,1.217795,53663,GPC
1980-03-24,0.0,4.37037,4.222222,4.246914,1.190118,247556,GPC
1980-03-25,0.0,4.271605,4.197531,4.222222,1.183199,21769,GPC
1980-03-26,0.0,4.444444,4.197531,4.444444,1.245472,187819,GPC
1980-03-27,0.0,4.37037,4.246914,4.345679,1.217795,248569,GPC
1980-03-28,0.0,4.518519,4.320988,4.493827,1.259312,174150,GPC
1980-03-31,0.0,4.518519,4.419753,4.518519,1.266231,74419,GPC
1980-04-01,0.0,4.54321,4.493827,4.54321,1.273149,43031,GPC
1980-04-02,0.0,4.54321,4.444444,4.469136,1.252392,63281,GPC
1980-04-03,0.0,4.54321,4.54321,4.54321,1.273149,28350,GPC
1980-04-07,0.0,4.518519,4.395062,4.444444,1.245472,90113,GPC
1980-04-08,0.0,4.54321,4.469136,4.518519,1.266231,15694,GPC
1980-04-09,0.0,4.54321,4.518519,4.54321,1.273149,115425,GPC
1980-04-10,0.0,4.54321,4.518519,4.54321,1.273149,90619,GPC
1980-04-11,0.0,4.493827,4.37037,4.395062,1.231635,135675,GPC
1980-04-14,0.0,4.395062,4.024691,4.074074,1.141683,41006,GPC
1980-04-15,0.0,4.098765,4.074074,4.098765,1.148602,245025,GPC
1980-04-16,0.0,4.098765,4.024691,4.049383,1.134764,91125,GPC
1980-04-17,0.0,4.049383,4.024691,4.024691,1.127845,34931,GPC
1980-04-18,0.0,4.074074,4.024691,4.049383,1.134764,24300,GPC
1980-04-21,0.0,4.049383,4.0,4.049383,1.134764,101250,GPC
1980-04-22,0.0,4.098765,4.024691,4.049383,1.134764,245025,GPC
1980-04-23,0.0,4.024691,3.950617,3.950617,1.107087,144281,GPC
1980-04-24,0.0,4.074074,3.950617,3.975309,1.114006,102769,GPC
1980-04-25,0.0,4.024691,3.950617,3.975309,1.114006,95681,GPC
1980-04-28,0.0,4.098765,3.975309,4.024691,1.127845,173644,GPC
1980-04-29,0.0,4.123457,4.049383,4.123457,1.155522,349819,GPC
1980-04-30,0.0,4.098765,4.0,4.074074,1.141683,96188,GPC
1980-05-01,0.0,4.074074,4.0,4.0,1.120925,68850,GPC
1980-05-02,0.0,4.0,3.950617,3.950617,1.107087,47588,GPC
1980-05-05,0.0,4.0,3.950617,4.0,1.120925,59738,GPC
1980-05-06,0.0,4.024691,3.925926,4.024691,1.127845,169594,GPC
1980-05-07,0.0,4.049383,3.950617,3.975309,1.114006,91631,GPC
1980-05-08,0.0,4.024691,3.925926,4.0,1.120925,144788,GPC
1980-05-09,0.0,4.0,3.950617,3.950617,1.107087,82519,GPC
1980-05-12,0.0,3.975309,3.925926,3.950617,1.107087,12150,GPC
1980-05-13,0.0,4.148148,3.950617,4.148148,1.16244,127575,GPC
