Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2001-01-16,3.75,3.75,3.75,3.75,3.550133,3200,GPN
2001-01-17,3.75,3.75,3.75,3.75,3.550133,122800,GPN
2001-01-18,3.875,4.125,3.875,4.125,3.905146,167200,GPN
2001-01-19,4.1875,4.28125,4.1875,4.28125,4.053067,59600,GPN
2001-01-22,4.25,4.625,4.25,4.5625,4.319331,146800,GPN
2001-01-23,4.5,4.78125,4.5,4.6875,4.437666,76000,GPN
2001-01-24,4.625,4.625,4.5625,4.5625,4.319331,560000,GPN
2001-01-25,4.65625,4.6875,4.625,4.6875,4.437666,143200,GPN
2001-01-26,4.625,4.640625,4.625,4.625,4.378498,82000,GPN
2001-01-29,4.63,4.6875,4.6,4.675,4.425831,262000,GPN
2001-01-30,4.675,4.675,4.5875,4.65,4.402165,339200,GPN
2001-01-31,4.675,4.7625,4.675,4.6875,4.437666,326000,GPN
2001-02-01,4.75,5.3,4.69,5.225,4.946519,2556800,GPN
2001-02-02,5.1875,5.25,5.15,5.2075,4.929952,795600,GPN
2001-02-05,5.2125,5.3625,4.98,4.9925,4.726411,644800,GPN
2001-02-06,4.975,5.005,4.9375,4.9375,4.67434,1338800,GPN
2001-02-07,4.925,5.0,4.9125,5.0,4.733512,1350400,GPN
2001-02-08,5.0,5.04,4.875,4.875,4.615172,578800,GPN
2001-02-09,4.875,4.9375,4.875,4.9375,4.67434,441600,GPN
2001-02-12,4.9375,4.9375,4.825,4.825,4.567842,327200,GPN
2001-02-13,4.825,4.885,4.8125,4.8125,4.556005,648800,GPN
2001-02-14,4.8125,4.8125,4.7675,4.77,4.515769,135600,GPN
2001-02-15,4.775,4.7875,4.575,4.575,4.331161,454400,GPN
2001-02-16,4.525,4.525,4.35,4.5175,4.276728,427200,GPN
2001-02-20,4.5175,4.5375,4.4525,4.5225,4.28146,1000400,GPN
2001-02-21,4.5225,4.5225,4.475,4.52,4.279093,443600,GPN
2001-02-22,4.52,4.535,4.475,4.5075,4.267261,623600,GPN
2001-02-23,4.525,4.675,4.5,4.6125,4.366664,1222800,GPN
2001-02-26,4.625,4.78,4.625,4.75,4.496836,1182400,GPN
2001-02-27,4.75,4.75,4.725,4.725,4.473168,690000,GPN
2001-02-28,4.725,4.75,4.7125,4.75,4.496836,326000,GPN
2001-03-01,4.725,4.725,4.675,4.675,4.425831,155200,GPN
2001-03-02,4.6875,4.7025,4.675,4.69,4.440032,836800,GPN
2001-03-05,4.6875,4.7625,4.6875,4.7525,4.499204,402800,GPN
2001-03-06,4.7525,4.775,4.7,4.7,4.449501,610000,GPN
2001-03-07,4.7,4.7475,4.7,4.7475,4.494469,89600,GPN
2001-03-08,4.745,4.745,4.7,4.7,4.449501,211600,GPN
2001-03-09,4.7,4.7025,4.675,4.695,4.444768,269600,GPN
2001-03-12,4.695,4.725,4.6625,4.675,4.425831,106400,GPN
2001-03-13,4.7125,4.7125,4.6125,4.6125,4.366664,671600,GPN
2001-03-14,4.6125,4.6375,4.4675,4.475,4.236494,455600,GPN
2001-03-15,4.45,4.45,4.2875,4.3575,4.125254,1160400,GPN
2001-03-16,4.3875,4.45,4.3375,4.3375,4.106319,402800,GPN
2001-03-19,4.2875,4.4375,4.2875,4.3,4.070818,1173600,GPN
2001-03-20,4.3125,4.39,4.25,4.275,4.047151,222000,GPN
2001-03-21,4.275,4.3,4.0625,4.1625,3.940648,135200,GPN
2001-03-22,4.3125,4.4625,4.25,4.4625,4.22466,2125600,GPN
2001-03-23,4.475,4.575,4.475,4.575,4.331161,757600,GPN
2001-03-26,4.6125,4.625,4.57,4.625,4.378498,207600,GPN
2001-03-27,4.6,4.6125,4.5325,4.5875,4.342997,435200,GPN
2001-03-28,4.575,4.6,4.4625,4.4625,4.22466,420800,GPN
2001-03-29,4.45,4.45,4.325,4.325,4.094488,535200,GPN
2001-03-30,4.325,4.625,4.325,4.625,4.378498,1308800,GPN
2001-04-02,4.6,4.6,4.425,4.45,4.212823,685600,GPN
2001-04-03,4.45,4.5,4.3625,4.5,4.260159,192800,GPN
2001-04-04,4.4625,4.5,4.4375,4.4975,4.257792,606000,GPN
2001-04-05,4.5,4.53,4.4825,4.53,4.288562,629200,GPN
2001-04-06,4.5175,4.735,4.5,4.7125,4.461336,476000,GPN
2001-04-09,4.715,4.74,4.6125,4.6525,4.404531,113600,GPN
2001-04-10,4.6775,4.775,4.6775,4.7625,4.50867,954400,GPN
2001-04-11,4.875,5.225,4.875,5.225,4.946519,1570000,GPN
2001-04-12,5.1675,5.5875,5.1675,5.5875,5.289698,689200,GPN
2001-04-16,5.575,5.575,5.365,5.375,5.088525,368000,GPN
2001-04-17,5.35,5.4375,5.265,5.375,5.088525,581200,GPN
2001-04-18,5.25,5.3525,5.25,5.32,5.036457,285200,GPN
2001-04-19,5.295,5.32,5.1625,5.31,5.026988,121600,GPN
2001-04-20,5.35,5.45,5.2375,5.25,4.970186,1139600,GPN
2001-04-23,5.275,5.275,5.2125,5.225,4.946519,946400,GPN
2001-04-24,5.22,5.2325,5.1875,5.225,4.946519,626000,GPN
2001-04-25,5.225,5.2875,5.225,5.2625,4.98202,326000,GPN
2001-04-26,5.265,5.2875,5.2275,5.245,4.96545,469200,GPN
2001-04-27,5.2475,5.2525,5.23,5.25,4.970186,549200,GPN
2001-04-30,5.2,5.4,5.1875,5.2875,5.005688,946800,GPN
2001-05-01,5.2875,6.095,5.2875,5.965,5.647077,889200,GPN
2001-05-02,6.0,6.2375,5.8,6.115,5.789085,547600,GPN
2001-05-03,6.075,6.1,5.95,6.0,5.680214,289200,GPN
2001-05-04,5.9625,6.05,5.95,5.995,5.675479,521600,GPN
2001-05-07,6.025,6.125,6.025,6.0975,5.772516,176000,GPN
2001-05-08,6.125,6.2925,6.125,6.2925,5.957123,920000,GPN
2001-05-09,6.275,6.275,6.0625,6.0625,5.739381,213200,GPN
2001-05-10,6.0125,6.0375,5.9225,5.9225,5.606843,161600,GPN
2001-05-11,5.9475,5.9475,5.75,5.7525,5.445904,71600,GPN
2001-05-14,5.7875,6.025,5.6325,6.0175,5.69678,136400,GPN
2001-05-15,6.0375,6.2475,6.0375,6.175,5.855615,244800,GPN
2001-05-16,6.1625,6.3,6.125,6.2625,5.938591,309600,GPN
2001-05-17,6.28,6.55,6.28,6.525,6.187516,278800,GPN
2001-05-18,6.5,6.55,6.4925,6.5,6.16381,119600,GPN
2001-05-21,6.475,6.575,6.425,6.575,6.234928,113600,GPN
2001-05-22,6.625,6.925,6.5575,6.625,6.282341,606800,GPN
2001-05-23,6.6125,6.625,6.4625,6.475,6.140099,323200,GPN
2001-05-24,6.475,6.475,6.1625,6.275,5.950446,375200,GPN
2001-05-25,6.275,6.35,6.275,6.35,6.021567,251600,GPN
2001-05-29,6.3375,6.4375,6.325,6.3625,6.033417,271200,GPN
2001-05-30,6.3625,6.5,6.3625,6.49,6.154325,334000,GPN
2001-05-31,6.5,6.675,6.5,6.575,6.234928,350400,GPN
2001-06-01,6.575,6.6,6.5025,6.5125,6.175661,77200,GPN
2001-06-04,6.5375,6.7,6.5375,6.7,6.353464,92800,GPN
2001-06-05,6.8,6.8,6.65,6.775,6.424583,513600,GPN
2001-06-06,6.7625,6.81,6.7275,6.7775,6.426955,279200,GPN
2001-06-07,6.7525,6.925,6.75,6.88,6.524153,400000,GPN
2001-06-08,6.85,6.8625,6.825,6.8375,6.483851,111600,GPN
2001-06-11,6.8325,6.8375,6.725,6.7375,6.389026,267200,GPN
2001-06-12,6.725,6.875,6.7125,6.85,6.495706,351600,GPN
2001-06-13,6.8625,7.075,6.8575,6.9375,6.578678,111600,GPN
2001-06-14,6.94,6.975,6.825,6.8625,6.507561,155600,GPN
2001-06-15,6.825,6.875,6.7475,6.775,6.424583,436000,GPN
2001-06-18,6.825,6.925,6.775,6.85,6.495706,177600,GPN
2001-06-19,6.85,6.8625,6.7625,6.775,6.424583,145200,GPN
2001-06-20,6.775,6.905,6.775,6.9,6.543118,306400,GPN
2001-06-21,6.8975,7.15,6.8975,6.9425,6.583422,946400,GPN
2001-06-22,7.0175,7.0175,6.95,6.9875,6.626095,276800,GPN
2001-06-25,7.0025,7.165,7.0025,7.15,6.780189,233600,GPN
2001-06-26,7.125,7.275,7.125,7.2375,6.863162,731200,GPN
2001-06-27,7.2625,7.3075,7.1925,7.2625,6.886869,396400,GPN
2001-06-28,7.325,7.5,7.325,7.4625,7.076526,433600,GPN
2001-06-29,7.4875,7.525,7.4625,7.525,7.135794,523200,GPN
2001-07-02,7.525,7.6625,7.4875,7.6625,7.26618,410000,GPN
2001-07-03,7.6375,7.8125,7.6,7.7875,7.384715,197200,GPN
2001-07-05,7.7875,8.0725,7.7875,7.9625,7.550664,460400,GPN
2001-07-06,7.95,7.975,7.7,7.7025,7.304111,181200,GPN
2001-07-09,7.7025,7.7125,7.475,7.5,7.112086,556400,GPN
2001-07-10,7.5,7.5,7.1,7.1,6.732777,346800,GPN
2001-07-11,7.1,7.15,7.025,7.1,6.732777,250800,GPN
2001-07-12,7.1,7.275,7.025,7.2425,6.867903,349600,GPN
2001-07-13,7.2425,7.325,7.225,7.3125,6.934286,151200,GPN
2001-07-16,7.3,7.3125,7.15,7.1625,6.792041,93200,GPN
2001-07-17,7.1875,7.2625,7.1625,7.225,6.851308,190000,GPN
2001-07-18,7.225,7.225,6.875,6.9,6.543118,139200,GPN
2001-07-19,7.625,7.8375,7.5025,7.8,7.39657,2679600,GPN
2001-07-20,7.8375,8.8125,7.8375,8.775,8.321137,3266800,GPN
2001-07-23,8.5,8.6875,8.225,8.525,8.084072,1524000,GPN
2001-07-24,8.6375,8.6375,8.4625,8.4975,8.057992,934800,GPN
2001-07-25,8.4975,8.4975,8.3,8.425,7.989245,184800,GPN
2001-07-26,8.425,8.5,8.2875,8.495,8.055625,294000,GPN
2001-07-27,8.4825,8.4975,8.41,8.4675,8.029542,732000,GPN
2001-07-30,8.4675,8.485,8.2,8.2375,7.811438,501200,GPN
2001-07-31,8.2375,8.3,8.0625,8.075,7.657345,347200,GPN
2001-08-01,8.07,8.25,8.07,8.2125,7.787734,368400,GPN
2001-08-02,8.2125,8.28,8.175,8.175,7.752174,421200,GPN
2001-08-03,8.1125,8.1125,7.9625,7.9875,7.57437,507600,GPN
2001-08-06,7.975,8.0875,7.9375,7.9375,7.526959,564800,GPN
2001-08-07,7.9375,8.0,7.8625,7.9875,7.57437,190400,GPN
2001-08-08,7.9875,8.0,7.9,7.9,7.491396,264800,GPN
2001-08-09,7.8875,8.0,7.8,8.0,7.586225,348400,GPN
2001-08-10,8.0,8.2375,8.0,8.235,7.809072,366400,GPN
2001-08-13,8.2375,8.75,8.2375,8.575,8.131484,1308000,GPN
2001-08-14,8.525,8.9625,8.525,8.8875,8.427823,746000,GPN
2001-08-15,8.9125,9.325,8.7375,8.775,8.330509,1165600,GPN
2001-08-16,8.775,8.7875,8.655,8.75,8.306777,306800,GPN
2001-08-17,8.775,8.8,8.7175,8.725,8.283049,667600,GPN
2001-08-20,8.725,8.94,8.725,8.8,8.354248,315200,GPN
2001-08-21,8.725,8.725,8.535,8.55,8.116911,638800,GPN
2001-08-22,8.58,8.825,8.58,8.8,8.354248,309200,GPN
2001-08-23,8.7875,8.875,8.55,8.575,8.140646,356800,GPN
2001-08-24,8.575,8.6875,8.5575,8.6625,8.223712,189200,GPN
2001-08-27,8.6625,8.7,8.65,8.65,8.211844,161200,GPN
2001-08-28,8.6475,8.6875,8.3125,8.3125,7.89144,242000,GPN
2001-08-29,8.3125,8.5125,8.0475,8.425,7.998244,306000,GPN
2001-08-30,8.4125,8.6,8.305,8.5625,8.128778,229600,GPN
2001-08-31,8.55,8.9375,8.55,8.8875,8.437314,451600,GPN
2001-09-04,8.9375,9.25,8.8925,8.9125,8.461049,513600,GPN
2001-09-05,8.925,8.925,8.475,8.475,8.045703,286400,GPN
2001-09-06,8.4625,8.6125,7.425,7.75,7.357435,1967200,GPN
2001-09-07,7.5,7.625,7.31,7.5,7.120097,1041200,GPN
2001-09-10,7.35,7.365,7.1375,7.2375,6.870891,315600,GPN
2001-09-17,6.75,6.75,6.05,6.2125,5.897813,782400,GPN
2001-09-18,6.1625,6.5125,6.0625,6.4375,6.111416,2638400,GPN
2001-09-19,6.5,6.65,6.0375,6.15,5.838479,559600,GPN
2001-09-20,6.15,6.15,5.775,5.8525,5.556047,423600,GPN
2001-09-21,5.6375,6.1875,5.525,5.7625,5.470606,972000,GPN
2001-09-24,5.9,6.2,5.8125,6.1125,5.802878,926400,GPN
2001-09-25,6.1,6.7375,6.1,6.5125,6.182617,1120400,GPN
2001-09-26,6.5,6.6375,6.275,6.3375,6.016483,1187600,GPN
2001-09-27,6.3375,6.7725,6.3375,6.7575,6.415206,281600,GPN
2001-09-28,6.8,7.4875,6.7875,7.35,6.977695,975600,GPN
2001-10-01,7.3375,7.35,7.1,7.2375,6.870891,441200,GPN
2001-10-02,7.2375,7.4875,7.235,7.405,7.02991,298400,GPN
2001-10-03,7.375,7.975,7.2875,7.825,7.428636,298000,GPN
2001-10-04,7.8,7.8025,7.4625,7.465,7.086868,559200,GPN
2001-10-05,7.445,7.625,7.125,7.52,7.139083,409200,GPN
2001-10-08,7.5,7.5025,7.315,7.3375,6.965828,155200,GPN
2001-10-09,7.35,7.5375,7.3475,7.4125,7.03703,444400,GPN
2001-10-10,7.4125,7.6125,7.4125,7.6125,7.226898,288000,GPN
2001-10-11,7.6125,7.775,7.6125,7.685,7.295725,255200,GPN
2001-10-12,7.7,7.7625,7.4625,7.4825,7.103481,170400,GPN
2001-10-15,7.45,7.625,7.425,7.5725,7.188923,240800,GPN
2001-10-16,7.5725,7.675,7.4875,7.6225,7.236393,638800,GPN
2001-10-17,7.6325,7.6475,7.42,7.4625,7.084496,334000,GPN
2001-10-18,7.45,7.5275,6.9525,7.4025,7.027534,349600,GPN
2001-10-19,7.46,7.5375,7.3625,7.5375,7.155696,266800,GPN
2001-10-22,7.5375,7.5375,7.215,7.45,7.072629,294800,GPN
2001-10-23,7.475,7.5375,7.4275,7.4875,7.10823,224400,GPN
2001-10-24,7.485,7.5475,7.485,7.5475,7.165192,141600,GPN
2001-10-25,7.46,7.5325,7.275,7.4375,7.060762,349600,GPN
2001-10-26,7.425,7.5375,7.375,7.53,7.148578,185200,GPN
2001-10-29,7.4875,7.4875,7.0625,7.075,6.716624,514000,GPN
2001-10-30,7.05,7.15,6.9,7.1,6.740358,482400,GPN
2001-10-31,7.1025,7.51,7.1025,7.4875,7.10823,409200,GPN
2001-11-01,7.475,7.5,7.225,7.3375,6.965828,482000,GPN
2001-11-02,7.225,7.31,7.1125,7.18,6.816306,235200,GPN
2001-11-05,6.9375,7.2375,6.9375,7.175,6.811558,353600,GPN
2001-11-06,7.1875,7.375,7.1625,7.3475,6.975319,316800,GPN
2001-11-07,7.3125,7.45,7.3125,7.415,7.039401,226400,GPN
2001-11-08,7.39,7.4875,7.32,7.345,6.972949,315600,GPN
2001-11-09,7.3625,7.375,7.25,7.3625,6.98956,408400,GPN
2001-11-12,7.35,7.525,7.3275,7.5125,7.131962,149200,GPN
2001-11-13,7.525,7.775,7.525,7.7175,7.326579,478400,GPN
2001-11-14,7.7375,7.775,7.6,7.6075,7.231523,132800,GPN
2001-11-15,7.595,7.6475,7.4,7.4,7.034275,233600,GPN
2001-11-16,7.5,7.8125,7.5,7.725,7.343215,390800,GPN
2001-11-19,7.7625,8.375,7.7525,8.25,7.842267,818000,GPN
2001-11-20,8.2,8.235,7.8825,7.8825,7.492929,1246800,GPN
2001-11-21,7.9075,7.9625,7.6375,7.65,7.271922,261600,GPN
2001-11-23,7.65,7.85,7.45,7.7975,7.412131,232400,GPN
2001-11-26,7.795,8.205,7.6625,8.205,7.799489,735200,GPN
2001-11-27,8.225,8.535,8.225,8.45,8.032384,364400,GPN
2001-11-28,8.4375,8.475,7.845,7.9375,7.545214,364400,GPN
2001-11-29,7.965,8.3625,7.93,8.345,7.932576,284800,GPN
2001-11-30,8.37,8.6,8.225,8.35,7.937327,615600,GPN
2001-12-03,8.325,8.7475,8.0625,8.6875,8.258147,518800,GPN
2001-12-04,8.6875,8.7475,8.5875,8.7,8.270026,513200,GPN
2001-12-05,8.7,8.805,8.675,8.6875,8.258147,633200,GPN
2001-12-06,8.745,8.9375,8.62,8.65,8.222502,385200,GPN
2001-12-07,8.6375,8.725,8.425,8.425,8.008623,426000,GPN
2001-12-10,8.225,8.3375,8.075,8.275,7.866034,789600,GPN
2001-12-11,8.3075,8.3075,8.0,8.12,7.718693,571200,GPN
2001-12-12,8.12,8.27,8.12,8.2475,7.839891,290400,GPN
2001-12-13,8.225,8.25,7.95,8.0375,7.640269,366400,GPN
2001-12-14,8.025,8.1875,7.6125,7.625,7.248158,476000,GPN
2001-12-17,7.625,7.6375,7.375,7.5875,7.212511,581200,GPN
2001-12-18,7.625,7.8,7.6025,7.6625,7.283805,821600,GPN
2001-12-19,7.675,7.975,7.615,7.7875,7.402625,614400,GPN
2001-12-20,7.825,8.025,7.775,7.7875,7.402625,366400,GPN
2001-12-21,7.7875,7.87,7.7125,7.85,7.462037,930800,GPN
2001-12-24,7.87,7.98,7.8525,7.98,7.585611,76800,GPN
2001-12-26,8.0125,8.5625,8.0025,8.5225,8.101302,322000,GPN
2001-12-27,8.525,8.695,8.4625,8.6375,8.210618,609600,GPN
2001-12-28,8.6575,8.7875,8.525,8.7,8.270026,439200,GPN
2001-12-31,8.7,8.85,8.6,8.6,8.174973,320800,GPN
2002-01-02,8.5375,8.55,8.3475,8.4425,8.025253,439600,GPN
2002-01-03,8.45,8.65,8.4375,8.6375,8.210618,582800,GPN
2002-01-04,8.65,8.725,8.3125,8.5875,8.163085,672000,GPN
2002-01-07,8.5625,8.5625,8.25,8.25,7.842267,330000,GPN
2002-01-08,8.225,8.3125,8.0625,8.285,7.87554,318800,GPN
2002-01-09,8.3125,8.5225,8.1925,8.1925,7.787606,304800,GPN
2002-01-10,8.2425,8.3625,8.125,8.3,7.889798,904800,GPN
2002-01-11,8.35,8.4975,8.35,8.45,8.032384,272000,GPN
2002-01-14,8.4625,8.6125,8.4325,8.6125,8.18685,222400,GPN
2002-01-15,8.6125,8.6125,8.375,8.6025,8.177346,203600,GPN
2002-01-16,8.6375,8.835,8.6125,8.7375,8.305674,337600,GPN
2002-01-17,8.75,9.1125,8.55,9.0,8.555201,503200,GPN
2002-01-18,8.955,8.9625,8.6125,8.6625,8.234383,336800,GPN
2002-01-22,8.6375,8.725,8.4625,8.5125,8.091794,227200,GPN
2002-01-23,8.5125,8.65,8.5125,8.645,8.217749,337200,GPN
2002-01-24,8.645,8.7,8.525,8.65,8.222502,282400,GPN
2002-01-25,8.65,8.875,8.425,8.5,8.079913,310800,GPN
2002-01-28,8.3875,8.3875,8.2125,8.3,7.889798,338400,GPN
