Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1973-02-21,4.546875,4.546875,4.546875,4.546875,2.443224,20000,GWW
1973-02-22,4.578125,4.578125,4.578125,4.578125,2.460018,6400,GWW
1973-02-23,4.734375,4.734375,4.734375,4.734375,2.543976,43200,GWW
1973-02-26,4.734375,4.734375,4.734375,4.734375,2.543976,4800,GWW
1973-02-27,4.671875,4.671875,4.671875,4.671875,2.510392,1600,GWW
1973-02-28,4.625,4.625,4.625,4.625,2.485204,65600,GWW
1973-03-01,4.640625,4.640625,4.640625,4.640625,2.493601,3200,GWW
1973-03-02,4.625,4.625,4.625,4.625,2.485204,1600,GWW
1973-03-05,4.59375,4.59375,4.59375,4.59375,2.468412,14400,GWW
1973-03-06,4.609375,4.609375,4.609375,4.609375,2.476808,108000,GWW
1973-03-07,4.5,4.5,4.5,4.5,2.418036,36000,GWW
1973-03-08,4.5,4.5,4.5,4.5,2.418036,8000,GWW
1973-03-09,4.375,4.375,4.375,4.375,2.350869,16800,GWW
1973-03-12,4.25,4.25,4.25,4.25,2.283702,17600,GWW
1973-03-13,4.3125,4.3125,4.3125,4.3125,2.317285,14400,GWW
1973-03-14,4.265625,4.265625,4.265625,4.265625,2.292097,13600,GWW
1973-03-15,4.25,4.25,4.25,4.25,2.283702,28000,GWW
1973-03-16,4.25,4.25,4.25,4.25,2.283702,121600,GWW
1973-03-19,4.265625,4.265625,4.265625,4.265625,2.292097,16800,GWW
1973-03-20,4.21875,4.21875,4.21875,4.21875,2.266908,20000,GWW
1973-03-21,4.15625,4.15625,4.15625,4.15625,2.233325,16800,GWW
1973-03-22,3.890625,3.890625,3.890625,3.890625,2.090595,16000,GWW
1973-03-23,3.8125,3.8125,3.8125,3.8125,2.048614,44000,GWW
1973-03-26,3.78125,3.78125,3.78125,3.78125,2.031823,25600,GWW
1973-03-27,4.0,4.0,4.0,4.0,2.149366,25600,GWW
1973-03-28,4.234375,4.234375,4.234375,4.234375,2.275304,12800,GWW
1973-03-29,4.375,4.375,4.375,4.375,2.350869,25600,GWW
1973-03-30,4.375,4.375,4.375,4.375,2.350869,35200,GWW
1973-04-02,4.34375,4.34375,4.34375,4.34375,2.334077,16000,GWW
1973-04-03,4.203125,4.203125,4.203125,4.203125,2.258513,127200,GWW
1973-04-04,4.09375,4.09375,4.09375,4.09375,2.199741,32800,GWW
1973-04-05,4.0,4.0,4.0,4.0,2.149366,29600,GWW
1973-04-06,3.90625,3.90625,3.90625,3.90625,2.098991,55200,GWW
1973-04-09,4.03125,4.03125,4.03125,4.03125,2.166157,36000,GWW
1973-04-10,4.125,4.125,4.125,4.125,2.216533,12000,GWW
1973-04-11,4.125,4.125,4.125,4.125,2.216533,53600,GWW
1973-04-12,4.125,4.125,4.125,4.125,2.216533,16000,GWW
1973-04-13,4.09375,4.09375,4.09375,4.09375,2.199741,12000,GWW
1973-04-16,3.96875,3.96875,3.96875,3.96875,2.132575,24000,GWW
1973-04-17,4.03125,4.03125,4.03125,4.03125,2.166157,12800,GWW
1973-04-18,4.03125,4.03125,4.03125,4.03125,2.166157,2400,GWW
1973-04-19,4.0625,4.0625,4.0625,4.0625,2.182949,25600,GWW
1973-04-23,4.125,4.125,4.125,4.125,2.216533,10400,GWW
1973-04-24,4.0625,4.0625,4.0625,4.0625,2.182949,3200,GWW
1973-04-25,4.0625,4.0625,4.0625,4.0625,2.182949,12800,GWW
1973-04-26,4.09375,4.09375,4.09375,4.09375,2.199741,25600,GWW
1973-04-27,4.078125,4.078125,4.078125,4.078125,2.191346,4000,GWW
1973-04-30,4.015625,4.015625,4.015625,4.015625,2.157761,20000,GWW
1973-05-01,3.8125,3.8125,3.8125,3.8125,2.048614,41600,GWW
1973-05-02,3.875,3.875,3.875,3.875,2.082198,38400,GWW
1973-05-03,0.0,4.0,3.90625,4.0,2.149366,13600,GWW
1973-05-04,0.0,4.171875,4.03125,4.125,2.216533,13600,GWW
1973-05-07,0.0,4.09375,4.0625,4.0625,2.182949,4800,GWW
1973-05-08,0.0,4.09375,3.96875,4.0,2.149366,7200,GWW
1973-05-09,0.0,3.96875,3.875,3.921875,2.107387,283200,GWW
1973-05-10,0.0,3.984375,3.921875,3.984375,2.14097,4000,GWW
1973-05-11,0.0,3.984375,3.953125,3.953125,2.124179,24800,GWW
1973-05-14,0.0,3.921875,3.875,3.875,2.082198,10400,GWW
1973-05-15,0.0,3.875,3.84375,3.84375,2.065406,57600,GWW
1973-05-16,0.0,3.8125,3.796875,3.796875,2.040217,121600,GWW
1973-05-17,0.0,3.8125,3.734375,3.734375,2.006635,23200,GWW
1973-05-18,0.0,3.734375,3.46875,3.46875,1.863903,49600,GWW
1973-05-21,0.0,3.46875,3.375,3.40625,1.83032,60000,GWW
1973-05-22,0.0,3.5,3.40625,3.484375,1.872299,39200,GWW
1973-05-23,0.0,3.625,3.5,3.625,1.947863,9600,GWW
1973-05-24,0.0,3.703125,3.625,3.703125,1.989843,9600,GWW
1973-05-25,0.0,3.921875,3.8125,3.828125,2.057011,50400,GWW
1973-05-29,0.0,3.890625,3.8125,3.8125,2.048614,35200,GWW
1973-05-30,0.0,3.78125,3.65625,3.65625,1.964654,18400,GWW
1973-05-31,0.0,3.625,3.546875,3.546875,1.905883,10400,GWW
1973-06-01,0.0,3.53125,3.5,3.53125,1.897487,38400,GWW
1973-06-04,0.0,3.53125,3.46875,3.5,1.880694,30400,GWW
1973-06-05,0.0,3.6875,3.5,3.625,1.947863,22400,GWW
1973-06-06,0.0,3.59375,3.5,3.515625,1.889092,16800,GWW
1973-06-07,0.0,3.5625,3.5,3.5625,1.914278,11200,GWW
1973-06-08,0.0,3.609375,3.578125,3.578125,1.922675,11200,GWW
1973-06-11,0.0,3.640625,3.609375,3.625,1.947863,4800,GWW
1973-06-12,0.0,3.734375,3.671875,3.734375,2.006635,4000,GWW
1973-06-13,0.0,3.78125,3.75,3.75,2.015032,15200,GWW
1973-06-14,0.0,3.890625,3.703125,3.875,2.082198,19200,GWW
1973-06-15,0.0,3.84375,3.75,3.75,2.015032,70400,GWW
1973-06-18,0.0,3.71875,3.6875,3.6875,1.981447,27200,GWW
1973-06-19,0.0,3.75,3.71875,3.75,2.015032,1600,GWW
1973-06-20,0.0,3.71875,3.6875,3.6875,1.981447,47200,GWW
1973-06-21,0.0,3.671875,3.5,3.5,1.880694,392000,GWW
1973-06-22,0.0,3.5,3.5,3.5,1.880694,14400,GWW
1973-06-25,0.0,3.46875,3.453125,3.453125,1.855508,6400,GWW
1973-06-26,0.0,3.53125,3.4375,3.5,1.880694,11200,GWW
1973-06-27,0.0,3.53125,3.53125,3.53125,1.897487,800,GWW
1973-06-28,0.0,3.625,3.515625,3.625,1.947863,8000,GWW
1973-06-29,0.0,3.59375,3.5625,3.5625,1.914278,3200,GWW
1973-07-02,0.0,3.53125,3.5,3.5,1.880694,40800,GWW
1973-07-03,0.0,3.546875,3.515625,3.546875,1.905883,9600,GWW
1973-07-05,0.0,3.53125,3.515625,3.53125,1.897487,3200,GWW
1973-07-06,0.0,3.53125,3.484375,3.484375,1.872299,176800,GWW
1973-07-09,0.0,3.546875,3.5,3.546875,1.905883,16000,GWW
1973-07-10,0.0,3.625,3.5625,3.625,1.947863,10400,GWW
1973-07-11,0.0,3.671875,3.640625,3.640625,1.956258,13600,GWW
1973-07-12,0.0,3.75,3.6875,3.75,2.015032,10400,GWW
1973-07-13,0.0,3.75,3.71875,3.71875,1.998239,11200,GWW
1973-07-16,0.0,3.71875,3.71875,3.71875,1.998239,7200,GWW
1973-07-17,0.0,3.875,3.75,3.875,2.082198,9600,GWW
1973-07-18,3.875,3.875,3.875,3.875,2.082198,0,GWW
