Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2006-09-06,4.95,5.335,4.8875,5.2775,3.933955,30584000,HBI
2006-09-07,5.28,5.71,5.1375,5.525,4.118445,21539200,HBI
2006-09-08,5.4775,5.68,5.4025,5.515,4.110991,15618000,HBI
2006-09-11,5.3775,5.4925,5.375,5.435,4.051358,20751600,HBI
2006-09-12,5.4225,5.5125,5.3625,5.4825,4.086766,9154000,HBI
2006-09-13,5.5025,5.8,5.5025,5.6375,4.202305,12278800,HBI
2006-09-14,5.5625,5.625,5.4175,5.4525,4.064402,5515200,HBI
2006-09-15,5.4275,5.46,5.3,5.3175,3.963772,8064000,HBI
2006-09-18,5.375,5.4375,5.3175,5.415,4.03645,3601600,HBI
2006-09-19,5.3875,5.625,5.3075,5.35,3.987998,3788800,HBI
2006-09-20,5.345,5.565,5.34,5.55,4.137082,2536800,HBI
2006-09-21,5.425,5.5,5.4175,5.4375,4.053222,2767600,HBI
2006-09-22,5.4425,5.555,5.415,5.535,4.1259,1448800,HBI
2006-09-25,5.48,5.6275,5.4625,5.5675,4.150127,3204000,HBI
2006-09-26,5.6,5.625,5.575,5.5925,4.168761,1690000,HBI
2006-09-27,5.465,5.6725,5.45,5.65,4.211624,4552400,HBI
2006-09-28,5.5875,5.7325,5.5725,5.6125,4.183671,2999600,HBI
2006-09-29,5.6375,5.66,5.5525,5.6275,4.194851,3173200,HBI
2006-10-02,5.595,5.6525,5.575,5.6225,4.191123,2194000,HBI
2006-10-03,5.645,5.6825,5.58,5.6275,4.194851,2680400,HBI
2006-10-04,5.6,5.7725,5.5625,5.675,4.230259,2998800,HBI
2006-10-05,5.65,5.8175,5.65,5.7875,4.314119,4523200,HBI
2006-10-06,5.755,5.785,5.69,5.73,4.271258,1599200,HBI
2006-10-09,5.7,5.7825,5.6625,5.745,4.282438,993600,HBI
2006-10-10,5.6325,5.7125,5.5975,5.67,4.226533,3932000,HBI
2006-10-11,5.675,5.69,5.5875,5.6625,4.220942,3731200,HBI
2006-10-12,5.835,5.8725,5.72,5.75,4.286166,6095200,HBI
2006-10-13,5.77,5.8575,5.77,5.8375,4.351391,4036400,HBI
2006-10-16,5.835,5.835,5.75,5.75,4.286166,1898400,HBI
2006-10-17,5.75,5.7625,5.6975,5.7,4.248893,2042800,HBI
2006-10-18,5.7225,5.7625,5.6825,5.7475,4.284303,2838800,HBI
2006-10-19,5.75,5.775,5.6875,5.75,4.286166,1372800,HBI
2006-10-20,5.7525,5.845,5.7525,5.81,4.33089,722400,HBI
2006-10-23,5.81,5.92,5.81,5.8875,4.38866,2190800,HBI
2006-10-24,5.825,5.9525,5.7775,5.9525,4.437113,1939200,HBI
2006-10-25,5.925,6.0375,5.915,5.95,4.43525,2170400,HBI
2006-10-26,5.9475,6.125,5.93,6.0675,4.522837,2729600,HBI
2006-10-27,6.0625,6.125,6.0425,6.1125,4.556379,2366000,HBI
2006-10-30,6.0625,6.15,5.9975,6.0625,4.51911,2126800,HBI
2006-10-31,5.875,5.9775,5.755,5.9,4.397979,5304000,HBI
2006-11-01,5.8425,5.8575,5.7225,5.755,4.289894,2341200,HBI
2006-11-02,5.75,5.905,5.625,5.8875,4.38866,2562000,HBI
2006-11-03,5.825,5.875,5.7125,5.7425,4.280574,2596800,HBI
2006-11-06,5.7,5.75,5.6775,5.7,4.248893,3257200,HBI
2006-11-07,5.6675,5.73,5.5525,5.5825,4.161307,2862000,HBI
2006-11-08,5.5,5.59,5.425,5.5325,4.124036,3322800,HBI
2006-11-09,5.52,5.5575,5.4975,5.535,4.1259,2870800,HBI
2006-11-10,5.5875,5.6375,5.5,5.6325,4.198578,2338400,HBI
2006-11-13,5.6325,5.71,5.6025,5.64,4.204168,1491600,HBI
2006-11-14,5.625,5.9025,5.625,5.87,4.375614,2555200,HBI
2006-11-15,6.0,6.005,5.8625,5.945,4.431523,2912000,HBI
