Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1981-12-31,9.826389,9.930556,9.722222,9.722222,1.971138,68040,HUM
1982-01-04,9.965278,10.104167,9.791667,10.069444,2.041535,106560,HUM
1982-01-05,10.0,10.173611,9.826389,9.861111,1.999297,240840,HUM
1982-01-06,9.826389,9.930556,9.6875,9.791667,1.985217,239040,HUM
1982-01-07,9.756944,9.791667,9.722222,9.791667,1.985217,162720,HUM
1982-01-08,9.826389,9.895833,9.756944,9.861111,1.999297,210960,HUM
1982-01-11,9.826389,9.930556,9.6875,9.6875,1.964098,218160,HUM
1982-01-12,9.652778,9.6875,9.583333,9.618056,1.950019,198360,HUM
1982-01-13,9.618056,9.652778,9.583333,9.618056,1.950019,465120,HUM
1982-01-14,9.479167,9.548611,9.375,9.479167,1.92186,288360,HUM
1982-01-15,9.444444,9.479167,9.409722,9.409722,1.907779,408240,HUM
1982-01-18,9.340278,9.409722,9.236111,9.270833,1.879621,623520,HUM
1982-01-19,9.236111,9.375,9.097222,9.131944,1.851462,420840,HUM
1982-01-20,9.027778,9.131944,8.923611,9.097222,1.844422,345960,HUM
1982-01-21,9.0625,9.097222,8.993056,9.027778,1.830341,340200,HUM
1982-01-22,8.993056,9.027778,8.958333,8.958333,1.816262,257760,HUM
1982-01-25,9.027778,9.097222,8.923611,8.958333,1.816262,269280,HUM
1982-01-26,8.854167,8.993056,8.715278,8.75,1.774024,187200,HUM
1982-01-27,8.784722,8.819444,8.715278,8.784722,1.781064,236880,HUM
1982-01-28,9.201389,9.513889,8.854167,9.513889,1.928899,448920,HUM
1982-01-29,9.861111,9.965278,9.722222,9.895833,2.006336,432360,HUM
1982-02-01,9.635417,9.791667,9.427083,9.479167,1.92186,315120,HUM
1982-02-02,9.479167,9.53125,9.375,9.53125,1.932418,206640,HUM
1982-02-03,9.635417,9.739583,9.53125,9.739583,1.974656,153600,HUM
1982-02-04,9.427083,9.635417,9.166667,9.375,1.900739,201600,HUM
1982-02-05,9.6875,9.84375,9.479167,9.791667,1.985217,310320,HUM
1982-02-08,9.947917,10.3125,9.583333,9.84375,1.995777,374400,HUM
1982-02-09,9.84375,10.104167,9.583333,9.635417,1.953538,225840,HUM
1982-02-10,9.84375,10.0,9.635417,9.895833,2.006336,233520,HUM
1982-02-11,9.895833,10.052083,9.6875,9.84375,1.995777,239520,HUM
1982-02-12,10.052083,10.208333,9.84375,10.104167,2.048575,180000,HUM
1982-02-16,9.947917,10.052083,9.84375,9.947917,2.016896,340800,HUM
1982-02-17,10.15625,10.260417,10.0,10.15625,2.059135,212880,HUM
1982-02-18,10.364583,10.520833,10.208333,10.416667,2.111933,199440,HUM
1982-02-19,10.572917,10.833333,10.3125,10.625,2.154171,434880,HUM
1982-02-22,10.572917,10.885417,10.208333,10.208333,2.069695,430320,HUM
1982-02-23,10.15625,10.364583,9.947917,10.208333,2.069695,280080,HUM
1982-02-24,10.208333,10.416667,10.0,10.416667,2.111933,235200,HUM
1982-02-25,10.520833,10.729167,10.3125,10.416667,2.111933,209040,HUM
1982-02-26,10.3125,10.572917,10.0,10.208333,2.069695,200400,HUM
1982-03-01,10.46875,10.625,10.3125,10.364583,2.101374,157920,HUM
1982-03-02,10.364583,10.364583,10.3125,10.3125,2.090814,69600,HUM
1982-03-03,10.208333,10.3125,10.052083,10.104167,2.048575,171840,HUM
1982-03-04,9.84375,10.0,9.635417,9.895833,2.006336,269520,HUM
1982-03-05,9.635417,9.84375,9.375,9.635417,1.953538,148560,HUM
1982-03-08,9.375,9.739583,8.958333,9.010417,1.826822,444240,HUM
1982-03-09,9.322917,9.791667,8.854167,9.583333,1.942979,366960,HUM
1982-03-10,9.53125,9.635417,9.375,9.375,1.900739,103200,HUM
1982-03-11,9.21875,9.375,9.010417,9.114583,1.847942,471600,HUM
1982-03-12,8.958333,9.270833,8.645833,8.697917,1.763463,321120,HUM
1982-03-15,8.75,8.854167,8.59375,8.802083,1.784584,185280,HUM
1982-03-16,8.958333,9.114583,8.802083,8.90625,1.805702,317760,HUM
1982-03-17,8.697917,8.958333,8.385417,8.541667,1.731785,852720,HUM
1982-03-18,8.697917,8.802083,8.541667,8.802083,1.784584,355680,HUM
1982-03-19,9.166667,9.270833,9.010417,9.0625,1.837382,191280,HUM
