Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1995-08-25,6.725,6.825,6.725,6.8,3.239303,3541000,IVZ
1995-08-28,6.775,6.775,6.65,6.7,3.191665,1418500,IVZ
1995-08-29,6.75,6.775,6.625,6.7,3.191665,879000,IVZ
1995-08-30,6.7,6.725,6.675,6.725,3.203573,436500,IVZ
1995-08-31,6.725,6.725,6.65,6.7,3.191665,606500,IVZ
1995-09-01,6.7,6.725,6.675,6.725,3.203573,217000,IVZ
1995-09-05,6.7,6.725,6.675,6.7,3.191665,385500,IVZ
1995-09-06,6.675,6.7,6.65,6.675,3.179756,247000,IVZ
1995-09-07,6.675,6.675,6.6,6.625,3.155938,738000,IVZ
1995-09-08,6.575,6.6,6.275,6.275,2.98921,946000,IVZ
1995-09-11,6.3,6.525,6.3,6.425,3.060665,434000,IVZ
1995-09-12,6.55,6.675,6.55,6.65,3.167847,817500,IVZ
1995-09-13,6.75,6.775,6.65,6.675,3.179756,542500,IVZ
1995-09-14,6.675,6.7,6.65,6.7,3.191665,154500,IVZ
1995-09-15,6.675,6.7,6.675,6.7,3.191665,218500,IVZ
1995-09-18,6.675,6.725,6.65,6.725,3.203573,422500,IVZ
1995-09-19,6.7,6.7,6.65,6.675,3.179756,116500,IVZ
1995-09-20,6.65,6.65,6.525,6.55,3.12021,124500,IVZ
1995-09-21,6.6,6.625,6.55,6.6,3.144029,157000,IVZ
1995-09-22,6.55,6.55,6.45,6.45,3.072574,94500,IVZ
1995-09-25,6.5,6.5,6.425,6.425,3.060665,53000,IVZ
1995-09-26,6.55,6.6,6.525,6.525,3.108301,266500,IVZ
1995-09-27,6.5,6.525,6.5,6.5,3.096392,95000,IVZ
1995-09-28,6.55,6.625,6.55,6.6,3.144029,205000,IVZ
1995-09-29,6.8,6.925,6.8,6.9,3.286938,1303000,IVZ
1995-10-02,7.0,7.125,7.0,7.025,3.346484,570000,IVZ
1995-10-03,7.05,7.075,7.0,7.05,3.358394,165000,IVZ
1995-10-04,7.025,7.025,6.975,6.975,3.322667,108500,IVZ
1995-10-05,7.0,7.025,6.975,7.025,3.346484,70500,IVZ
1995-10-06,7.025,7.025,6.95,6.975,3.322667,277000,IVZ
1995-10-09,6.95,7.0,6.925,6.925,3.298848,77000,IVZ
1995-10-10,6.925,6.925,6.8,6.825,3.251212,80000,IVZ
1995-10-11,6.825,6.9,6.825,6.825,3.251212,80500,IVZ
1995-10-12,6.875,7.05,6.875,7.025,3.346484,170000,IVZ
1995-10-13,7.15,7.275,7.15,7.25,3.453667,201000,IVZ
1995-10-16,7.3,7.425,7.3,7.375,3.513214,130000,IVZ
1995-10-17,7.35,7.35,7.275,7.275,3.465576,154500,IVZ
1995-10-18,7.275,7.475,7.275,7.375,3.513214,169000,IVZ
1995-10-19,7.425,7.525,7.425,7.525,3.584669,130500,IVZ
1995-10-20,7.575,7.7,7.575,7.65,3.644214,212500,IVZ
1995-10-23,7.675,7.675,7.65,7.675,3.656124,66000,IVZ
1995-10-24,7.625,7.625,7.55,7.55,3.596577,71500,IVZ
1995-10-25,7.55,7.55,7.525,7.525,3.584669,284500,IVZ
1995-10-26,7.525,7.55,7.425,7.45,3.548942,96000,IVZ
1995-10-27,7.425,7.45,7.4,7.45,3.548942,25000,IVZ
1995-10-30,7.425,7.475,7.425,7.425,3.537031,18500,IVZ
1995-10-31,7.55,7.65,7.55,7.65,3.644214,208000,IVZ
1995-11-01,7.625,7.625,7.475,7.5,3.572759,107000,IVZ
1995-11-02,7.525,7.65,7.525,7.6,3.620398,291000,IVZ
1995-11-03,7.9,7.925,7.9,7.925,3.775215,252500,IVZ
1995-11-06,7.925,8.0,7.85,8.0,3.810943,235000,IVZ
1995-11-07,8.0,8.0,7.925,7.925,3.775215,192000,IVZ
1995-11-08,7.925,7.95,7.9,7.95,3.787125,14500,IVZ
1995-11-09,7.925,8.05,7.925,8.025,3.822854,41500,IVZ
1995-11-10,8.0,8.0,7.95,7.95,3.787125,11000,IVZ
1995-11-13,7.925,7.925,7.875,7.925,3.775215,29000,IVZ
1995-11-14,7.9,7.9,7.8,7.8,3.715671,35500,IVZ
1995-11-15,7.8,7.875,7.8,7.875,3.751398,11500,IVZ
1995-11-16,7.875,8.0,7.875,8.0,3.810943,31000,IVZ
1995-11-17,8.0,8.0,8.0,8.0,3.810943,14500,IVZ
1995-11-20,8.0,8.1,8.0,8.075,3.84667,25000,IVZ
1995-11-21,8.075,8.125,8.075,8.125,3.870491,6500,IVZ
1995-11-22,8.1,8.225,8.1,8.225,3.918125,21500,IVZ
1995-11-24,8.225,8.225,8.15,8.15,3.882399,12000,IVZ
1995-11-27,8.15,8.15,8.05,8.05,3.834761,21000,IVZ
1995-11-28,8.05,8.15,8.05,8.125,3.870491,12000,IVZ
1995-11-29,8.1,8.1,8.075,8.075,3.84667,6500,IVZ
1995-11-30,8.1,8.175,8.1,8.15,3.882399,16000,IVZ
1995-12-01,8.15,8.15,8.125,8.125,3.870491,8500,IVZ
1995-12-04,8.1,8.125,8.1,8.125,3.870491,6500,IVZ
