Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1983-11-22,0.0,1.583333,1.541667,1.541667,1.099059,5736000,JBHT
1983-11-23,0.0,1.604167,1.5625,1.5625,1.11391,2424000,JBHT
1983-11-25,0.0,1.645833,1.625,1.625,1.158467,741600,JBHT
1983-11-28,0.0,1.5625,1.520833,1.520833,1.084206,1251600,JBHT
1983-11-29,0.0,1.583333,1.5625,1.5625,1.11391,1209600,JBHT
1983-11-30,0.0,1.604167,1.5625,1.5625,1.11391,632400,JBHT
1983-12-01,0.0,1.604167,1.5625,1.5625,1.11391,422400,JBHT
1983-12-02,0.0,1.604167,1.541667,1.541667,1.099059,985200,JBHT
1983-12-05,0.0,1.583333,1.520833,1.520833,1.084206,229200,JBHT
1983-12-06,0.0,1.541667,1.5,1.5,1.069354,220800,JBHT
1983-12-07,0.0,1.5625,1.5,1.5,1.069354,85200,JBHT
1983-12-08,0.0,1.5625,1.520833,1.520833,1.084206,264000,JBHT
1983-12-09,0.0,1.5625,1.520833,1.520833,1.084206,246000,JBHT
1983-12-12,0.0,1.5625,1.520833,1.520833,1.084206,164400,JBHT
1983-12-13,0.0,1.583333,1.541667,1.541667,1.099059,687600,JBHT
1983-12-14,0.0,1.583333,1.541667,1.541667,1.099059,164400,JBHT
1983-12-15,0.0,1.583333,1.541667,1.541667,1.099059,81600,JBHT
1983-12-16,0.0,1.583333,1.541667,1.541667,1.099059,135600,JBHT
1983-12-19,0.0,1.583333,1.541667,1.541667,1.099059,150000,JBHT
1983-12-20,0.0,1.604167,1.5625,1.5625,1.11391,126000,JBHT
1983-12-21,0.0,1.604167,1.5625,1.5625,1.11391,362400,JBHT
1983-12-22,0.0,1.583333,1.5625,1.5625,1.11391,24000,JBHT
1983-12-23,0.0,1.604167,1.583333,1.583333,1.128762,130800,JBHT
1983-12-27,0.0,1.645833,1.604167,1.604167,1.143614,338400,JBHT
1983-12-28,0.0,1.645833,1.604167,1.604167,1.143614,54000,JBHT
1983-12-29,0.0,1.645833,1.5625,1.5625,1.11391,58800,JBHT
1983-12-30,0.0,1.645833,1.583333,1.583333,1.128762,205200,JBHT
1984-01-03,0.0,1.645833,1.604167,1.604167,1.143614,18000,JBHT
1984-01-04,0.0,1.625,1.583333,1.583333,1.128762,352800,JBHT
1984-01-05,0.0,1.645833,1.604167,1.604167,1.143614,499200,JBHT
1984-01-06,0.0,1.708333,1.666667,1.666667,1.188171,218400,JBHT
1984-01-09,0.0,1.708333,1.645833,1.645833,1.173319,22800,JBHT
1984-01-10,0.0,1.729167,1.666667,1.666667,1.188171,26400,JBHT
1984-01-11,0.0,1.729167,1.666667,1.666667,1.188171,99600,JBHT
1984-01-12,0.0,1.729167,1.666667,1.666667,1.188171,67200,JBHT
