Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1987-11-05,6.15491,6.189488,6.085754,6.120332,1.748252,55310,KEY
1987-11-06,6.15491,6.224066,6.120332,6.120332,1.748252,212201,KEY
1987-11-09,6.085754,6.15491,5.947441,5.947441,1.698866,107727,KEY
1987-11-10,6.016598,6.15491,5.947441,6.120332,1.748252,61816,KEY
1987-11-11,6.016598,6.189488,6.016598,6.120332,1.748252,65793,KEY
1987-11-12,6.224066,6.500692,6.15491,6.466113,1.847023,102305,KEY
1987-11-13,6.396957,6.569848,6.362379,6.466113,1.847023,30366,KEY
1987-11-16,6.396957,6.500692,6.362379,6.431535,1.837145,53502,KEY
1987-11-17,6.466113,6.500692,6.293223,6.327801,1.807514,30004,KEY
1987-11-18,6.293223,6.293223,6.085754,6.15491,1.758128,38681,KEY
1987-11-19,6.016598,6.085754,5.809129,5.809129,1.659357,422955,KEY
1987-11-20,5.878285,5.912863,5.670816,5.809129,1.659357,111342,KEY
1987-11-23,5.878285,5.912863,5.809129,5.843707,1.669234,31812,KEY
1987-11-24,5.809129,6.051176,5.705394,5.982019,1.708744,198464,KEY
1987-11-25,5.982019,5.982019,5.843707,5.843707,1.669234,96159,KEY
1987-11-27,5.809129,5.912863,5.809129,5.912863,1.68899,31089,KEY
1987-11-30,5.843707,5.843707,5.705394,5.77455,1.64948,74831,KEY
1987-12-01,5.739972,5.912863,5.739972,5.878285,1.679112,96882,KEY
1987-12-02,5.843707,5.912863,5.809129,5.843707,1.669234,78446,KEY
1987-12-03,5.809129,5.878285,5.739972,5.739972,1.639603,29281,KEY
1987-12-04,5.670816,5.705394,5.636238,5.636238,1.609972,73385,KEY
1987-12-07,5.60166,5.670816,5.567082,5.567082,1.590218,46272,KEY
1987-12-08,5.567082,5.809129,5.567082,5.809129,1.659357,84230,KEY
1987-12-09,5.739972,5.77455,5.463347,5.60166,1.600095,111342,KEY
1987-12-10,5.532503,5.567082,5.463347,5.567082,1.590218,63985,KEY
1987-12-11,5.497925,5.60166,5.428769,5.497925,1.570462,48441,KEY
1987-12-14,5.532503,5.636238,5.463347,5.60166,1.600095,92906,KEY
1987-12-15,5.532503,5.705394,5.532503,5.670816,1.619849,67962,KEY
1987-12-16,5.705394,5.77455,5.60166,5.60166,1.600095,131948,KEY
1987-12-17,5.60166,5.947441,5.60166,5.77455,1.64948,295707,KEY
1987-12-18,5.843707,6.016598,5.77455,6.016598,1.71862,198825,KEY
1987-12-21,6.016598,6.15491,5.77455,5.912863,1.68899,109535,KEY
1987-12-22,5.982019,5.982019,5.843707,5.982019,1.708744,114234,KEY
1987-12-23,5.878285,6.293223,5.739972,6.15491,1.781191,135201,KEY
1987-12-24,6.224066,6.224066,6.016598,6.085754,1.761178,135924,KEY
1987-12-28,6.016598,6.327801,5.878285,6.258645,1.811212,77000,KEY
1987-12-29,6.189488,6.224066,6.016598,6.016598,1.741165,46995,KEY
1987-12-30,5.947441,6.189488,5.878285,6.085754,1.761178,74108,KEY
1987-12-31,6.085754,6.085754,5.809129,5.878285,1.701138,53864,KEY
1988-01-04,5.809129,6.15491,5.809129,6.051176,1.751171,67962,KEY
1988-01-05,6.120332,6.258645,6.120332,6.258645,1.811212,158699,KEY
1988-01-06,6.362379,6.362379,6.15491,6.224066,1.801205,215093,KEY
1988-01-07,6.15491,6.327801,6.15491,6.327801,1.831225,86037,KEY
1988-01-08,6.293223,6.293223,6.016598,6.016598,1.741165,30727,KEY
1988-01-11,6.016598,6.085754,5.947441,6.016598,1.741165,28920,KEY
1988-01-12,5.947441,6.016598,5.77455,5.912863,1.711146,98690,KEY
1988-01-13,5.843707,5.843707,5.60166,5.809129,1.681124,82422,KEY
1988-01-14,5.878285,5.947441,5.60166,5.705394,1.651105,169182,KEY
1988-01-15,5.705394,5.77455,5.636238,5.739972,1.661111,177858,KEY
1988-01-18,5.809129,5.878285,5.739972,5.878285,1.701138,31450,KEY
1988-01-19,5.912863,6.085754,5.912863,6.085754,1.761178,41573,KEY
1988-01-20,6.016598,6.15491,5.912863,5.982019,1.731159,176051,KEY
1988-01-21,5.947441,5.947441,5.878285,5.912863,1.711146,73385,KEY
1988-01-22,5.982019,6.016598,5.982019,6.016598,1.741165,15183,KEY
1988-01-25,5.982019,6.085754,5.912863,5.982019,1.731159,32173,KEY
1988-01-26,5.947441,6.051176,5.947441,5.982019,1.731159,32173,KEY
1988-01-27,6.051176,6.258645,6.051176,6.085754,1.761178,249796,KEY
1988-01-28,6.15491,6.15491,6.085754,6.15491,1.781191,21329,KEY
1988-01-29,6.189488,6.258645,6.016598,6.189488,1.791198,55671,KEY
1988-02-01,6.258645,6.258645,6.085754,6.189488,1.791198,87122,KEY
1988-02-02,6.189488,6.189488,6.051176,6.085754,1.761178,32535,KEY
1988-02-03,6.051176,6.085754,6.016598,6.016598,1.741165,97967,KEY
1988-02-04,6.016598,6.016598,5.843707,5.912863,1.711146,14099,KEY
1988-02-05,5.843707,5.947441,5.843707,5.912863,1.711146,41573,KEY
1988-02-08,5.982019,5.982019,5.843707,5.878285,1.701138,22052,KEY
1988-02-09,5.843707,5.878285,5.670816,5.739972,1.661111,83868,KEY
1988-02-10,5.739972,5.809129,5.670816,5.809129,1.681124,108812,KEY
1988-02-11,5.843707,5.947441,5.809129,5.878285,1.701138,123994,KEY
1988-02-12,5.739972,5.982019,5.739972,5.947441,1.721151,102666,KEY
1988-02-16,5.878285,5.947441,5.809129,5.809129,1.681124,60732,KEY
1988-02-17,5.912863,5.982019,5.878285,5.982019,1.731159,27836,KEY
1988-02-18,5.947441,6.016598,5.947441,5.947441,1.721151,8676,KEY
1988-02-19,5.947441,6.016598,5.912863,5.982019,1.731159,23136,KEY
1988-02-22,6.051176,6.051176,5.912863,5.982019,1.731159,37958,KEY
1988-02-23,5.912863,6.016598,5.878285,5.947441,1.721151,62539,KEY
1988-02-24,6.016598,6.016598,5.912863,5.982019,1.731159,57840,KEY
1988-02-25,6.016598,6.016598,5.982019,6.016598,1.741165,87122,KEY
1988-02-26,5.982019,6.085754,5.982019,6.016598,1.741165,60009,KEY
1988-02-29,5.947441,6.016598,5.912863,5.947441,1.721151,49887,KEY
1988-03-01,5.982019,6.016598,5.878285,5.878285,1.701138,69770,KEY
1988-03-02,5.947441,5.947441,5.878285,5.878285,1.701138,270041,KEY
1988-03-03,5.809129,5.878285,5.739972,5.739972,1.661111,105920,KEY
1988-03-04,5.739972,5.982019,5.705394,5.982019,1.731159,93990,KEY
1988-03-07,6.051176,6.085754,5.947441,6.016598,1.741165,327519,KEY
1988-03-08,6.016598,6.224066,6.016598,6.085754,1.761178,126525,KEY
1988-03-09,6.085754,6.15491,5.982019,6.085754,1.761178,166290,KEY
1988-03-10,6.085754,6.15491,5.982019,6.085754,1.761178,193764,KEY
1988-03-11,6.016598,6.120332,5.982019,6.051176,1.751171,90737,KEY
1988-03-14,5.982019,6.15491,5.982019,6.15491,1.781191,82784,KEY
1988-03-15,6.15491,6.224066,6.120332,6.120332,1.771185,48803,KEY
1988-03-16,6.085754,6.120332,6.051176,6.085754,1.761178,78446,KEY
1988-03-17,5.982019,6.15491,5.982019,6.15491,1.781191,114957,KEY
1988-03-18,6.085754,6.224066,6.051176,6.189488,1.791198,81699,KEY
1988-03-21,6.085754,6.120332,6.016598,6.016598,1.741165,71939,KEY
1988-03-22,5.982019,6.016598,5.878285,5.947441,1.721151,101582,KEY
1988-03-23,5.878285,6.051176,5.809129,6.051176,1.751171,136286,KEY
1988-03-24,6.051176,6.085754,5.878285,6.085754,1.761178,61455,KEY
1988-03-25,5.947441,5.947441,5.878285,5.947441,1.744946,28558,KEY
1988-03-28,5.878285,5.947441,5.809129,5.843707,1.714512,82061,KEY
1988-03-29,5.912863,5.912863,5.77455,5.77455,1.694221,195572,KEY
1988-03-30,5.809129,5.843707,5.739972,5.809129,1.704366,57117,KEY
1988-03-31,5.809129,5.982019,5.809129,5.947441,1.744946,155807,KEY
1988-04-04,5.878285,5.947441,5.843707,5.912863,1.734802,75192,KEY
1988-04-05,5.912863,5.982019,5.878285,5.912863,1.734802,100859,KEY
1988-04-06,5.912863,5.947441,5.878285,5.912863,1.734802,6869,KEY
1988-04-07,5.878285,5.947441,5.843707,5.878285,1.724656,84230,KEY
1988-04-08,5.878285,6.016598,5.878285,5.947441,1.744946,91821,KEY
1988-04-11,5.878285,6.016598,5.878285,6.016598,1.765236,86760,KEY
1988-04-12,6.016598,6.085754,5.947441,5.982019,1.755093,87483,KEY
1988-04-13,5.947441,6.016598,5.878285,5.982019,1.755093,63985,KEY
1988-04-14,5.947441,5.947441,5.809129,5.878285,1.724656,133032,KEY
1988-04-15,5.843707,5.843707,5.739972,5.77455,1.694221,122548,KEY
1988-04-18,5.809129,5.809129,5.739972,5.809129,1.704366,39042,KEY
1988-04-19,5.809129,5.809129,5.670816,5.705394,1.673931,7591,KEY
1988-04-20,5.705394,5.705394,5.567082,5.60166,1.643495,349209,KEY
1988-04-21,5.60166,5.705394,5.567082,5.636238,1.653641,184365,KEY
1988-04-22,5.60166,5.77455,5.567082,5.77455,1.694221,66878,KEY
1988-04-25,5.809129,5.878285,5.77455,5.878285,1.724656,219069,KEY
1988-04-26,5.809129,5.878285,5.670816,5.739972,1.684076,70131,KEY
