Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2014-10-20,27.9,33.0,27.32,28.25,28.25,1333600,KEYS
2014-10-21,28.49,29.49,28.299999,28.309999,28.309999,697700,KEYS
2014-10-22,28.469999,28.91,28.0,28.75,28.75,768800,KEYS
2014-10-23,28.75,29.889999,28.6,29.25,29.25,1270700,KEYS
2014-10-24,29.110001,30.09,29.110001,29.75,29.75,1540700,KEYS
2014-10-27,29.85,30.290001,29.370001,30.1,30.1,766700,KEYS
2014-10-28,30.299999,31.290001,29.940001,30.65,30.65,536200,KEYS
2014-10-29,30.65,31.0,29.940001,30.0,30.0,596300,KEYS
2014-10-30,30.15,30.690001,29.75,30.25,30.25,415600,KEYS
2014-10-31,30.25,31.98,30.25,31.5,31.5,29854300,KEYS
2014-11-03,30.610001,31.889999,30.379999,30.610001,30.610001,9243900,KEYS
2014-11-04,30.75,30.799999,30.08,30.16,30.16,6483800,KEYS
2014-11-05,30.67,31.0,30.0,30.18,30.18,3958300,KEYS
2014-11-06,30.200001,30.459999,29.889999,30.049999,30.049999,2991600,KEYS
2014-11-07,29.49,30.389999,29.01,29.76,29.76,9563300,KEYS
2014-11-10,29.030001,30.23,28.559999,29.780001,29.780001,5114200,KEYS
2014-11-11,29.4,30.73,29.059999,30.040001,30.040001,4349600,KEYS
2014-11-12,30.4,31.23,30.0,30.83,30.83,4852100,KEYS
2014-11-13,30.74,31.299999,30.030001,30.41,30.41,2432700,KEYS
2014-11-14,30.290001,30.91,30.219999,30.700001,30.700001,1481300,KEYS
2014-11-17,30.700001,31.42,30.549999,31.049999,31.049999,2389000,KEYS
2014-11-18,30.59,31.135,30.209999,31.0,31.0,3007700,KEYS
2014-11-19,30.719999,31.139999,30.59,30.969999,30.969999,3013000,KEYS
2014-11-20,30.77,31.5,30.65,31.41,31.41,2157600,KEYS
2014-11-21,31.65,32.5,31.450001,32.299999,32.299999,4703600,KEYS
2014-11-24,32.880001,33.040001,32.34,33.0,33.0,2402600,KEYS
2014-11-25,32.970001,33.110001,32.580002,32.849998,32.849998,1798700,KEYS
2014-11-26,33.0,34.98,33.0,34.200001,34.200001,1583400,KEYS
2014-11-28,33.939999,35.380001,33.880001,35.200001,35.200001,425300,KEYS
2014-12-01,35.009998,35.18,34.759998,34.900002,34.900002,1484300,KEYS
2014-12-02,34.73,34.935001,34.299999,34.779999,34.779999,1789000,KEYS
2014-12-03,34.509998,34.650002,34.25,34.310001,34.310001,1150900,KEYS
2014-12-04,33.889999,34.299999,33.709999,34.139999,34.139999,1339000,KEYS
2014-12-05,34.240002,34.48,34.0,34.099998,34.099998,761900,KEYS
2014-12-08,34.099998,34.34,34.0,34.189999,34.189999,956900,KEYS
2014-12-09,33.200001,34.240002,33.200001,33.75,33.75,988200,KEYS
2014-12-10,33.869999,33.98,33.400002,33.470001,33.470001,1442600,KEYS
2014-12-11,33.5,33.889999,33.450001,33.490002,33.490002,599000,KEYS
2014-12-12,33.48,33.599998,32.580002,32.860001,32.860001,1175400,KEYS
2014-12-15,32.91,33.369999,32.740002,32.880001,32.880001,969200,KEYS
2014-12-16,32.52,33.330002,32.5,32.889999,32.889999,1880900,KEYS
2014-12-17,32.82,34.209999,32.389999,33.830002,33.830002,1025700,KEYS
2014-12-18,34.0,34.470001,33.419998,34.110001,34.110001,880600,KEYS
2014-12-19,34.110001,34.57,33.580002,33.98,33.98,1860000,KEYS
2014-12-22,33.900002,34.189999,33.825001,33.939999,33.939999,735000,KEYS
2014-12-23,33.93,34.200001,33.540001,33.630001,33.630001,734800,KEYS
2014-12-24,33.650002,34.380001,33.509998,33.799999,33.799999,1505700,KEYS
2014-12-26,33.939999,34.0,33.549999,33.73,33.73,460300,KEYS
2014-12-29,33.57,34.049999,32.740002,33.91,33.91,474300,KEYS
2014-12-30,33.799999,34.290001,33.681999,33.880001,33.880001,383900,KEYS
2014-12-31,33.869999,34.169998,33.639999,33.77,33.77,329800,KEYS
2015-01-02,33.810001,34.09,33.130001,33.419998,33.419998,812700,KEYS
2015-01-05,33.049999,33.599998,33.049999,33.540001,33.540001,732200,KEYS
2015-01-06,33.650002,33.855,33.5,33.610001,33.610001,1495800,KEYS
2015-01-07,33.669998,34.43,33.669998,33.880001,33.880001,2022100,KEYS
2015-01-08,34.0,34.389999,33.82,34.119999,34.119999,1429600,KEYS
