Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-03-17,0.0,0.5,0.494792,0.494792,0.17085,156000,LEG
1980-03-18,0.0,0.494792,0.484375,0.484375,0.167253,43200,LEG
1980-03-19,0.0,0.484375,0.479167,0.479167,0.165455,72000,LEG
1980-03-20,0.0,0.473958,0.46875,0.473958,0.163656,16800,LEG
1980-03-21,0.0,0.473958,0.473958,0.473958,0.163656,12000,LEG
1980-03-24,0.0,0.479167,0.458333,0.458333,0.158261,21600,LEG
1980-03-25,0.0,0.458333,0.458333,0.458333,0.158261,81600,LEG
1980-03-26,0.0,0.458333,0.458333,0.458333,0.158261,204000,LEG
1980-03-27,0.0,0.458333,0.458333,0.458333,0.158261,38400,LEG
1980-03-28,0.0,0.463542,0.453125,0.453125,0.156463,43200,LEG
1980-03-31,0.0,0.463542,0.453125,0.453125,0.156463,33600,LEG
1980-04-01,0.0,0.453125,0.453125,0.453125,0.156463,7200,LEG
1980-04-02,0.0,0.458333,0.447917,0.447917,0.154664,14400,LEG
1980-04-03,0.0,0.447917,0.447917,0.447917,0.154664,4800,LEG
1980-04-07,0.0,0.442708,0.4375,0.4375,0.151068,43200,LEG
1980-04-08,0.0,0.4375,0.432292,0.4375,0.151068,21600,LEG
1980-04-09,0.0,0.427083,0.416667,0.416667,0.143874,52800,LEG
1980-04-10,0.0,0.421875,0.416667,0.421875,0.145672,115200,LEG
1980-04-11,0.0,0.416667,0.416667,0.416667,0.143874,12000,LEG
1980-04-14,0.416667,0.416667,0.416667,0.416667,0.143874,0,LEG
1980-04-15,0.0,0.416667,0.416667,0.416667,0.143874,7200,LEG
1980-04-16,0.0,0.427083,0.416667,0.416667,0.143874,24000,LEG
1980-04-17,0.0,0.453125,0.427083,0.453125,0.156463,134400,LEG
1980-04-18,0.0,0.458333,0.458333,0.458333,0.158261,2400,LEG
1980-04-21,0.0,0.458333,0.442708,0.442708,0.152866,31200,LEG
1980-04-22,0.0,0.46875,0.447917,0.46875,0.161858,182400,LEG
1980-04-23,0.46875,0.46875,0.46875,0.46875,0.161858,0,LEG
1980-04-24,0.0,0.463542,0.458333,0.463542,0.16006,38400,LEG
1980-04-25,0.0,0.458333,0.458333,0.458333,0.158261,26400,LEG
1980-04-28,0.0,0.463542,0.458333,0.458333,0.158261,26400,LEG
1980-04-29,0.0,0.453125,0.453125,0.453125,0.156463,12000,LEG
1980-04-30,0.0,0.46875,0.458333,0.46875,0.161858,33600,LEG
1980-05-01,0.0,0.494792,0.479167,0.489583,0.169052,19200,LEG
1980-05-02,0.0,0.5,0.494792,0.494792,0.17085,4800,LEG
1980-05-05,0.494792,0.494792,0.494792,0.494792,0.17085,0,LEG
1980-05-06,0.0,0.5,0.5,0.5,0.172649,33600,LEG
1980-05-07,0.0,0.515625,0.510417,0.515625,0.178044,36000,LEG
1980-05-08,0.0,0.505208,0.5,0.505208,0.174447,273600,LEG
1980-05-09,0.0,0.505208,0.489583,0.489583,0.169052,240000,LEG
1980-05-12,0.489583,0.489583,0.489583,0.489583,0.169052,0,LEG
1980-05-13,0.0,0.484375,0.479167,0.479167,0.165455,7200,LEG
1980-05-14,0.0,0.484375,0.484375,0.484375,0.167253,7200,LEG
1980-05-15,0.0,0.479167,0.479167,0.479167,0.165455,7200,LEG
1980-05-16,0.0,0.473958,0.46875,0.46875,0.161858,28800,LEG
1980-05-19,0.0,0.46875,0.463542,0.463542,0.16006,31200,LEG
1980-05-20,0.0,0.473958,0.463542,0.473958,0.163656,19200,LEG
1980-05-21,0.0,0.479167,0.473958,0.473958,0.163656,36000,LEG
1980-05-22,0.0,0.46875,0.463542,0.46875,0.161858,127200,LEG
1980-05-23,0.0,0.463542,0.463542,0.463542,0.16006,57600,LEG
1980-05-27,0.0,0.463542,0.447917,0.447917,0.154664,300000,LEG
1980-05-28,0.0,0.46875,0.458333,0.46875,0.161858,50400,LEG
1980-05-29,0.0,0.479167,0.473958,0.473958,0.163656,33600,LEG
1980-05-30,0.0,0.489583,0.46875,0.489583,0.169052,38400,LEG
1980-06-02,0.0,0.489583,0.473958,0.473958,0.163656,21600,LEG
1980-06-03,0.0,0.46875,0.463542,0.463542,0.16006,28800,LEG
1980-06-04,0.0,0.463542,0.458333,0.463542,0.16006,28800,LEG
1980-06-05,0.0,0.463542,0.463542,0.463542,0.16006,26400,LEG
