Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1981-12-31,9.595625,9.74325,9.448,9.713725,3.31703,180779,LHX
1982-01-04,9.595625,9.713725,9.448,9.50705,3.246455,80864,LHX
1982-01-05,9.359425,9.448,9.27085,9.27085,3.165797,152413,LHX
1982-01-06,9.15275,9.3299,8.9756,9.0937,3.105305,364098,LHX
1982-01-07,9.0937,9.182275,8.9756,9.15275,3.12547,362405,LHX
1982-01-08,8.9756,9.03465,8.91655,8.9756,3.064975,270533,LHX
1982-01-11,8.7394,8.9756,8.473675,8.473675,2.893579,453853,LHX
1982-01-12,8.591775,8.709875,8.44415,8.709875,2.974236,175699,LHX
1982-01-13,8.6213,8.7394,8.5032,8.591775,2.933907,154953,LHX
1982-01-14,8.532725,8.56225,8.473675,8.56225,2.923826,262913,LHX
1982-01-15,8.5032,8.56225,8.414625,8.56225,2.923826,393734,LHX
1982-01-18,8.5032,8.56225,8.44415,8.56225,2.923826,83827,LHX
1982-01-19,8.532725,8.650825,8.3851,8.44415,2.883496,574090,LHX
1982-01-20,8.267,8.473675,8.0308,8.08985,2.762511,791279,LHX
1982-01-21,7.883175,8.178425,7.5584,7.587925,2.591112,296782,LHX
1982-01-22,7.587925,7.73555,7.4403,7.4403,2.540703,690940,LHX
1982-01-25,7.233625,7.351725,7.086,7.26315,2.480211,483489,LHX
1982-01-26,7.38125,7.49935,7.26315,7.3222,2.500375,330652,LHX
1982-01-27,7.528875,7.6765,7.351725,7.646975,2.611279,201948,LHX
1982-01-28,8.0308,8.32605,7.706025,8.32605,2.843167,270957,LHX
1982-01-29,8.267,8.414625,8.08985,8.3851,2.863331,206181,LHX
1982-02-01,8.0308,8.20795,7.85365,7.9127,2.702018,266300,LHX
1982-02-02,8.0308,8.1489,7.9127,8.08985,2.762511,202371,LHX
1982-02-03,8.0308,8.08985,7.97175,7.97175,2.722183,37680,LHX
1982-02-04,7.9127,7.97175,7.85365,7.942225,2.712101,347163,LHX
1982-02-05,8.119375,8.237475,8.001275,8.119375,2.772594,174852,LHX
1982-02-08,8.060325,8.20795,7.9127,7.97175,2.722183,85521,LHX
1982-02-09,7.942225,8.001275,7.85365,7.9127,2.702018,120237,LHX
1982-02-10,8.060325,8.1489,7.942225,8.001275,2.732264,80864,LHX
1982-02-11,7.97175,8.0308,7.9127,8.0308,2.742347,76207,LHX
