Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,9.187500,9.125000,9.125000,2.887164,41600
1980-03-18,0.000000,9.125000,9.093750,9.093750,2.877276,29200
1980-03-19,0.000000,9.250000,9.093750,9.250000,2.926715,25600
1980-03-20,0.000000,9.406250,9.250000,9.281250,2.936602,48000
1980-03-21,0.000000,9.343750,9.125000,9.156250,2.897052,87600
1980-03-24,0.000000,9.218750,9.125000,9.125000,2.887164,25600
1980-03-25,0.000000,9.093750,9.062500,9.062500,2.867390,72400
1980-03-26,0.000000,9.062500,8.843750,8.906250,2.817953,20400
1980-03-27,0.000000,8.750000,8.250000,8.312500,2.630087,44800
1980-03-28,0.000000,8.500000,8.375000,8.375000,2.649862,40000
1980-03-31,0.000000,8.437500,8.187500,8.437500,2.669639,48400
1980-04-01,0.000000,8.562500,8.312500,8.562500,2.709189,60000
1980-04-02,0.000000,8.750000,8.531250,8.718750,2.758627,42000
1980-04-03,0.000000,8.625000,8.500000,8.593750,2.719076,20800
1980-04-07,0.000000,8.687500,8.500000,8.500000,2.689413,32400
1980-04-08,0.000000,8.687500,8.500000,8.687500,2.748739,27600
1980-04-09,0.000000,8.718750,8.593750,8.718750,2.758627,18000
1980-04-10,0.000000,8.937500,8.812500,8.906250,2.817953,29200
1980-04-11,0.000000,9.062500,8.906250,9.062500,2.867390,28000
1980-04-14,0.000000,9.062500,8.875000,8.875000,2.808063,29200
1980-04-15,0.000000,8.875000,8.625000,8.687500,2.748739,25600
1980-04-16,0.000000,8.687500,8.562500,8.562500,2.709189,40400
1980-04-17,0.000000,8.687500,8.437500,8.687500,2.748739,29200
1980-04-18,0.000000,8.875000,8.656250,8.750000,2.768513,30400
1980-04-21,0.000000,8.875000,8.750000,8.750000,2.768513,8800
1980-04-22,0.000000,9.031250,8.750000,9.031250,2.857502,26400
1980-04-23,0.000000,9.125000,9.000000,9.062500,2.867390,5600
1980-04-24,0.000000,9.250000,9.000000,9.218750,2.916827,86800
1980-04-25,0.000000,9.218750,9.156250,9.218750,2.916827,4800
1980-04-28,0.000000,9.156250,9.000000,9.062500,2.867390,15200
1980-04-29,0.000000,9.187500,9.000000,9.093750,2.877276,17600
1980-04-30,0.000000,9.156250,9.031250,9.093750,2.877276,29600
1980-05-01,0.000000,9.156250,8.906250,8.906250,2.817953,19200
1980-05-02,0.000000,9.062500,8.906250,9.000000,2.847615,83200
1980-05-05,0.000000,9.000000,8.937500,9.000000,2.847615,79600
1980-05-06,0.000000,9.250000,9.031250,9.250000,2.926715,79200
1980-05-07,0.000000,9.656250,9.343750,9.562500,3.025590,173600
1980-05-08,0.000000,9.593750,9.312500,9.406250,2.976153,112400
1980-05-09,0.000000,9.406250,9.093750,9.093750,2.877276,34400
1980-05-12,0.000000,9.187500,9.062500,9.125000,2.887164,12800
1980-05-13,0.000000,9.218750,9.062500,9.062500,2.867390,34800
1980-05-14,0.000000,9.281250,9.031250,9.250000,2.926715,48400
1980-05-15,0.000000,9.250000,9.218750,9.250000,2.926715,26400
1980-05-16,0.000000,9.250000,9.125000,9.218750,2.916827,30800
1980-05-19,0.000000,9.218750,9.156250,9.156250,2.897052,20800
1980-05-20,0.000000,9.250000,9.218750,9.218750,2.916827,65600
1980-05-21,0.000000,9.312500,9.187500,9.218750,2.916827,47200
1980-05-22,0.000000,9.312500,9.218750,9.281250,2.936602,32800
1980-05-23,0.000000,9.625000,9.375000,9.593750,3.035477,46000
1980-05-27,0.000000,9.750000,9.562500,9.625000,3.045364,76400
1980-05-28,0.000000,9.687500,9.625000,9.656250,3.055253,72000
1980-05-29,0.000000,9.718750,9.625000,9.625000,3.045364,223600
1980-05-30,0.000000,9.718750,9.625000,9.687500,3.065140,58800
1980-06-02,0.000000,9.718750,9.625000,9.625000,3.045364,26800
1980-06-03,0.000000,9.718750,9.593750,9.718750,3.075028,12000
1980-06-04,0.000000,9.843750,9.687500,9.812500,3.104689,87200
1980-06-05,0.000000,9.968750,9.843750,9.875000,3.124465,47200
1980-06-06,0.000000,10.000000,9.812500,10.000000,3.164015,40400
1980-06-09,0.000000,10.062500,9.875000,9.937500,3.144241,24400
1980-06-10,0.000000,10.156250,10.062500,10.062500,3.183790,56800
1980-06-11,0.000000,10.187500,10.062500,10.156250,3.213452,24400
1980-06-12,0.000000,10.500000,10.156250,10.250000,3.243116,56400
1980-06-13,0.000000,10.531250,10.218750,10.531250,3.332103,28800
1980-06-16,0.000000,10.562500,10.500000,10.562500,3.341992,56800
1980-06-17,0.000000,10.687500,10.562500,10.656250,3.371654,48400
1980-06-18,0.000000,10.593750,10.531250,10.593750,3.351879,20000
1980-06-19,0.000000,10.593750,10.531250,10.531250,3.332103,24400
1980-06-20,0.000000,10.531250,10.437500,10.437500,3.302443,91200
1980-06-23,0.000000,10.437500,10.375000,10.375000,3.282665,20000
1980-06-24,0.000000,10.562500,10.375000,10.468750,3.312329,13600
1980-06-25,0.000000,10.562500,10.437500,10.562500,3.341992,17600
1980-06-26,0.000000,10.593750,10.375000,10.406250,3.292552,20000
1980-06-27,0.000000,10.406250,10.343750,10.406250,3.292552,10400
1980-06-30,0.000000,10.437500,10.312500,10.312500,3.262890,43600
1980-07-01,0.000000,10.500000,10.312500,10.437500,3.302443,78800
1980-07-02,0.000000,10.625000,10.375000,10.562500,3.341992,20800
1980-07-03,0.000000,10.500000,10.437500,10.437500,3.302443,26400
1980-07-07,0.000000,10.500000,10.437500,10.437500,3.302443,20800
1980-07-08,0.000000,10.625000,10.531250,10.625000,3.361767,30800
1980-07-09,0.000000,10.687500,10.562500,10.625000,3.361767,111600
1980-07-10,0.000000,10.562500,10.437500,10.437500,3.302443,24800
1980-07-11,0.000000,10.500000,10.343750,10.500000,3.322217,90400
1980-07-14,0.000000,10.625000,10.468750,10.625000,3.361767,12800
1980-07-15,0.000000,10.875000,10.656250,10.750000,3.401316,50400
1980-07-16,0.000000,10.875000,10.625000,10.875000,3.440867,46000
1980-07-17,0.000000,10.875000,10.750000,10.750000,3.401316,5200
1980-07-18,0.000000,10.875000,10.750000,10.843750,3.430981,44800
1980-07-21,0.000000,10.843750,10.750000,10.781250,3.411205,38800
1980-07-22,0.000000,10.937500,10.750000,10.750000,3.401316,58400
1980-07-23,0.000000,11.437500,10.718750,11.281250,3.569405,72000
1980-07-24,0.000000,11.812500,11.312500,11.375000,3.599068,62400
1980-07-25,0.000000,11.250000,10.968750,11.062500,3.500195,76000
1980-07-28,0.000000,11.000000,10.843750,11.000000,3.480417,95200
1980-07-29,0.000000,11.093750,10.937500,10.937500,3.460643,21600
1980-07-30,0.000000,10.906250,10.812500,10.812500,3.421093,51200
1980-07-31,0.000000,10.750000,10.656250,10.750000,3.401316,200000
1980-08-01,0.000000,10.875000,10.687500,10.687500,3.381540,31600
1980-08-04,0.000000,10.937500,10.625000,10.937500,3.460643,146000
1980-08-05,0.000000,11.156250,10.906250,11.156250,3.529854,29200
1980-08-06,0.000000,11.250000,11.187500,11.250000,3.559518,19200
1980-08-07,0.000000,11.500000,11.250000,11.375000,3.599068,70400
1980-08-08,0.000000,11.531250,11.000000,11.000000,3.480417,112800
1980-08-11,0.000000,11.062500,10.937500,10.937500,3.460643,46400
1980-08-12,0.000000,11.156250,10.968750,11.062500,3.500195,37200
1980-08-13,0.000000,11.187500,10.968750,10.968750,3.470528,57600
1980-08-14,0.000000,11.250000,10.875000,11.250000,3.559518,101200
1980-08-15,0.000000,11.343750,11.187500,11.187500,3.539743,45600
1980-08-18,0.000000,11.250000,11.062500,11.187500,3.539743,17600
1980-08-19,0.000000,11.125000,10.781250,10.812500,3.421093,55200
1980-08-20,0.000000,10.750000,10.625000,10.656250,3.371654,48000
1980-08-21,0.000000,11.000000,10.750000,10.968750,3.470528,62000
1980-08-22,0.000000,11.187500,11.031250,11.062500,3.500195,21200
1980-08-25,0.000000,11.125000,10.843750,10.875000,3.440867,28800
1980-08-26,0.000000,11.000000,10.750000,10.750000,3.401316,62000
1980-08-27,0.000000,10.687500,10.625000,10.625000,3.361767,53600
1980-08-28,0.000000,10.625000,10.562500,10.625000,3.361767,4800
1980-08-29,0.000000,10.625000,10.375000,10.500000,3.322217,31200
1980-09-02,0.000000,10.500000,10.312500,10.375000,3.282665,26000
1980-09-03,0.000000,10.562500,10.375000,10.500000,3.322217,65200
1980-09-04,0.000000,10.625000,10.531250,10.562500,3.341992,24400
1980-09-05,0.000000,10.625000,10.531250,10.531250,3.332103,35200
1980-09-08,0.000000,10.593750,10.500000,10.500000,3.322217,21600
1980-09-09,0.000000,10.437500,10.312500,10.406250,3.292552,66400
1980-09-10,0.000000,10.593750,10.437500,10.531250,3.332103,67600
