Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1966-07-05,0.0,0.273663,0.26749,0.269547,0.121445,388800,MCD
1966-07-06,0.0,0.283951,0.26749,0.283951,0.127935,692550,MCD
1966-07-07,0.0,0.291152,0.271605,0.273663,0.1233,1858950,MCD
1966-07-08,0.0,0.276749,0.26749,0.276749,0.12469,1239300,MCD
1966-07-11,0.0,0.283951,0.272634,0.27572,0.124227,656100,MCD
1966-07-12,0.0,0.273663,0.270576,0.271605,0.122373,303750,MCD
1966-07-13,0.0,0.274691,0.269547,0.270576,0.121909,291600,MCD
1966-07-14,0.0,0.271605,0.26749,0.26749,0.120519,328050,MCD
1966-07-15,0.0,0.268519,0.263374,0.263374,0.118664,376650,MCD
1966-07-18,0.0,0.271605,0.261317,0.263374,0.118664,607500,MCD
1966-07-19,0.0,0.263374,0.259259,0.259259,0.11681,413100,MCD
1966-07-20,0.0,0.262346,0.255144,0.257202,0.115883,230850,MCD
1966-07-21,0.0,0.259259,0.25,0.25,0.112638,230850,MCD
1966-07-22,0.0,0.251029,0.246914,0.25,0.112638,303750,MCD
1966-07-25,0.0,0.25,0.237654,0.237654,0.107076,510300,MCD
1966-07-26,0.0,0.24177,0.234568,0.234568,0.105685,328050,MCD
1966-07-27,0.0,0.239712,0.235597,0.237654,0.107076,157950,MCD
1966-07-28,0.0,0.240741,0.236626,0.240741,0.108467,97200,MCD
1966-07-29,0.0,0.242798,0.238683,0.242798,0.109394,157950,MCD
1966-08-01,0.0,0.240741,0.235597,0.235597,0.106149,182250,MCD
1966-08-02,0.0,0.238683,0.234568,0.236626,0.106613,85050,MCD
1966-08-03,0.0,0.238683,0.23251,0.23251,0.104758,267300,MCD
1966-08-04,0.0,0.236626,0.233539,0.235597,0.106149,60750,MCD
1966-08-05,0.0,0.246914,0.238683,0.244856,0.110321,157950,MCD
1966-08-08,0.0,0.24177,0.239712,0.24177,0.10893,48600,MCD
1966-08-09,0.0,0.244856,0.239712,0.242798,0.109394,133650,MCD
1966-08-10,0.0,0.244856,0.240741,0.242798,0.109394,170100,MCD
1966-08-11,0.0,0.242798,0.239712,0.240741,0.108467,133650,MCD
1966-08-12,0.0,0.240741,0.237654,0.237654,0.107076,206550,MCD
1966-08-15,0.0,0.242798,0.238683,0.240741,0.108467,741150,MCD
1966-08-16,0.0,0.242798,0.234568,0.234568,0.105685,668250,MCD
1966-08-17,0.0,0.235597,0.217078,0.22428,0.10105,473850,MCD
1966-08-18,0.0,0.223251,0.219136,0.219136,0.098733,109350,MCD
1966-08-19,0.0,0.220165,0.205761,0.207819,0.093634,315900,MCD
1966-08-22,0.0,0.210905,0.197531,0.200617,0.090389,680400,MCD
1966-08-23,0.0,0.204733,0.19856,0.203704,0.09178,291600,MCD
1966-08-24,0.0,0.204733,0.19856,0.202675,0.091316,243000,MCD
1966-08-25,0.0,0.208848,0.203704,0.203704,0.09178,279450,MCD
1966-08-26,0.0,0.204733,0.197531,0.19856,0.089462,413100,MCD
1966-08-29,0.0,0.191358,0.176955,0.176955,0.079728,400950,MCD
1966-08-30,0.0,0.1893,0.171811,0.184156,0.082972,789750,MCD
1966-08-31,0.0,0.199588,0.187243,0.193416,0.087144,595350,MCD
1966-09-01,0.0,0.195473,0.1893,0.195473,0.088071,303750,MCD
1966-09-02,0.0,0.194444,0.191358,0.193416,0.087144,133650,MCD
1966-09-06,0.0,0.195473,0.191358,0.191358,0.086217,157950,MCD
1966-09-07,0.0,0.1893,0.182099,0.185185,0.083436,243000,MCD
1966-09-08,0.0,0.182099,0.171811,0.174897,0.0788,376650,MCD
1966-09-09,0.0,0.187243,0.180041,0.183128,0.082509,206550,MCD
1966-09-12,0.0,0.191358,0.185185,0.191358,0.086217,413100,MCD
1966-09-13,0.0,0.197531,0.194444,0.195473,0.088071,267300,MCD
1966-09-14,0.0,0.197531,0.191358,0.197531,0.088998,243000,MCD
1966-09-15,0.0,0.197531,0.190329,0.190329,0.085753,145800,MCD
1966-09-16,0.0,0.1893,0.186214,0.1893,0.08529,145800,MCD
1966-09-19,0.0,0.196502,0.1893,0.1893,0.08529,255150,MCD
1966-09-20,0.0,0.1893,0.1893,0.1893,0.08529,72900,MCD
