Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1993-03-19,0.334705,0.356653,0.318244,0.326475,0.191057,90045169,MCHP
1993-03-22,0.318244,0.320988,0.310014,0.312757,0.183029,13600406,MCHP
1993-03-23,0.312757,0.318244,0.310014,0.312757,0.183029,8301488,MCHP
1993-03-24,0.318244,0.320988,0.310014,0.318244,0.18624,3663225,MCHP
1993-03-25,0.323731,0.334705,0.320988,0.331962,0.194268,4250981,MCHP
1993-03-26,0.334705,0.353909,0.331962,0.342936,0.20069,8315156,MCHP
1993-03-29,0.348422,0.348422,0.342936,0.345679,0.202295,7362900,MCHP
1993-03-30,0.345679,0.353909,0.340192,0.351166,0.205506,3809025,MCHP
1993-03-31,0.356653,0.356653,0.345679,0.353909,0.207111,3321506,MCHP
1993-04-01,0.348422,0.356653,0.345679,0.351166,0.205506,1421550,MCHP
1993-04-02,0.356653,0.356653,0.345679,0.356653,0.208717,1904513,MCHP
1993-04-05,0.356653,0.356653,0.345679,0.353909,0.207111,441956,MCHP
1993-04-06,0.351166,0.353909,0.345679,0.345679,0.202295,874800,MCHP
1993-04-07,0.353909,0.353909,0.345679,0.353909,0.207111,1366875,MCHP
1993-04-08,0.353909,0.356653,0.345679,0.356653,0.208717,947700,MCHP
1993-04-12,0.356653,0.356653,0.348422,0.348422,0.2039,186806,MCHP
1993-04-13,0.356653,0.373114,0.351166,0.36214,0.211928,2022975,MCHP
1993-04-14,0.36214,0.392318,0.36214,0.375857,0.219955,6187388,MCHP
1993-04-15,0.378601,0.378601,0.356653,0.36214,0.211928,3544763,MCHP
1993-04-16,0.367627,0.37037,0.36214,0.367627,0.215139,2063981,MCHP
1993-04-19,0.367627,0.367627,0.353909,0.356653,0.208717,1672144,MCHP
1993-04-20,0.356653,0.356653,0.345679,0.356653,0.208717,2360138,MCHP
1993-04-21,0.351166,0.378601,0.345679,0.37037,0.216744,3166594,MCHP
1993-04-22,0.373114,0.400549,0.367627,0.389575,0.227983,2984344,MCHP
1993-04-23,0.400549,0.411523,0.389575,0.411523,0.240828,1868063,MCHP
1993-04-26,0.406036,0.422497,0.395062,0.414266,0.242433,3521981,MCHP
1993-04-27,0.414266,0.433471,0.408779,0.433471,0.253672,2916000,MCHP
1993-04-28,0.433471,0.466392,0.433471,0.460905,0.269726,7900538,MCHP
1993-04-29,0.460905,0.466392,0.41701,0.438957,0.256882,8214919,MCHP
1993-04-30,0.449931,0.466392,0.438957,0.466392,0.272938,5216906,MCHP
1993-05-03,0.460905,0.471879,0.460905,0.471879,0.276148,1795163,MCHP
1993-05-04,0.466392,0.471879,0.449931,0.449931,0.263304,1612913,MCHP
1993-05-05,0.449931,0.466392,0.449931,0.455418,0.266515,1025156,MCHP
1993-05-06,0.466392,0.466392,0.455418,0.466392,0.272938,154913,MCHP
1993-05-07,0.466392,0.493827,0.466392,0.48834,0.285782,1895400,MCHP
1993-05-10,0.48834,0.515775,0.48834,0.515775,0.301837,5900344,MCHP
1993-05-11,0.515775,0.515775,0.499314,0.515775,0.301837,2847656,MCHP
1993-05-12,0.515775,0.515775,0.504801,0.515775,0.301837,1854394,MCHP
1993-05-13,0.515775,0.515775,0.48834,0.48834,0.285782,2574281,MCHP
1993-05-14,0.48834,0.504801,0.48834,0.493827,0.288993,2328244,MCHP
1993-05-17,0.493827,0.515775,0.493827,0.510288,0.298626,596869,MCHP
1993-05-18,0.515775,0.532236,0.515775,0.532236,0.31147,1931850,MCHP
1993-05-19,0.532236,0.532236,0.521262,0.521262,0.305048,2009306,MCHP
1993-05-20,0.537723,0.537723,0.521262,0.526749,0.308259,984150,MCHP
1993-05-21,0.537723,0.537723,0.521262,0.537723,0.314681,369056,MCHP
1993-05-24,0.532236,0.532236,0.493827,0.502058,0.293809,1590131,MCHP
1993-05-25,0.499314,0.504801,0.499314,0.504801,0.295415,1170956,MCHP
1993-05-26,0.499314,0.515775,0.499314,0.515775,0.301837,405506,MCHP
1993-05-27,0.507545,0.515775,0.499314,0.510288,0.298626,1603800,MCHP
1993-05-28,0.499314,0.510288,0.499314,0.510288,0.298626,223256,MCHP
1993-06-01,0.499314,0.510288,0.499314,0.499314,0.292204,437400,MCHP
1993-06-02,0.510288,0.510288,0.499314,0.499314,0.292204,132131,MCHP
1993-06-03,0.499314,0.510288,0.499314,0.499314,0.292204,419175,MCHP
1993-06-04,0.499314,0.510288,0.460905,0.471879,0.276148,2715525,MCHP
1993-06-07,0.471879,0.482853,0.466392,0.482853,0.28257,2355581,MCHP
1993-06-08,0.471879,0.471879,0.427984,0.444444,0.260093,5039213,MCHP
1993-06-09,0.460905,0.471879,0.444444,0.460905,0.269726,2269013,MCHP
1993-06-10,0.460905,0.477366,0.460905,0.471879,0.276148,405506,MCHP
1993-06-11,0.48834,0.515775,0.482853,0.515775,0.301837,1344094,MCHP
1993-06-14,0.515775,0.537723,0.504801,0.532236,0.31147,7176094,MCHP
1993-06-15,0.537723,0.54321,0.526749,0.537723,0.314681,2114100,MCHP
1993-06-16,0.54321,0.587106,0.537723,0.581619,0.34037,4948088,MCHP
1993-06-17,0.576132,0.581619,0.570645,0.581619,0.34037,5836556,MCHP
1993-06-18,0.570645,0.581619,0.570645,0.578875,0.338764,883913,MCHP
