Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1994-02-17,25.5,25.875,24.5,24.625,16.630434,4478600,MLM
1994-02-18,24.75,25.0,24.25,24.625,16.630434,777900,MLM
1994-02-22,24.25,24.5,24.0,24.375,16.461605,361900,MLM
1994-02-23,24.375,24.5,23.25,23.25,15.701823,284500,MLM
1994-02-24,23.125,23.25,22.75,23.0,15.532988,494600,MLM
1994-02-25,23.0,23.875,23.0,23.75,16.039503,102000,MLM
1994-02-28,23.875,24.0,23.75,23.875,16.123924,115200,MLM
1994-03-01,23.75,24.0,23.125,23.25,15.701823,246600,MLM
1994-03-02,22.75,22.875,22.625,22.75,15.364153,355900,MLM
1994-03-03,22.75,23.0,22.75,22.875,15.448568,51500,MLM
1994-03-04,23.0,23.375,22.75,23.125,15.617414,145500,MLM
1994-03-07,23.125,23.25,23.0,23.0,15.532988,102200,MLM
1994-03-08,23.0,23.125,22.875,23.0,15.532988,34700,MLM
1994-03-09,23.125,23.125,22.875,22.875,15.448568,101100,MLM
1994-03-10,22.875,23.0,22.125,22.25,15.026486,220400,MLM
1994-03-11,22.125,22.375,22.0,22.375,15.110894,42100,MLM
1994-03-14,22.25,22.5,22.125,22.25,15.026486,11900,MLM
1994-03-15,22.75,23.0,22.5,22.75,15.364153,128500,MLM
1994-03-16,22.75,22.875,22.5,22.75,15.364153,93800,MLM
1994-03-17,22.875,22.875,22.5,22.625,15.279733,43700,MLM
1994-03-18,22.5,22.875,22.5,22.875,15.448568,125000,MLM
1994-03-21,22.75,23.125,22.75,23.125,15.617414,81100,MLM
1994-03-22,23.0,23.625,23.0,23.5,15.870667,91800,MLM
1994-03-23,24.25,24.875,24.25,24.25,16.377184,332700,MLM
1994-03-24,24.375,24.375,24.0,24.0,16.20834,113300,MLM
1994-03-25,24.0,24.25,24.0,24.0,16.20834,54700,MLM
1994-03-28,24.25,24.25,23.75,24.0,16.20834,67900,MLM
1994-03-29,23.875,24.0,22.5,22.5,15.195319,174400,MLM
1994-03-30,22.25,22.25,22.0,22.125,14.942066,198000,MLM
1994-03-31,22.25,22.375,21.5,22.0,14.857639,201000,MLM
1994-04-04,21.625,21.625,21.0,21.5,14.519969,206600,MLM
1994-04-05,21.5,22.75,21.5,22.75,15.364153,40500,MLM
1994-04-06,22.75,22.875,22.5,22.875,15.448568,31700,MLM
1994-04-07,22.875,22.875,22.625,22.875,15.448568,14500,MLM
1994-04-08,22.875,22.875,22.125,22.5,15.195319,29900,MLM
1994-04-11,22.75,22.75,22.25,22.625,15.279733,28900,MLM
1994-04-12,22.5,22.5,22.0,22.125,14.942066,56200,MLM
1994-04-13,22.25,22.375,21.25,21.75,14.688805,48100,MLM
1994-04-14,21.5,21.5,21.25,21.375,14.435549,81800,MLM
1994-04-15,21.375,21.375,21.25,21.375,14.435549,23400,MLM
1994-04-18,21.375,21.375,20.5,20.5,13.844622,119100,MLM
1994-04-19,20.5,20.5,20.0,20.125,13.591358,23100,MLM
1994-04-20,20.125,20.125,19.5,19.75,13.338112,72900,MLM
1994-04-21,19.625,19.875,19.5,19.75,13.338112,67100,MLM
1994-04-22,19.5,19.75,19.5,19.75,13.338112,8000,MLM
1994-04-25,19.5,19.625,18.25,19.625,13.253697,130900,MLM
1994-04-26,19.625,21.0,19.625,20.75,14.013463,172800,MLM
1994-04-28,21.0,21.125,20.75,20.875,14.097885,73900,MLM
1994-04-29,21.0,23.0,21.0,23.0,15.532988,166100,MLM
1994-05-02,22.75,23.75,22.625,23.75,16.039503,87800,MLM
1994-05-03,23.5,23.75,23.25,23.375,15.786236,55000,MLM
1994-05-04,23.5,24.0,23.375,23.5,15.870667,81500,MLM
1994-05-05,23.25,23.5,23.25,23.375,15.786236,14200,MLM
1994-05-06,23.125,23.25,22.375,22.5,15.195319,67900,MLM
1994-05-09,22.25,22.5,21.75,22.0,14.857639,65200,MLM
1994-05-10,22.0,22.0,21.75,21.875,14.773227,18000,MLM
1994-05-11,21.875,21.875,21.375,21.375,14.435549,24200,MLM
