Date,Open,High,Low,Close,Adj Close,Volume
1988-01-26,11.500000,11.750000,11.250000,11.500000,7.283538,7244600
1988-01-27,11.562500,12.375000,11.437500,12.375000,7.837716,3652400
1988-01-28,12.250000,12.562500,12.125000,12.562500,7.956467,2180000
1988-01-29,12.437500,12.562500,11.875000,12.250000,7.758546,1335400
1988-02-01,12.125000,12.250000,11.937500,12.000000,7.600212,488800
1988-02-02,12.000000,12.000000,11.812500,12.000000,7.600212,476800
1988-02-03,12.000000,12.625000,12.000000,12.125000,7.679376,1284600
1988-02-04,12.125000,12.312500,12.062500,12.312500,7.798131,328000
1988-02-05,12.250000,12.437500,12.250000,12.375000,7.837716,403600
1988-02-08,12.125000,12.125000,11.875000,12.000000,7.600212,143400
1988-02-09,12.125000,12.125000,11.875000,11.875000,7.521042,157000
1988-02-10,12.000000,12.312500,12.000000,12.250000,7.758546,456400
1988-02-11,12.375000,12.562500,12.375000,12.375000,7.837716,484000
1988-02-12,12.500000,12.812500,12.500000,12.750000,8.075222,222600
1988-02-16,12.812500,13.250000,12.812500,13.250000,8.391899,838000
1988-02-17,13.250000,13.437500,12.875000,13.062500,8.273147,642400
1988-02-18,13.000000,13.312500,12.937500,13.250000,8.391899,516000
1988-02-19,13.250000,14.625000,13.250000,14.250000,9.025248,1103400
1988-02-22,14.125000,14.250000,14.000000,14.187500,8.985664,326600
1988-02-23,14.125000,14.125000,13.812500,14.000000,8.866910,245000
1988-02-24,13.937500,13.937500,13.750000,13.875000,8.787738,271600
1988-02-25,13.875000,14.250000,13.875000,14.062500,8.906497,948000
1988-02-26,14.062500,14.125000,14.000000,14.125000,8.946079,256000
1988-02-29,14.250000,15.187500,14.187500,15.125000,9.579432,647800
1988-03-01,15.187500,15.375000,14.875000,14.875000,9.421091,587200
1988-03-02,14.812500,15.187500,14.812500,15.187500,9.619017,192000
1988-03-03,15.312500,15.312500,15.000000,15.000000,9.500258,232800
1988-03-04,14.875000,15.500000,14.875000,15.500000,9.816939,426000
1988-03-07,15.250000,16.062500,15.250000,15.937500,10.094025,463400
1988-03-08,15.875000,16.062500,15.812500,15.937500,10.094025,494800
1988-03-09,16.000000,16.000000,15.812500,15.875000,10.054444,205400
1988-03-10,15.937500,15.937500,14.562500,14.562500,9.223169,414200
1988-03-11,14.500000,14.687500,14.000000,14.500000,9.227944,223400
1988-03-14,14.625000,15.125000,14.562500,15.062500,9.585921,144800
1988-03-15,15.250000,15.937500,15.250000,15.937500,10.142783,673200
1988-03-16,16.000000,16.125000,15.562500,15.687500,9.983680,202800
