Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1994-10-18,7.751938,7.8125,7.630814,7.751938,1.374005,418166,O
1994-10-19,7.8125,8.478682,7.8125,8.41812,1.492086,249950,O
1994-10-20,8.539244,8.781492,8.478682,8.478682,1.502819,141590,O
1994-10-21,8.478682,8.539244,8.296996,8.357558,1.481349,68731,O
1994-10-24,8.357558,8.539244,8.175872,8.175872,1.449146,75749,O
1994-10-25,8.11531,8.357558,7.994186,8.296996,1.470616,65222,O
1994-10-26,8.175872,8.296996,8.175872,8.175872,1.461951,47678,O
1994-10-27,8.175872,8.296996,8.175872,8.175872,1.461951,34882,O
1994-10-28,8.175872,8.236434,8.054748,8.054748,1.440293,41280,O
1994-10-31,8.11531,8.175872,8.054748,8.054748,1.440293,33850,O
1994-11-01,8.054748,8.11531,7.994186,8.054748,1.440293,34056,O
1994-11-02,8.054748,8.11531,7.8125,7.994186,1.429464,75542,O
1994-11-03,8.054748,8.11531,7.933624,7.933624,1.418635,56554,O
1994-11-04,7.933624,7.994186,7.751938,7.751938,1.386146,67699,O
1994-11-07,7.751938,7.873062,7.751938,7.751938,1.386146,73478,O
1994-11-08,7.751938,7.873062,7.751938,7.873062,1.407804,106296,O
1994-11-09,7.8125,7.933624,7.8125,7.8125,1.396977,61920,O
1994-11-10,7.751938,7.933624,7.570252,7.630814,1.36449,76574,O
1994-11-11,7.691376,7.691376,7.388566,7.570252,1.353659,80909,O
1994-11-14,7.50969,7.691376,7.388566,7.630814,1.36449,65842,O
1994-11-15,7.449128,7.630814,7.388566,7.449128,1.332,70382,O
1994-11-16,7.449128,7.570252,7.388566,7.50969,1.34283,85862,O
1994-11-17,7.388566,7.570252,7.388566,7.570252,1.353659,99485,O
1994-11-18,7.50969,7.50969,7.388566,7.388566,1.321172,113933,O
1994-11-21,7.50969,7.630814,7.388566,7.50969,1.34283,136843,O
1994-11-22,7.449128,7.570252,7.449128,7.50969,1.34283,93086,O
1994-11-23,7.449128,7.570252,7.449128,7.570252,1.353659,48504,O
1994-11-25,7.388566,7.570252,7.388566,7.570252,1.36678,33850,O
1994-11-28,7.570252,7.691376,7.50969,7.691376,1.388649,68525,O
1994-11-29,7.691376,7.751938,7.630814,7.630814,1.377714,48091,O
1994-11-30,7.691376,7.8125,7.630814,7.751938,1.399582,72653,O
1994-12-01,7.751938,7.8125,7.691376,7.8125,1.410519,68731,O
1994-12-02,7.751938,7.8125,7.691376,7.691376,1.388649,31579,O
1994-12-05,7.630814,7.751938,7.630814,7.691376,1.388649,45614,O
1994-12-06,7.630814,7.691376,7.570252,7.691376,1.388649,43344,O
1994-12-07,7.570252,7.691376,7.570252,7.691376,1.388649,34056,O
1994-12-08,7.630814,7.751938,7.630814,7.630814,1.377714,38597,O
1994-12-09,7.570252,7.691376,7.570252,7.630814,1.377714,72653,O
1994-12-12,7.691376,7.751938,7.630814,7.630814,1.377714,31992,O
1994-12-13,7.691376,7.691376,7.630814,7.630814,1.377714,69350,O
1994-12-14,7.691376,7.751938,7.570252,7.751938,1.399582,112901,O
1994-12-15,7.751938,7.873062,7.691376,7.751938,1.399582,44170,O
1994-12-16,7.873062,8.175872,7.8125,7.994186,1.443319,83386,O
1994-12-19,8.054748,8.236434,7.994186,8.11531,1.465187,79051,O
1994-12-20,7.994186,8.11531,7.873062,8.11531,1.465187,57586,O
1994-12-21,8.054748,8.175872,8.054748,8.11531,1.465187,55109,O
1994-12-22,8.11531,8.175872,8.054748,8.11531,1.465187,59443,O
1994-12-23,8.11531,8.175872,8.054748,8.054748,1.454255,45408,O
1994-12-27,7.994186,8.175872,7.873062,7.933624,1.445427,47059,O
1994-12-28,7.994186,8.054748,7.933624,8.054748,1.467495,42106,O
1994-12-29,7.994186,7.994186,7.933624,7.994186,1.45646,65222,O
1994-12-30,7.994186,8.296996,7.933624,8.296996,1.511631,106296,O
1995-01-03,8.175872,8.236434,8.11531,8.175872,1.489562,47266,O
1995-01-04,8.11531,8.175872,7.994186,7.994186,1.45646,21878,O
1995-01-05,7.994186,8.11531,7.933624,8.054748,1.467495,16099,O
1995-01-06,7.994186,8.054748,7.933624,8.054748,1.467495,16512,O
