Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1973-02-21,0.921875,0.921875,0.921875,0.921875,0.506581,59200,PKI
1973-02-22,0.929688,0.929688,0.929688,0.929688,0.510875,49600,PKI
1973-02-23,0.890625,0.890625,0.890625,0.890625,0.489409,92800,PKI
1973-02-26,0.921875,0.921875,0.921875,0.921875,0.506581,73600,PKI
1973-02-27,0.875,0.875,0.875,0.875,0.480823,131200,PKI
1973-02-28,0.914063,0.914063,0.914063,0.914063,0.502288,57600,PKI
1973-03-01,0.875,0.875,0.875,0.875,0.480823,68800,PKI
1973-03-02,0.882813,0.882813,0.882813,0.882813,0.485116,182400,PKI
1973-03-05,0.875,0.875,0.875,0.875,0.480823,44800,PKI
1973-03-06,0.890625,0.890625,0.890625,0.890625,0.489409,41600,PKI
1973-03-07,0.984375,0.984375,0.984375,0.984375,0.540926,148800,PKI
1973-03-08,0.976563,0.976563,0.976563,0.976563,0.536633,35200,PKI
1973-03-09,0.960938,0.960938,0.960938,0.960938,0.528047,59200,PKI
1973-03-12,0.9375,0.9375,0.9375,0.9375,0.515167,38400,PKI
1973-03-13,0.96875,0.96875,0.96875,0.96875,0.532339,134400,PKI
1973-03-14,0.953125,0.953125,0.953125,0.953125,0.523753,51200,PKI
1973-03-15,0.929688,0.929688,0.929688,0.929688,0.510875,41600,PKI
1973-03-16,0.9375,0.9375,0.9375,0.9375,0.515167,54400,PKI
1973-03-19,0.929688,0.929688,0.929688,0.929688,0.510875,46400,PKI
1973-03-20,0.921875,0.921875,0.921875,0.921875,0.506581,14400,PKI
1973-03-21,0.898438,0.898438,0.898438,0.898438,0.493702,62400,PKI
1973-03-22,0.882813,0.882813,0.882813,0.882813,0.485116,112000,PKI
1973-03-23,0.9375,0.9375,0.9375,0.9375,0.515167,97600,PKI
1973-03-26,0.953125,0.953125,0.953125,0.953125,0.523753,139200,PKI
1973-03-27,0.96875,0.96875,0.96875,0.96875,0.532339,67200,PKI
1973-03-28,0.96875,0.96875,0.96875,0.96875,0.532339,91200,PKI
1973-03-29,0.96875,0.96875,0.96875,0.96875,0.532339,51200,PKI
1973-03-30,0.960938,0.960938,0.960938,0.960938,0.528047,48000,PKI
1973-04-02,0.945313,0.945313,0.945313,0.945313,0.519461,40000,PKI
1973-04-03,0.921875,0.921875,0.921875,0.921875,0.506581,67200,PKI
1973-04-04,0.914063,0.914063,0.914063,0.914063,0.502288,46400,PKI
1973-04-05,0.882813,0.882813,0.882813,0.882813,0.485116,20800,PKI
1973-04-06,0.890625,0.890625,0.890625,0.890625,0.489409,134400,PKI
1973-04-09,0.898438,0.898438,0.898438,0.898438,0.493702,96000,PKI
1973-04-10,0.9375,0.9375,0.9375,0.9375,0.515167,145600,PKI
1973-04-11,0.898438,0.898438,0.898438,0.898438,0.493702,137600,PKI
1973-04-12,0.9375,0.9375,0.9375,0.9375,0.515167,145600,PKI
1973-04-13,0.984375,0.984375,0.984375,0.984375,0.540926,92800,PKI
1973-04-16,1.0,1.0,1.0,1.0,0.549512,112000,PKI
1973-04-17,0.96875,0.96875,0.96875,0.96875,0.532339,120000,PKI
1973-04-18,0.945313,0.945313,0.945313,0.945313,0.519461,116800,PKI
1973-04-19,0.9375,0.9375,0.9375,0.9375,0.515167,73600,PKI
1973-04-23,0.9375,0.9375,0.9375,0.9375,0.515167,99200,PKI
1973-04-24,0.851563,0.851563,0.851563,0.851563,0.467944,171200,PKI
