Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1981-12-31,8.140625,8.25,8.03125,8.1875,0.786014,109600,ROK
1982-01-04,8.15625,8.15625,8.125,8.125,0.780014,80800,ROK
1982-01-05,8.03125,8.125,7.90625,7.90625,0.759014,138400,ROK
1982-01-06,7.78125,7.90625,7.65625,7.71875,0.741013,151600,ROK
1982-01-07,7.6875,7.71875,7.625,7.65625,0.735013,96800,ROK
1982-01-08,7.71875,7.75,7.65625,7.6875,0.738013,258800,ROK
1982-01-11,7.59375,7.6875,7.46875,7.46875,0.717012,160000,ROK
1982-01-12,7.3125,7.46875,7.125,7.28125,0.699012,249200,ROK
1982-01-13,7.21875,7.3125,7.125,7.15625,0.687012,227200,ROK
1982-01-14,7.1875,7.25,7.125,7.1875,0.690012,52800,ROK
1982-01-15,7.25,7.3125,7.1875,7.25,0.696012,75200,ROK
1982-01-18,7.1875,7.25,7.09375,7.09375,0.681012,243200,ROK
1982-01-19,7.28125,7.34375,7.21875,7.3125,0.702012,395600,ROK
1982-01-20,7.5,7.65625,7.3125,7.59375,0.729013,548000,ROK
1982-01-21,7.75,7.8125,7.65625,7.75,0.744013,395600,ROK
1982-01-22,7.71875,7.75,7.6875,7.71875,0.741013,341600,ROK
1982-01-25,7.6875,7.71875,7.625,7.71875,0.741013,253600,ROK
1982-01-26,7.75,7.8125,7.65625,7.65625,0.735013,262800,ROK
1982-01-27,7.59375,7.65625,7.5,7.5,0.720013,349600,ROK
1982-01-28,7.53125,7.59375,7.46875,7.5,0.720013,154000,ROK
1982-01-29,7.71875,7.84375,7.5625,7.8125,0.750014,309600,ROK
1982-02-01,7.71875,7.78125,7.625,7.625,0.732013,272000,ROK
1982-02-02,7.625,7.6875,7.53125,7.625,0.732013,140400,ROK
1982-02-03,7.65625,7.75,7.5625,7.5625,0.726013,142000,ROK
1982-02-04,7.59375,7.625,7.53125,7.5625,0.726013,93600,ROK
1982-02-05,7.8125,7.90625,7.6875,7.875,0.756013,149600,ROK
1982-02-08,8.0,8.0625,7.90625,7.9375,0.762013,177200,ROK
1982-02-09,8.0,8.03125,7.96875,8.0,0.768014,108400,ROK
1982-02-10,8.0625,8.15625,7.9375,7.9375,0.762013,299200,ROK
1982-02-11,7.96875,7.96875,7.9375,7.9375,0.762013,138800,ROK
1982-02-12,7.9375,7.96875,7.90625,7.9375,0.762013,42400,ROK
1982-02-16,7.71875,7.75,7.6875,7.71875,0.750228,258400,ROK
1982-02-17,7.71875,7.78125,7.625,7.625,0.741117,221200,ROK
1982-02-18,7.59375,7.65625,7.5,7.5625,0.735042,101200,ROK
1982-02-19,7.46875,7.53125,7.40625,7.40625,0.719855,254400,ROK
1982-02-22,7.5,7.5625,7.4375,7.4375,0.722892,174800,ROK
1982-02-23,7.3125,7.40625,7.1875,7.3125,0.710743,281200,ROK
1982-02-24,7.25,7.3125,7.1875,7.21875,0.701631,208000,ROK
1982-02-25,7.21875,7.25,7.1875,7.1875,0.698594,405200,ROK
1982-02-26,7.21875,7.25,7.15625,7.15625,0.695556,72000,ROK
1982-03-01,7.21875,7.28125,7.125,7.125,0.692518,287200,ROK
1982-03-02,7.1875,7.21875,7.125,7.125,0.692518,124400,ROK
1982-03-03,7.09375,7.09375,7.0625,7.0625,0.686444,262800,ROK
1982-03-04,7.03125,7.09375,6.96875,6.96875,0.677332,157600,ROK
1982-03-05,6.9375,7.0,6.875,6.90625,0.671257,179200,ROK
1982-03-08,6.53125,6.75,6.28125,6.28125,0.610509,782800,ROK
1982-03-09,6.4375,6.59375,6.28125,6.46875,0.628734,776400,ROK
1982-03-10,6.75,6.90625,6.59375,6.8125,0.662145,308000,ROK
