Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1992-02-13,2.0,2.09375,2.0,2.046875,1.66752,18506400,ROP
1992-02-14,2.0625,2.28125,2.0625,2.25,1.832999,3128000,ROP
1992-02-18,2.21875,2.28125,2.0625,2.0625,1.680249,2584800,ROP
1992-02-19,2.09375,2.15625,2.03125,2.15625,1.756624,2454400,ROP
1992-02-20,2.125,2.28125,2.125,2.21875,1.807541,1304000,ROP
1992-02-21,2.21875,2.28125,2.21875,2.28125,1.858458,616800,ROP
1992-02-24,2.21875,2.3125,2.21875,2.3125,1.883915,772800,ROP
1992-02-25,2.265625,2.3125,2.25,2.28125,1.858458,517600,ROP
1992-02-26,2.3125,2.34375,2.25,2.34375,1.909375,851200,ROP
1992-02-27,2.28125,2.4375,2.28125,2.40625,1.960291,555200,ROP
1992-02-28,2.4375,2.59375,2.375,2.53125,2.062124,1108800,ROP
1992-03-02,2.59375,2.609375,2.46875,2.5625,2.087583,873600,ROP
1992-03-03,2.546875,2.5625,2.4375,2.46875,2.011207,512000,ROP
1992-03-04,2.46875,2.53125,2.4375,2.4375,1.985749,163200,ROP
1992-03-05,2.53125,2.53125,2.34375,2.34375,1.909375,707200,ROP
1992-03-06,2.390625,2.4375,2.34375,2.34375,1.909375,765600,ROP
1992-03-09,2.34375,2.4375,2.34375,2.390625,1.947561,766400,ROP
1992-03-10,2.34375,2.4375,2.34375,2.4375,1.985749,93600,ROP
1992-03-11,2.5,2.53125,2.4375,2.453125,1.998478,222400,ROP
1992-03-12,2.4375,2.53125,2.4375,2.4375,1.985749,89600,ROP
1992-03-13,2.4375,2.5625,2.4375,2.53125,2.062124,211200,ROP
1992-03-16,2.5,2.5625,2.5,2.5625,2.087583,94400,ROP
1992-03-17,2.46875,2.5625,2.46875,2.46875,2.011207,150400,ROP
1992-03-18,2.46875,2.46875,2.46875,2.46875,2.011207,52000,ROP
1992-03-19,2.5625,2.5625,2.4375,2.4375,1.985749,68800,ROP
1992-03-20,2.4375,2.53125,2.4375,2.53125,2.062124,124800,ROP
1992-03-23,2.4375,2.515625,2.4375,2.484375,2.023937,314400,ROP
1992-03-24,2.46875,2.515625,2.4375,2.4375,1.985749,437600,ROP
1992-03-25,2.53125,2.53125,2.4375,2.46875,2.011207,79200,ROP
1992-03-26,2.40625,2.421875,2.40625,2.40625,1.960291,47200,ROP
1992-03-27,2.5,2.5,2.4375,2.5,2.036667,79200,ROP
1992-03-30,2.4375,2.5,2.4375,2.46875,2.011207,46400,ROP
1992-03-31,2.4375,2.5,2.4375,2.5,2.036667,107200,ROP
1992-04-01,2.4375,2.5,2.40625,2.4375,1.985749,356000,ROP
1992-04-02,2.5,2.5,2.4375,2.46875,2.011207,51200,ROP
1992-04-03,2.4375,2.5,2.4375,2.46875,2.011207,116800,ROP
1992-04-06,2.4375,2.5,2.4375,2.4375,1.985749,71200,ROP
1992-04-07,2.4375,2.5625,2.4375,2.5,2.036667,116000,ROP
1992-04-08,2.4375,2.5,2.4375,2.5,2.036667,247200,ROP
1992-04-09,2.4375,2.53125,2.4375,2.46875,2.011207,36000,ROP
1992-04-10,2.46875,2.53125,2.46875,2.46875,2.011207,87200,ROP
1992-04-13,2.46875,2.53125,2.46875,2.46875,2.011207,16000,ROP
1992-04-14,2.53125,2.53125,2.46875,2.46875,2.011207,25600,ROP
1992-04-15,2.46875,2.5,2.4375,2.4375,1.985749,84800,ROP
1992-04-16,2.46875,2.5,2.4375,2.4375,1.985749,62400,ROP
1992-04-20,2.40625,2.40625,2.375,2.375,1.93881,59200,ROP
1992-04-21,2.375,2.375,2.375,2.375,1.93881,7200,ROP
1992-04-22,2.375,2.46875,2.375,2.46875,2.015342,7200,ROP
1992-04-23,2.375,2.421875,2.375,2.375,1.93881,179200,ROP
