Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1999-06-16,9.0625,9.3125,8.125,8.875,8.648538,5718100,SBAC
1999-06-17,8.75,8.875,7.75,8.6875,8.465823,542200,SBAC
1999-06-18,8.5625,9.125,8.5625,9.0,8.77035,557600,SBAC
1999-06-21,9.0625,9.75,9.0,9.25,9.013968,218000,SBAC
1999-06-22,9.0625,9.5,9.0,9.0625,8.831253,281400,SBAC
1999-06-23,9.0,9.5,9.0,9.375,9.135781,395200,SBAC
1999-06-24,9.375,9.625,9.0,9.125,8.892157,238100,SBAC
1999-06-25,9.125,9.21875,9.0,9.1875,8.953062,172400,SBAC
1999-06-28,9.0,9.375,9.0,9.25,9.013968,81400,SBAC
1999-06-29,9.375,10.25,9.25,9.375,9.135781,321500,SBAC
1999-06-30,9.375,10.125,9.375,9.6875,9.440305,429900,SBAC
1999-07-01,9.8125,10.375,9.5,9.9375,9.683927,363500,SBAC
1999-07-02,10.125,10.875,10.125,10.875,10.597504,460800,SBAC
1999-07-06,10.875,11.0,10.5,10.6875,10.414787,565900,SBAC
1999-07-07,10.6875,11.125,10.375,10.875,10.597504,270500,SBAC
1999-07-08,11.75,13.0,11.375,12.25,11.937419,1793800,SBAC
1999-07-09,12.25,13.75,12.1875,13.5,13.155521,1738400,SBAC
1999-07-12,14.0,15.375,13.625,14.8125,14.434531,5465000,SBAC
1999-07-13,15.3125,15.3125,12.625,13.375,13.033714,2568600,SBAC
1999-07-14,13.75,13.75,11.875,13.375,13.033714,970700,SBAC
1999-07-15,13.8125,14.0,12.75,13.125,12.790092,572700,SBAC
1999-07-16,13.375,14.25,13.1875,14.0,13.642764,793100,SBAC
1999-07-19,14.25,14.375,13.5,14.0,13.642764,336500,SBAC
1999-07-20,14.0,14.0625,12.5,12.9375,12.607377,324300,SBAC
1999-07-21,13.0,13.3125,12.5,12.5,12.181038,237600,SBAC
1999-07-22,12.75,12.75,11.875,12.0,11.693798,165100,SBAC
1999-07-23,12.125,12.25,11.0,11.5,11.206556,178500,SBAC
1999-07-26,11.5,11.5,9.75,10.375,10.110265,363400,SBAC
1999-07-27,10.40625,10.875,9.875,10.375,10.110265,312600,SBAC
1999-07-28,10.5625,11.875,10.25,11.25,10.962935,176700,SBAC
1999-07-29,11.0,11.75,10.5625,11.375,11.084748,165400,SBAC
1999-07-30,11.375,12.0625,10.5,11.125,10.841125,237500,SBAC
1999-08-02,11.5,13.25,10.875,11.25,10.962935,503900,SBAC
1999-08-03,11.75,12.5,11.625,12.125,11.815608,265300,SBAC
1999-08-04,12.0,12.0625,11.25,11.5,11.206556,186900,SBAC
1999-08-05,11.375,11.625,10.25,11.625,11.328366,188600,SBAC
1999-08-06,11.5,11.5,10.5,11.0,10.719314,77400,SBAC
1999-08-09,11.0625,11.4375,9.875,10.0,9.744831,105900,SBAC
1999-08-10,9.875,10.25,9.0625,9.15625,8.922611,369700,SBAC
1999-08-11,9.5,10.0,9.125,9.875,9.623021,351000,SBAC
1999-08-12,10.4375,11.5,10.0,10.9375,10.658409,413900,SBAC
1999-08-13,11.375,11.625,10.625,11.0,10.719314,275600,SBAC
1999-08-16,11.25,11.25,10.75,10.875,10.597504,98900,SBAC
1999-08-17,11.0,11.5,10.875,11.5,11.206556,149100,SBAC
1999-08-18,11.5,11.625,10.9375,10.9375,10.658409,100300,SBAC
1999-08-19,10.96875,11.3125,10.75,11.125,10.841125,39200,SBAC
1999-08-20,11.25,11.375,11.0,11.25,10.962935,42400,SBAC
