Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1981-12-31,3.703581,3.741763,3.6654,3.6654,0.307376,220985,SO
1982-01-04,3.703581,3.741763,3.6654,3.741763,0.313779,365035,SO
1982-01-05,3.818125,3.932669,3.6654,3.703581,0.310577,666558,SO
1982-01-06,3.703581,3.741763,3.6654,3.703581,0.310577,500900,SO
1982-01-07,3.703581,3.703581,3.6654,3.6654,0.307376,171550,SO
1982-01-08,3.703581,3.741763,3.6654,3.741763,0.313779,261581,SO
1982-01-11,3.741763,3.741763,3.703581,3.741763,0.313779,386315,SO
1982-01-12,3.703581,3.703581,3.6654,3.6654,0.307376,311344,SO
1982-01-13,3.703581,3.741763,3.627219,3.627219,0.304174,436733,SO
1982-01-14,3.6654,3.6654,3.627219,3.627219,0.304174,189556,SO
1982-01-15,3.6654,3.703581,3.627219,3.703581,0.310577,271403,SO
1982-01-18,3.703581,3.741763,3.6654,3.703581,0.310577,391226,SO
1982-01-19,3.703581,3.741763,3.6654,3.703581,0.310577,282207,SO
1982-01-20,3.703581,3.703581,3.6654,3.6654,0.307376,357833,SO
1982-01-21,3.703581,3.741763,3.6654,3.741763,0.313779,941889,SO
1982-01-22,3.741763,3.779944,3.6654,3.741763,0.313779,422982,SO
1982-01-25,3.741763,3.779944,3.703581,3.741763,0.313779,315600,SO
1982-01-26,3.589038,3.627219,3.550856,3.627219,0.314574,642658,SO
1982-01-27,3.589038,3.627219,3.550856,3.550856,0.307951,1529219,SO
1982-01-28,3.512675,3.6654,3.35995,3.627219,0.314574,1475201,SO
1982-01-29,3.6654,3.703581,3.627219,3.703581,0.321197,331969,SO
1982-02-01,3.6654,3.703581,3.589038,3.589038,0.311263,311017,SO
1982-02-02,3.627219,3.6654,3.589038,3.627219,0.314574,300213,SO
1982-02-03,3.627219,3.6654,3.589038,3.627219,0.314574,252742,SO
1982-02-04,3.627219,3.627219,3.589038,3.627219,0.314574,241283,SO
1982-02-05,3.627219,3.6654,3.589038,3.6654,0.317885,215092,SO
1982-02-08,3.627219,3.6654,3.589038,3.589038,0.311263,295629,SO
1982-02-09,3.589038,3.627219,3.550856,3.589038,0.311263,223277,SO
1982-02-10,3.627219,3.627219,3.589038,3.589038,0.311263,171878,SO
1982-02-11,3.589038,3.627219,3.550856,3.589038,0.311263,318219,SO
1982-02-12,3.589038,3.627219,3.550856,3.589038,0.311263,140449,SO
1982-02-16,3.550856,3.589038,3.474494,3.550856,0.307951,382714,SO
1982-02-17,3.589038,3.589038,3.550856,3.550856,0.307951,218039,SO
1982-02-18,3.550856,3.589038,3.512675,3.550856,0.307951,1139303,SO
1982-02-19,3.550856,3.550856,3.512675,3.550856,0.307951,320183,SO
1982-02-22,3.550856,3.589038,3.512675,3.512675,0.30464,428221,SO
1982-02-23,3.550856,3.589038,3.512675,3.550856,0.307951,576199,SO
1982-02-24,3.627219,3.6654,3.550856,3.6654,0.317885,1475201,SO
1982-02-25,3.6654,3.703581,3.627219,3.6654,0.317885,519561,SO
1982-02-26,3.6654,3.703581,3.627219,3.703581,0.321197,217712,SO
1982-03-01,3.703581,3.703581,3.6654,3.703581,0.321197,234736,SO
1982-03-02,3.741763,3.779944,3.703581,3.741763,0.324508,697332,SO
1982-03-03,3.741763,3.779944,3.703581,3.741763,0.324508,506138,SO
1982-03-04,3.741763,3.779944,3.6654,3.779944,0.327819,1009003,SO
1982-03-05,3.779944,3.779944,3.741763,3.779944,0.327819,839745,SO
1982-03-08,3.779944,3.818125,3.703581,3.741763,0.324508,484531,SO
1982-03-09,3.779944,3.818125,3.741763,3.779944,0.327819,619414,SO
1982-03-10,3.779944,3.818125,3.741763,3.779944,0.327819,402030,SO
1982-03-11,3.741763,3.779944,3.703581,3.703581,0.321197,405304,SO
1982-03-12,3.741763,3.741763,3.703581,3.741763,0.324508,299885,SO
1982-03-15,3.703581,3.741763,3.6654,3.741763,0.324508,237355,SO
1982-03-16,3.741763,3.779944,3.703581,3.741763,0.324508,502865,SO
1982-03-17,3.741763,3.779944,3.703581,3.779944,0.327819,339826,SO
1982-03-18,3.741763,3.779944,3.703581,3.741763,0.324508,864953,SO
1982-03-19,3.741763,3.779944,3.703581,3.779944,0.327819,315273,SO
1982-03-22,3.779944,3.818125,3.741763,3.818125,0.331131,1340972,SO
1982-03-23,3.818125,3.856306,3.741763,3.856306,0.334442,505811,SO
1982-03-24,3.856306,3.856306,3.818125,3.818125,0.331131,946145,SO
1982-03-25,3.818125,3.856306,3.779944,3.856306,0.334442,1236864,SO
1982-03-26,3.856306,3.856306,3.818125,3.818125,0.331131,241611,SO
1982-03-29,3.856306,3.894488,3.779944,3.894488,0.337753,375839,SO
1982-03-30,3.932669,3.97085,3.856306,3.97085,0.344376,1638893,SO
1982-03-31,4.009031,4.047213,3.932669,4.009031,0.347687,1935178,SO
1982-04-01,4.047213,4.085394,3.97085,4.047213,0.350998,2327058,SO
1982-04-02,4.085394,4.085394,4.047213,4.047213,0.350998,753970,SO
1982-04-05,4.085394,4.085394,4.047213,4.085394,0.35431,439352,SO
1982-04-06,4.047213,4.085394,4.009031,4.009031,0.347687,749714,SO
1982-04-07,4.047213,4.047213,4.009031,4.047213,0.350998,304469,SO
1982-04-08,4.085394,4.085394,4.047213,4.047213,0.350998,593223,SO
1982-04-12,4.047213,4.085394,4.009031,4.009031,0.347687,403012,SO
1982-04-13,4.085394,4.123575,4.009031,4.047213,0.350998,893109,SO
1982-04-14,4.085394,4.123575,4.009031,4.047213,0.350998,701588,SO
1982-04-15,4.085394,4.123575,4.009031,4.085394,0.35431,647242,SO
1982-04-16,4.085394,4.123575,4.009031,4.047213,0.350998,505484,SO
1982-04-19,4.047213,4.085394,4.009031,4.085394,0.35431,478965,SO
1982-04-20,4.047213,4.085394,4.009031,4.047213,0.350998,655426,SO
1982-04-21,4.047213,4.085394,4.009031,4.047213,0.350998,552300,SO
1982-04-22,4.085394,4.123575,4.047213,4.085394,0.35431,508103,SO
1982-04-23,4.085394,4.123575,4.047213,4.123575,0.357621,1317728,SO
1982-04-26,4.085394,4.123575,4.047213,4.123575,0.357621,1468325,SO
1982-04-27,4.009031,4.047213,3.932669,3.97085,0.355026,2334916,SO
1982-04-28,3.932669,3.97085,3.894488,3.894488,0.348199,252742,SO
1982-04-29,3.932669,3.932669,3.894488,3.894488,0.348199,234081,SO
1982-04-30,3.97085,4.009031,3.894488,3.932669,0.351613,1207399,SO
1982-05-03,3.932669,3.932669,3.894488,3.932669,0.351613,664266,SO
1982-05-04,3.932669,3.97085,3.894488,3.932669,0.351613,283844,SO
1982-05-05,3.932669,3.932669,3.894488,3.894488,0.348199,212473,SO
1982-05-06,3.894488,3.97085,3.818125,3.932669,0.351613,276314,SO
1982-05-07,3.97085,4.009031,3.932669,3.97085,0.355026,499263,SO
1982-05-10,3.97085,3.97085,3.932669,3.932669,0.351613,259290,SO
1982-05-11,3.932669,3.97085,3.894488,3.932669,0.351613,265510,SO
1982-05-12,3.932669,3.97085,3.894488,3.932669,0.351613,489442,SO
1982-05-13,3.894488,3.932669,3.894488,3.932669,0.351613,280242,SO
1982-05-14,3.932669,3.97085,3.894488,3.894488,0.348199,263873,SO
1982-05-17,3.894488,3.932669,3.856306,3.856306,0.344785,441316,SO
1982-05-18,3.856306,3.894488,3.818125,3.856306,0.344785,204944,SO
1982-05-19,3.856306,3.894488,3.818125,3.856306,0.344785,525127,SO
1982-05-20,3.779944,3.856306,3.6654,3.856306,0.344785,576199,SO
1982-05-21,3.894488,3.932669,3.856306,3.856306,0.344785,477001,SO
1982-05-24,3.894488,3.932669,3.856306,3.894488,0.348199,320183,SO
1982-05-25,3.894488,3.932669,3.856306,3.894488,0.348199,575544,SO
1982-05-26,3.894488,3.932669,3.856306,3.856306,0.344785,218039,SO
1982-05-27,3.894488,3.894488,3.856306,3.856306,0.344785,343755,SO
1982-05-28,3.856306,3.894488,3.818125,3.818125,0.341372,481585,SO
1982-06-01,3.818125,3.856306,3.779944,3.856306,0.344785,401375,SO
1982-06-02,3.856306,3.856306,3.818125,3.818125,0.341372,303487,SO
1982-06-03,3.818125,3.856306,3.779944,3.779944,0.337958,276314,SO
1982-06-04,3.779944,3.818125,3.703581,3.703581,0.331131,400065,SO
1982-06-07,3.741763,3.741763,3.703581,3.703581,0.331131,270421,SO
1982-06-08,3.741763,3.741763,3.703581,3.703581,0.331131,305451,SO
1982-06-09,3.741763,3.741763,3.703581,3.703581,0.331131,745785,SO
1982-06-10,3.703581,3.741763,3.6654,3.741763,0.334544,330005,SO
1982-06-11,3.779944,3.779944,3.741763,3.779944,0.337958,238664,SO
1982-06-14,3.779944,3.818125,3.741763,3.779944,0.337958,295629,SO
1982-06-15,3.779944,3.779944,3.741763,3.741763,0.334544,248158,SO
1982-06-16,3.741763,3.779944,3.703581,3.741763,0.334544,251432,SO
1982-06-17,3.703581,3.741763,3.6654,3.703581,0.331131,232117,SO
1982-06-18,3.703581,3.703581,3.6654,3.703581,0.331131,595842,SO
1982-06-21,3.6654,3.703581,3.627219,3.6654,0.327717,816173,SO
1982-06-22,3.703581,3.741763,3.627219,3.741763,0.334544,1013259,SO
1982-06-23,3.703581,3.741763,3.6654,3.741763,0.334544,415780,SO
1982-06-24,3.741763,3.741763,3.703581,3.703581,0.331131,206580,SO
1982-06-25,3.741763,3.741763,3.703581,3.703581,0.331131,145687,SO
1982-06-28,3.741763,3.741763,3.703581,3.703581,0.331131,203634,SO
1982-06-29,3.741763,3.779944,3.703581,3.779944,0.337958,1382223,SO
1982-06-30,3.818125,3.818125,3.779944,3.818125,0.341372,292683,SO
1982-07-01,3.779944,3.818125,3.741763,3.818125,0.341372,621051,SO
1982-07-02,3.779944,3.818125,3.741763,3.818125,0.341372,314945,SO
1982-07-06,3.818125,3.818125,3.779944,3.818125,0.341372,217057,SO
1982-07-07,3.779944,3.818125,3.741763,3.779944,0.337958,286135,SO
