Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1992-06-01,1.8125,2.0625,1.8125,2.0625,1.541006,3012000,STE
1992-06-02,2.0625,2.125,2.0,2.09375,1.564354,1220800,STE
1992-06-03,2.125,2.4375,2.0625,2.4375,1.821188,1423200,STE
1992-06-04,2.5625,2.5625,2.375,2.4375,1.821188,883200,STE
1992-06-05,2.4375,2.4375,2.125,2.3125,1.727794,413600,STE
1992-06-08,2.3125,2.3125,2.1875,2.3125,1.727794,307200,STE
1992-06-09,2.3125,2.3125,1.9375,2.0,1.494308,175200,STE
1992-06-10,2.0,2.1875,2.0,2.1875,1.6344,70400,STE
1992-06-11,2.1875,2.1875,2.0625,2.1875,1.6344,120800,STE
1992-06-12,2.25,2.3125,2.1875,2.3125,1.727794,151600,STE
1992-06-15,2.3125,2.375,2.25,2.375,1.774491,238800,STE
1992-06-16,2.375,2.375,2.21875,2.3125,1.727794,165200,STE
1992-06-17,2.125,2.25,1.9375,2.0,1.494308,322800,STE
1992-06-18,2.0625,2.125,1.9375,1.96875,1.47096,112000,STE
1992-06-19,2.0625,2.125,2.0625,2.125,1.587703,26800,STE
1992-06-22,2.125,2.125,1.9375,2.0,1.494308,94800,STE
1992-06-23,2.125,2.125,2.0625,2.125,1.587703,63200,STE
1992-06-24,2.125,2.125,2.0,2.0,1.494308,549600,STE
1992-06-25,2.1875,2.1875,2.0625,2.125,1.587703,110800,STE
1992-06-26,2.1875,2.1875,2.0625,2.1875,1.6344,20000,STE
1992-06-29,2.1875,2.3125,2.125,2.3125,1.727794,59600,STE
1992-06-30,2.3125,2.3125,2.21875,2.3125,1.727794,26800,STE
1992-07-01,2.3125,2.4375,2.25,2.3125,1.727794,644800,STE
1992-07-02,2.4375,2.4375,1.96875,2.0625,1.541006,1184400,STE
1992-07-06,2.125,2.125,2.0,2.125,1.587703,66400,STE
1992-07-07,2.125,2.125,1.9375,1.9375,1.447611,70000,STE
1992-07-08,2.0,2.0,1.875,2.0,1.494308,523200,STE
1992-07-09,2.0625,2.0625,2.0,2.0625,1.541006,15600,STE
1992-07-10,2.0625,2.1875,2.0625,2.1875,1.6344,27200,STE
1992-07-13,2.1875,2.1875,2.125,2.1875,1.6344,42000,STE
1992-07-14,2.125,2.1875,2.0625,2.1875,1.6344,122000,STE
1992-07-15,2.1875,2.375,2.125,2.1875,1.6344,91200,STE
1992-07-16,2.375,2.375,2.1875,2.1875,1.6344,23600,STE
1992-07-17,2.1875,2.375,2.1875,2.3125,1.727794,44000,STE
1992-07-20,2.25,2.3125,2.1875,2.3125,1.727794,47200,STE
1992-07-21,2.375,2.5,2.25,2.4375,1.821188,382800,STE
1992-07-22,2.4375,2.4375,2.25,2.25,1.681098,113200,STE
1992-07-23,2.1875,2.3125,2.1875,2.21875,1.657749,56400,STE
1992-07-24,2.25,2.25,2.125,2.25,1.681098,82000,STE
1992-07-27,2.25,2.3125,2.1875,2.1875,1.6344,38800,STE
1992-07-28,2.25,2.4375,2.25,2.4375,1.821188,144000,STE
1992-07-29,2.4375,2.5625,2.3125,2.5,1.867886,251200,STE
1992-07-30,2.5625,2.625,2.375,2.5625,1.914583,152000,STE
1992-07-31,2.625,2.625,2.5,2.5625,1.914583,216800,STE
1992-08-03,2.5625,2.625,2.5,2.625,1.96128,206400,STE
1992-08-04,2.5,2.625,2.5,2.5,1.867886,29600,STE
1992-08-05,2.5,2.75,2.5,2.6875,2.007978,188000,STE
1992-08-06,2.6875,2.6875,2.625,2.625,1.96128,86000,STE
1992-08-07,2.6875,2.75,2.5625,2.65625,1.984629,72400,STE
1992-08-10,2.6875,2.6875,2.6875,2.6875,2.007978,10400,STE
1992-08-11,2.6875,2.75,2.5625,2.625,1.96128,67600,STE
1992-08-12,2.6875,2.6875,2.5625,2.5625,1.914583,65200,STE
1992-08-13,2.5625,2.625,2.5625,2.625,1.96128,36400,STE
1992-08-14,2.625,2.625,2.5625,2.5625,1.914583,6400,STE
1992-08-17,2.625,2.6875,2.5625,2.6875,2.007978,48400,STE
1992-08-18,2.6875,2.75,2.625,2.75,2.054674,44800,STE
1992-08-19,2.75,2.75,2.625,2.75,2.054674,198800,STE
1992-08-20,2.8125,2.8125,2.6875,2.6875,2.007978,78800,STE
1992-08-21,2.75,2.75,2.5,2.625,1.96128,215600,STE
