Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1975-11-17,0.0,8.71875,8.71875,8.71875,3.16702,53200,TRV
1975-11-18,0.0,8.96875,8.96875,8.96875,3.257829,106800,TRV
1975-11-19,0.0,8.5625,8.5625,8.5625,3.110261,170400,TRV
1975-11-20,0.0,8.4375,8.4375,8.4375,3.064858,61200,TRV
1975-11-21,0.0,8.4375,8.4375,8.4375,3.064858,64000,TRV
1975-11-24,0.0,8.40625,8.40625,8.40625,3.053506,88400,TRV
1975-11-25,0.0,8.375,8.375,8.375,3.042155,75200,TRV
1975-11-26,0.0,8.4375,8.4375,8.4375,3.064858,89200,TRV
1975-11-28,0.0,8.5,8.5,8.5,3.087559,95600,TRV
1975-12-01,0.0,8.25,8.25,8.25,2.996749,102400,TRV
1975-12-02,0.0,7.875,7.875,7.875,2.860533,78400,TRV
1975-12-03,0.0,7.5,7.5,7.5,2.724316,86400,TRV
1975-12-04,0.0,7.5,7.5,7.5,2.724316,48800,TRV
1975-12-05,0.0,7.4375,7.4375,7.4375,2.701615,62800,TRV
1975-12-08,0.0,7.4375,7.4375,7.4375,2.701615,87600,TRV
1975-12-09,0.0,7.4375,7.4375,7.4375,2.701615,158800,TRV
1975-12-10,0.0,7.46875,7.46875,7.46875,2.712968,99600,TRV
1975-12-11,0.0,7.5,7.5,7.5,2.724316,62400,TRV
1975-12-12,0.0,7.875,7.875,7.875,2.860533,116400,TRV
1975-12-15,0.0,7.84375,7.84375,7.84375,2.849181,170800,TRV
1975-12-16,0.0,7.96875,7.96875,7.96875,2.894587,110400,TRV
1975-12-17,0.0,8.03125,8.03125,8.03125,2.917289,92800,TRV
1975-12-18,0.0,8.0625,8.0625,8.0625,2.928642,81200,TRV
1975-12-19,0.0,8.0,8.0,8.0,2.905937,130800,TRV
1975-12-22,0.0,8.0,8.0,8.0,2.905937,67200,TRV
1975-12-23,0.0,8.03125,8.03125,8.03125,2.917289,59600,TRV
1975-12-24,0.0,7.8125,7.8125,7.8125,2.83783,135200,TRV
1975-12-26,0.0,7.84375,7.84375,7.84375,2.849181,46800,TRV
1975-12-29,0.0,7.75,7.75,7.75,2.815127,52800,TRV
1975-12-30,0.0,7.71875,7.71875,7.71875,2.803776,54000,TRV
1975-12-31,0.0,7.71875,7.71875,7.71875,2.803776,34800,TRV
1976-01-02,0.0,7.875,7.875,7.875,2.860533,71600,TRV
1976-01-05,0.0,7.96875,7.96875,7.96875,2.894587,104400,TRV
1976-01-06,0.0,8.3125,8.3125,8.3125,3.019452,132800,TRV
1976-01-07,0.0,8.125,8.125,8.125,2.951344,120000,TRV
1976-01-08,0.0,8.125,8.125,8.125,2.951344,85200,TRV
1976-01-09,0.0,8.125,8.125,8.125,2.951344,59600,TRV
1976-01-12,0.0,8.125,8.125,8.125,2.951344,48800,TRV
1976-01-13,0.0,8.03125,8.03125,8.03125,2.917289,112400,TRV
1976-01-14,0.0,8.125,8.125,8.125,2.951344,90000,TRV
1976-01-15,0.0,8.0,8.0,8.0,2.905937,174000,TRV
1976-01-16,0.0,8.0,8.0,8.0,2.905937,14400,TRV
1976-01-19,0.0,8.03125,8.03125,8.03125,2.917289,56000,TRV
1976-01-20,0.0,8.0625,8.0625,8.0625,2.928642,59200,TRV
1976-01-21,0.0,8.0,8.0,8.0,2.905937,62000,TRV
1976-01-22,0.0,7.9375,7.9375,7.9375,2.883235,52800,TRV
1976-01-23,0.0,7.875,7.875,7.875,2.860533,42800,TRV
1976-01-26,0.0,7.53125,7.53125,7.53125,2.735668,84400,TRV
1976-01-27,0.0,7.5,7.5,7.5,2.724316,272000,TRV
1976-01-28,0.0,7.6875,7.6875,7.6875,2.792425,212000,TRV
1976-01-29,0.0,8.3125,8.1875,8.1875,2.974046,158400,TRV
1976-01-30,0.0,8.125,8.0,8.0,2.905937,304400,TRV
1976-02-02,0.0,8.25,8.125,8.125,2.951344,73600,TRV
1976-02-03,0.0,8.28125,8.15625,8.15625,2.962695,66800,TRV
1976-02-04,0.0,8.375,8.25,8.25,2.996749,184000,TRV
1976-02-05,0.0,8.3125,8.1875,8.1875,2.974046,64800,TRV
1976-02-06,0.0,8.15625,8.03125,8.03125,2.917289,72000,TRV
1976-02-09,0.0,8.25,8.125,8.125,2.951344,42800,TRV
1976-02-10,0.0,8.15625,8.03125,8.03125,2.917289,91200,TRV
1976-02-11,0.0,8.1875,8.0625,8.0625,2.928642,28800,TRV
1976-02-12,0.0,8.25,8.125,8.125,2.951344,131200,TRV
1976-02-13,0.0,8.25,8.125,8.125,2.951344,20400,TRV
1976-02-17,0.0,8.1875,8.0625,8.0625,2.928642,36000,TRV
1976-02-18,0.0,8.15625,8.03125,8.03125,2.917289,79600,TRV
1976-02-19,0.0,7.96875,7.84375,7.84375,2.849181,159600,TRV
1976-02-20,0.0,8.0625,7.9375,7.9375,2.883235,388000,TRV
1976-02-23,0.0,8.0625,7.9375,7.9375,2.883235,223600,TRV
1976-02-24,0.0,8.1875,8.0625,8.0625,2.928642,114800,TRV
1976-02-25,0.0,8.25,8.125,8.125,2.951344,96400,TRV
1976-02-26,0.0,8.125,8.0,8.0,2.905937,248400,TRV
1976-02-27,0.0,7.96875,7.84375,7.84375,2.849181,124000,TRV
1976-03-01,0.0,7.9375,7.8125,7.8125,2.83783,76000,TRV
1976-03-02,0.0,7.96875,7.84375,7.84375,2.849181,70800,TRV
1976-03-03,0.0,7.84375,7.71875,7.71875,2.803776,44400,TRV
1976-03-04,0.0,7.84375,7.71875,7.71875,2.803776,57200,TRV
1976-03-05,0.0,7.8125,7.6875,7.6875,2.792425,45200,TRV
1976-03-08,0.0,7.90625,7.78125,7.78125,2.826479,27600,TRV
1976-03-09,0.0,8.0625,7.9375,7.9375,2.883235,37200,TRV
1976-03-10,0.0,8.15625,8.03125,8.03125,2.917289,85200,TRV
1976-03-11,0.0,8.4375,8.3125,8.3125,3.019452,150800,TRV
1976-03-12,0.0,8.4375,8.3125,8.3125,3.019452,92400,TRV
1976-03-15,0.0,8.25,8.125,8.125,2.951344,89200,TRV
1976-03-16,0.0,8.3125,8.1875,8.1875,2.974046,50800,TRV
1976-03-17,0.0,8.3125,8.1875,8.1875,2.974046,86400,TRV
1976-03-18,0.0,8.3125,8.1875,8.1875,2.974046,93600,TRV
1976-03-19,0.0,8.3125,8.1875,8.1875,2.974046,26800,TRV
1976-03-22,0.0,8.3125,8.1875,8.1875,2.974046,28800,TRV
1976-03-23,0.0,8.59375,8.46875,8.46875,3.07621,210000,TRV
1976-03-24,0.0,8.65625,8.53125,8.53125,3.09891,137600,TRV
1976-03-25,0.0,8.78125,8.65625,8.65625,3.144315,124000,TRV
1976-03-26,0.0,8.625,8.5,8.5,3.087559,70000,TRV
1976-03-29,0.0,8.5,8.375,8.375,3.042155,33600,TRV
1976-03-30,0.0,8.4375,8.3125,8.3125,3.019452,41200,TRV
1976-03-31,0.0,8.4375,8.3125,8.3125,3.019452,18800,TRV
1976-04-01,0.0,8.4375,8.3125,8.3125,3.019452,30800,TRV
