Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-01-02,3.010041,3.052066,3.010041,3.015294,1.078456,1165973,UNP
1980-01-03,2.994281,2.994281,2.947003,2.973269,1.063425,1453896,UNP
1980-01-04,2.978522,3.0258,2.978522,3.0258,1.082214,1382510,UNP
1980-01-07,3.0258,3.052066,3.010041,3.010041,1.076577,1087448,UNP
1980-01-08,3.010041,3.036306,2.899725,2.899725,1.037122,1213563,UNP
1980-01-09,2.899725,2.931244,2.815675,2.878713,1.029607,9965497,UNP
1980-01-10,2.878713,2.883966,2.8577,2.8577,1.022091,5922665,UNP
1980-01-11,2.8577,2.873459,2.847194,2.862953,1.02397,5394408,UNP
1980-01-14,2.862953,2.931244,2.862953,2.920738,1.044636,4000000,UNP
1980-01-15,2.94175,3.015294,2.94175,3.015294,1.078456,1886972,UNP
1980-01-16,3.0258,3.062572,3.0258,3.041559,1.08785,5077930,UNP
1980-01-17,3.041559,3.052066,3.0258,3.041559,1.08785,1208804,UNP
1980-01-18,3.041559,3.099344,3.041559,3.083584,1.102881,1123141,UNP
1980-01-21,3.115103,3.167634,3.115103,3.167634,1.132943,1487210,UNP
1980-01-22,3.167634,3.225419,3.157128,3.183394,1.138579,1380131,UNP
1980-01-23,3.183394,3.204406,3.162381,3.178141,1.1367,899465,UNP
1980-01-24,3.293709,3.340988,3.293709,3.298963,1.179915,2329566,UNP
1980-01-25,3.288456,3.288456,3.246431,3.272697,1.170519,863772,UNP
1980-01-28,3.272697,3.314722,3.256938,3.288456,1.176156,1727543,UNP
1980-01-29,3.288456,3.335734,3.288456,3.288456,1.176156,949435,UNP
1980-01-30,3.288456,3.298963,3.27795,3.288456,1.176156,701963,UNP
1980-01-31,3.288456,3.335734,3.256938,3.256938,1.164883,987507,UNP
1980-02-01,3.256938,3.293709,3.256938,3.293709,1.178035,623438,UNP
1980-02-04,3.293709,3.319975,2.968016,3.288456,1.176156,759072,UNP
1980-02-05,3.309469,3.456556,3.309469,3.456556,1.236279,1955979,UNP
1980-02-06,3.519594,3.761238,3.519594,3.635163,1.30016,3205235,UNP
1980-02-07,3.635163,3.897819,3.635163,3.8663,1.382829,8009518,UNP
1980-02-08,3.8663,4.044906,3.740225,4.0344,1.442952,3726353,UNP
1980-02-11,4.0344,4.11845,3.95035,3.966109,1.418527,4266508,UNP
1980-02-12,3.960856,3.960856,3.855794,3.939844,1.409132,3612136,UNP
1980-02-13,3.939844,3.960856,3.897819,3.95035,1.41289,2558001,UNP
1980-02-14,3.945097,3.945097,3.761238,3.803263,1.360283,2776919,UNP
1980-02-15,3.803263,3.861047,3.761238,3.855794,1.379071,3792980,UNP
1980-02-19,3.855794,3.924084,3.850541,3.924084,1.403496,3395598,UNP
1980-02-20,3.924084,3.981869,3.913578,3.981869,1.424163,1641880,UNP
1980-02-21,3.981869,4.107944,3.966109,4.044906,1.446708,2108269,UNP
1980-02-22,4.044906,4.244525,3.981869,4.149969,1.484285,3788221,UNP
1980-02-25,4.149969,4.186741,4.023894,4.0344,1.442952,1284949,UNP
1980-02-26,4.0344,4.097438,4.002881,4.081678,1.459861,1701368,UNP
1980-02-27,4.081678,4.128956,3.934591,3.971363,1.420406,1665675,UNP
1980-02-28,3.971363,4.039653,3.897819,3.918831,1.401617,2041642,UNP
1980-02-29,3.929338,4.023894,3.929338,3.960856,1.416647,1901249,UNP
1980-03-03,3.960856,3.987122,3.929338,3.929338,1.405375,1408685,UNP
1980-03-04,3.929338,3.960856,3.913578,3.960856,1.416647,1513385,UNP
1980-03-05,3.960856,4.029147,3.939844,3.95035,1.41289,1308745,UNP
1980-03-06,3.939844,3.939844,3.813769,3.819022,1.376167,1779893,UNP
1980-03-07,3.813769,3.813769,3.677188,3.708706,1.336415,2258180,UNP
1980-03-10,3.708706,3.729719,3.629909,3.677188,1.325058,1758477,UNP
1980-03-11,3.677188,3.687694,3.535353,3.582631,1.290985,2493754,UNP
1980-03-12,3.582631,3.603644,3.551113,3.603644,1.298557,1891731,UNP
1980-03-13,3.603644,3.635163,3.572125,3.603644,1.298557,920880,UNP
1980-03-14,3.593138,3.593138,3.545859,3.551113,1.279628,1401547,UNP
1980-03-17,3.551113,3.551113,3.383013,3.393519,1.222839,1146936,UNP
1980-03-18,3.393519,3.425038,3.346241,3.425038,1.234197,1613325,UNP
1980-03-19,3.467063,3.61415,3.467063,3.545859,1.277734,2260559,UNP
1980-03-20,3.545859,3.556366,3.435544,3.482822,1.255019,2629387,UNP
1980-03-21,3.456556,3.456556,3.419784,3.425038,1.234197,1180250,UNP
1980-03-24,3.425038,3.435544,3.325228,3.346241,1.205804,2419988,UNP
1980-03-25,3.346241,3.414531,3.319975,3.393519,1.222839,1932183,UNP
1980-03-26,3.393519,3.430291,3.377759,3.377759,1.21716,797145,UNP
1980-03-27,3.377759,3.404025,3.27795,3.351494,1.207695,1656157,UNP
1980-03-28,3.351494,3.472316,3.351494,3.44605,1.241768,1213563,UNP
1980-03-31,3.477569,3.545859,3.477569,3.524847,1.270162,920880,UNP
1980-04-01,3.514341,3.514341,3.435544,3.467063,1.24934,2017847,UNP
1980-04-02,3.467063,3.5301,3.456556,3.477569,1.253126,1323022,UNP
1980-04-03,3.477569,3.482822,3.383013,3.425038,1.234197,1353956,UNP
1980-04-07,3.414531,3.414531,3.340988,3.351494,1.207695,1149316,UNP
1980-04-08,3.351494,3.372506,3.309469,3.356747,1.209589,1541939,UNP
1980-04-09,3.356747,3.404025,3.340988,3.404025,1.226625,1344438,UNP
1980-04-10,3.404025,3.414531,3.362,3.372506,1.215267,842356,UNP
1980-04-11,3.372506,3.393519,3.325228,3.346241,1.205804,663891,UNP
1980-04-14,3.335734,3.335734,3.283203,3.298963,1.188767,433076,UNP
1980-04-15,3.298963,3.351494,3.298963,3.309469,1.192551,628198,UNP
1980-04-16,3.309469,3.356747,3.251684,3.256938,1.173623,1368233,UNP
1980-04-17,3.220166,3.220166,3.0258,3.083584,1.111156,6688876,UNP
1980-04-18,3.083584,3.151875,3.062572,3.067825,1.105476,1325402,UNP
1980-04-21,3.067825,3.088838,2.994281,2.994281,1.078975,694825,UNP
1980-04-22,3.046813,3.204406,3.046813,3.204406,1.154693,1299227,UNP
1980-04-23,3.214913,3.267444,3.214913,3.230672,1.164158,1123141,UNP
1980-04-24,3.172888,3.172888,3.067825,3.136116,1.130085,2253421,UNP
1980-04-25,3.136116,3.246431,3.046813,3.225419,1.162266,2051160,UNP
1980-04-28,3.225419,3.230672,3.130863,3.136116,1.130085,1303986,UNP
1980-04-29,3.136116,3.162381,3.120356,3.136116,1.130085,561570,UNP
