Date,Open,High,Low,Close,Adj Close,Volume
1982-01-04,5.484461,5.541590,5.398766,5.513026,1.700055,321198
1982-01-05,5.398766,5.513026,5.255941,5.427331,1.673629,442414
1982-01-06,5.170247,5.341636,4.970293,5.113117,1.576735,565817
1982-01-07,5.027422,5.113117,4.913163,4.998857,1.541500,508929
1982-01-08,5.027422,5.084552,4.970293,5.027422,1.550309,340453
1982-01-11,4.856033,5.084552,4.627514,4.713208,1.453415,521182
1982-01-12,4.741773,4.827468,4.656079,4.827468,1.488649,473483
1982-01-13,4.713208,4.856033,4.570384,4.627514,1.426988,313322
1982-01-14,4.713208,4.856033,4.570384,4.770338,1.471031,260810
1982-01-15,4.856033,4.913163,4.798903,4.913163,1.515074,185980
1982-01-18,4.856033,4.913163,4.798903,4.884598,1.506266,208735
1982-01-19,4.627514,4.856033,4.398995,4.484689,1.382946,1352184
1982-01-20,4.541819,4.627514,4.456124,4.627514,1.426988,477422
1982-01-21,4.627514,4.656079,4.570384,4.598949,1.418180,393402
1982-01-22,4.598949,4.656079,4.541819,4.598949,1.418180,238054
1982-01-25,4.598949,4.656079,4.541819,4.570384,1.409371,223614
1982-01-26,4.513254,4.627514,4.398995,4.456124,1.374138,329513
1982-01-27,4.541819,4.627514,4.456124,4.627514,1.426988,160162
1982-01-28,4.741773,4.798903,4.656079,4.741773,1.462222,301944
1982-01-29,4.856033,4.913163,4.798903,4.798903,1.479840,326012
1982-02-01,4.684644,4.741773,4.627514,4.656079,1.435797,123841
1982-02-02,4.627514,4.656079,4.570384,4.570384,1.409371,227990
1982-02-03,4.541819,4.627514,4.456124,4.513254,1.391755,197358
1982-02-04,4.541819,4.570384,4.484689,4.541819,1.400563,176353
1982-02-05,4.513254,4.570384,4.456124,4.484689,1.388535,123841
1982-02-08,4.398995,4.484689,4.284735,4.284735,1.326626,328638
1982-02-09,4.284735,4.341865,4.199040,4.256170,1.317782,207860
1982-02-10,4.170475,4.313300,3.999086,4.056216,1.255873,397778
1982-02-11,4.084781,4.170475,3.970521,4.027651,1.247029,400842
1982-02-12,4.170475,4.227605,4.084781,4.113346,1.273561,541311
1982-02-16,4.056216,4.113346,3.970521,4.084781,1.264717,231053
1982-02-17,4.141910,4.170475,4.084781,4.084781,1.264717,408281
1982-02-18,4.199040,4.256170,4.141910,4.227605,1.308937,163225
1982-02-19,4.199040,4.227605,4.141910,4.199040,1.300093,138282
