Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1995-06-16,7.5,8.0,7.4375,7.5,6.882801,6212400,WAB
1995-06-19,7.5625,7.625,7.0625,7.1875,6.596018,1528200,WAB
1995-06-20,7.25,7.3125,7.1875,7.1875,6.596018,863000,WAB
1995-06-21,7.25,7.25,7.0,7.0625,6.481305,629000,WAB
1995-06-22,7.0625,7.5625,7.0,7.3125,6.710732,546200,WAB
1995-06-23,7.375,7.4375,7.25,7.3125,6.710732,365000,WAB
1995-06-26,7.3125,7.375,7.0,7.0625,6.481305,515400,WAB
1995-06-27,7.125,7.125,7.0,7.0,6.423947,270800,WAB
1995-06-28,7.0625,7.0625,7.0,7.0,6.423947,500400,WAB
1995-06-29,7.0,7.125,7.0,7.0,6.423947,309200,WAB
1995-06-30,7.0625,7.1875,7.0625,7.125,6.538663,95000,WAB
1995-07-03,7.0625,7.125,7.0625,7.0625,6.481305,9200,WAB
1995-07-05,7.125,7.125,7.0625,7.0625,6.481305,75600,WAB
1995-07-06,7.0625,7.125,7.0625,7.0625,6.481305,81400,WAB
1995-07-07,7.0625,7.625,7.0625,7.5625,6.94016,475000,WAB
1995-07-10,7.5,7.75,7.5,7.75,7.11223,241400,WAB
1995-07-11,7.625,8.5625,7.625,8.5,7.800509,538600,WAB
1995-07-12,8.5,9.0625,8.375,9.0,8.259365,496200,WAB
1995-07-13,9.0,9.0,8.8125,8.9375,8.202007,384000,WAB
1995-07-14,8.9375,8.9375,8.75,8.9375,8.202007,102200,WAB
1995-07-17,9.0625,9.5,9.0625,9.4375,8.66086,480200,WAB
1995-07-18,9.4375,9.4375,9.0,9.0625,8.31672,359200,WAB
1995-07-19,9.0,9.0,8.8125,8.875,8.144649,101600,WAB
1995-07-20,8.75,8.75,8.4375,8.6875,7.972582,119600,WAB
1995-07-21,8.75,8.75,8.6875,8.6875,7.972582,13000,WAB
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.857862,112000,WAB
1995-07-25,8.5625,8.8125,8.5625,8.75,8.029936,201000,WAB
1995-07-26,8.875,9.1875,8.875,9.125,8.374075,287800,WAB
1995-07-27,9.1875,9.375,9.1875,9.3125,8.546148,101600,WAB
1995-07-28,9.375,9.4375,9.3125,9.3125,8.546148,100400,WAB
1995-07-31,9.375,9.375,9.0625,9.25,8.488785,60800,WAB
1995-08-01,9.1875,9.1875,9.0,9.0625,8.31672,57600,WAB
1995-08-02,9.0,9.0,8.875,8.875,8.144649,41000,WAB
1995-08-03,8.8125,8.8125,8.75,8.75,8.029936,12600,WAB
1995-08-04,8.625,8.6875,8.5625,8.625,7.915224,9000,WAB
1995-08-07,8.5625,8.75,8.5625,8.6875,7.972582,12200,WAB
1995-08-08,8.625,8.6875,8.5625,8.5625,7.857862,3200,WAB
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.513724,24000,WAB
1995-08-10,8.25,8.25,8.125,8.125,7.456369,6800,WAB
1995-08-11,8.125,8.125,8.125,8.125,7.456369,10000,WAB
1995-08-14,8.0625,8.125,7.9375,8.0,7.341654,28200,WAB
1995-08-15,8.0,8.0625,8.0,8.0,7.341654,9400,WAB
1995-08-16,8.0625,8.25,8.0625,8.1875,7.513724,11800,WAB
1995-08-17,8.1875,8.3125,8.1875,8.25,7.571083,6200,WAB
1995-08-18,8.375,8.375,8.25,8.25,7.571083,9800,WAB
1995-08-21,8.25,8.4375,8.25,8.375,7.685794,8600,WAB
1995-08-22,8.3125,8.4375,8.3125,8.4375,7.743152,12400,WAB
1995-08-23,8.5,8.6875,8.5,8.5625,7.857862,28800,WAB
1995-08-24,8.625,8.75,8.625,8.75,8.029936,16200,WAB
1995-08-25,8.625,8.625,8.5625,8.5625,7.857862,30200,WAB
1995-08-28,8.5625,8.5625,8.4375,8.4375,7.743152,9200,WAB
1995-08-29,8.375,8.375,8.1875,8.1875,7.513724,9200,WAB
1995-08-30,8.25,8.25,8.1875,8.1875,7.513724,1400,WAB
1995-08-31,8.125,8.1875,8.125,8.125,7.456369,13800,WAB
1995-09-01,8.0,8.0625,8.0,8.0625,7.399011,9200,WAB
1995-09-05,8.0,8.0625,8.0,8.0,7.341654,12200,WAB
1995-09-06,7.9375,8.0625,7.8125,7.8125,7.169584,23400,WAB
1995-09-07,7.8125,7.875,7.625,7.75,7.11223,48800,WAB
1995-09-08,7.75,8.0,7.75,7.9375,7.284298,140200,WAB
1995-09-11,7.9375,7.9375,7.8125,7.875,7.226941,104000,WAB
1995-09-12,7.9375,8.0,7.9375,8.0,7.341654,11000,WAB
1995-09-13,8.125,8.125,7.8125,7.8125,7.169584,14600,WAB
1995-09-14,7.625,7.8125,7.625,7.8125,7.169584,14800,WAB
1995-09-15,7.75,7.75,7.6875,7.75,7.11223,6200,WAB
1995-09-18,7.75,7.75,7.5,7.5,6.882801,41600,WAB
1995-09-19,7.5625,7.625,7.5,7.5,6.882801,5000,WAB
1995-09-20,7.5,7.5,7.1875,7.25,6.653375,20800,WAB
1995-09-21,7.1875,7.375,7.125,7.375,6.768088,61000,WAB
1995-09-22,7.4375,7.5,7.375,7.375,6.768088,53400,WAB
1995-09-25,7.4375,7.5,7.3125,7.3125,6.710732,28200,WAB
1995-09-26,7.25,7.375,7.125,7.3125,6.710732,265000,WAB
1995-09-27,7.3125,7.3125,7.0625,7.0625,6.481305,95200,WAB
1995-09-28,7.125,7.1875,7.0625,7.1875,6.596018,68600,WAB
1995-09-29,7.125,7.1875,7.125,7.1875,6.596018,12200,WAB
1995-10-02,7.1875,7.1875,7.0625,7.125,6.538663,77400,WAB
1995-10-03,7.125,7.125,6.75,6.75,6.194521,141400,WAB
1995-10-04,6.625,6.625,6.5625,6.5625,6.022452,49000,WAB
1995-10-05,6.4375,7.375,6.4375,7.375,6.768088,180400,WAB
1995-10-06,7.5625,7.5625,7.4375,7.5625,6.94016,64800,WAB
1995-10-09,7.5,7.5,7.3125,7.3125,6.710732,46200,WAB
1995-10-10,7.3125,7.3125,7.25,7.3125,6.710732,22800,WAB
1995-10-11,7.3125,7.3125,7.3125,7.3125,6.710732,3400,WAB
1995-10-12,7.375,7.4375,7.3125,7.375,6.768088,20200,WAB
1995-10-13,7.4375,7.5,7.4375,7.5,6.882801,6800,WAB
1995-10-16,7.5,7.5,7.4375,7.4375,6.825445,7400,WAB
1995-10-17,7.4375,7.5,7.25,7.3125,6.710732,264800,WAB
1995-10-18,7.25,7.25,6.75,6.75,6.194521,54400,WAB
1995-10-19,6.75,6.875,6.625,6.75,6.194521,108800,WAB
1995-10-20,6.75,6.75,6.5,6.5,5.965092,17000,WAB
1995-10-23,6.3125,6.4375,6.25,6.3125,5.793026,414800,WAB
1995-10-24,6.3125,6.375,6.25,6.25,5.735669,174400,WAB
1995-10-25,6.3125,6.375,6.1875,6.375,5.850383,941600,WAB
1995-10-26,6.4375,6.4375,6.1875,6.1875,5.678312,50000,WAB
1995-10-27,6.1875,6.1875,6.0,6.0,5.506242,64400,WAB
1995-10-30,6.0,6.0,5.0625,5.125,4.70325,244400,WAB
1995-10-31,5.125,5.125,4.3125,4.375,4.014968,1446200,WAB
1995-11-01,4.375,4.5625,4.3125,4.5,4.129683,787000,WAB
1995-11-02,4.5,4.6875,4.5,4.6875,4.30175,427800,WAB
1995-11-03,4.75,5.125,4.6875,5.125,4.70325,153400,WAB
1995-11-06,5.25,5.3125,4.8125,4.875,4.473823,100200,WAB
1995-11-07,4.875,4.9375,4.8125,4.875,4.473823,32600,WAB
1995-11-08,4.9375,5.0,4.875,4.9375,4.53118,60800,WAB
1995-11-09,5.0,5.0,4.75,4.75,4.359108,37200,WAB
1995-11-10,4.75,4.8125,4.5625,4.5625,4.187037,71400,WAB
1995-11-13,4.5625,4.5625,4.375,4.4375,4.07679,59200,WAB
1995-11-14,4.5,4.6875,4.4375,4.5,4.134213,82600,WAB
1995-11-15,4.4375,4.5625,4.4375,4.5,4.134213,21400,WAB
1995-11-16,4.5,4.5625,4.4375,4.5625,4.19163,19400,WAB
1995-11-17,4.5625,4.5625,4.4375,4.4375,4.07679,23400,WAB
1995-11-20,4.5,4.625,4.4375,4.5625,4.19163,29200,WAB
1995-11-21,4.625,4.625,4.4375,4.625,4.249049,50200,WAB
1995-11-22,4.625,4.6875,4.5,4.5625,4.19163,70600,WAB
1995-11-24,4.5625,4.5625,4.5,4.5625,4.19163,22400,WAB
1995-11-27,4.625,4.625,4.5,4.5,4.134213,151200,WAB
1995-11-28,4.4375,4.5625,4.375,4.5625,4.19163,590800,WAB
1995-11-29,4.625,4.625,4.5625,4.625,4.249049,18800,WAB
1995-11-30,4.6875,4.75,4.625,4.625,4.249049,137400,WAB
1995-12-01,4.625,4.6875,4.625,4.6875,4.306468,145200,WAB
1995-12-04,4.625,4.6875,4.625,4.6875,4.306468,15800,WAB
1995-12-05,4.6875,4.6875,4.4375,4.4375,4.07679,36200,WAB
1995-12-06,4.4375,4.5,4.3125,4.3125,3.961954,41400,WAB
1995-12-07,4.375,4.5,4.3125,4.5,4.134213,124800,WAB
1995-12-08,4.4375,4.5,4.375,4.4375,4.07679,68600,WAB
1995-12-11,4.375,4.4375,4.375,4.375,4.019372,36600,WAB
1995-12-12,4.4375,4.5,4.4375,4.4375,4.07679,29800,WAB
1995-12-13,4.4375,4.4375,4.375,4.375,4.019372,72400,WAB
1995-12-14,4.4375,4.4375,4.3125,4.375,4.019372,400200,WAB
