Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1980-03-17,0.0,2.222222,2.194444,2.208333,0.51045,183600,WEC
1980-03-18,0.0,2.25,2.194444,2.236111,0.516871,73800,WEC
1980-03-19,0.0,2.277778,2.236111,2.277778,0.526502,164700,WEC
1980-03-20,0.0,2.333333,2.277778,2.333333,0.539344,87300,WEC
1980-03-21,0.0,2.375,2.361111,2.361111,0.545764,104400,WEC
1980-03-24,0.0,2.375,2.277778,2.277778,0.526502,129600,WEC
1980-03-25,0.0,2.263889,2.236111,2.25,0.520081,299700,WEC
1980-03-26,0.0,2.291667,2.25,2.277778,0.526502,114300,WEC
1980-03-27,0.0,2.277778,2.25,2.263889,0.523291,54000,WEC
1980-03-28,0.0,2.25,2.208333,2.25,0.520081,144000,WEC
1980-03-31,0.0,2.263889,2.236111,2.263889,0.523291,184500,WEC
1980-04-01,0.0,2.333333,2.263889,2.333333,0.539344,120600,WEC
1980-04-02,0.0,2.430556,2.361111,2.430556,0.561817,90900,WEC
1980-04-03,0.0,2.541667,2.444444,2.541667,0.587499,25200,WEC
1980-04-07,0.0,2.541667,2.527778,2.527778,0.584289,34200,WEC
1980-04-08,0.0,2.541667,2.486111,2.541667,0.587499,68400,WEC
1980-04-09,0.0,2.625,2.541667,2.611111,0.603551,168300,WEC
1980-04-10,0.0,2.75,2.680556,2.680556,0.619603,183600,WEC
1980-04-11,0.0,2.708333,2.666667,2.666667,0.616393,174600,WEC
1980-04-14,0.0,2.680556,2.638889,2.666667,0.616393,351900,WEC
1980-04-15,0.0,2.652778,2.583333,2.583333,0.59713,85500,WEC
1980-04-16,0.0,2.777778,2.597222,2.722222,0.629234,323100,WEC
1980-04-17,0.0,2.722222,2.666667,2.722222,0.629234,307800,WEC
1980-04-18,0.0,2.75,2.694444,2.708333,0.626024,48600,WEC
1980-04-21,0.0,2.708333,2.666667,2.666667,0.616393,44100,WEC
1980-04-22,0.0,2.680556,2.652778,2.680556,0.619603,216900,WEC
