Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1973-02-21,0.0,16.5,15.9375,16.0,5.188264,69200,WHR
1973-02-22,0.0,16.0,15.8125,15.8125,5.127462,79600,WHR
1973-02-23,0.0,15.9375,15.0625,15.25,4.945064,158000,WHR
1973-02-26,0.0,15.25,15.0,15.25,4.945064,50200,WHR
1973-02-27,0.0,15.375,14.875,14.875,4.823463,17800,WHR
1973-02-28,0.0,15.375,15.0,15.125,4.904529,103800,WHR
1973-03-01,0.0,15.25,15.0,15.1875,4.924798,81000,WHR
1973-03-02,0.0,15.1875,14.875,15.1875,4.924798,16600,WHR
1973-03-05,0.0,15.4375,15.125,15.25,4.945064,10200,WHR
1973-03-06,0.0,16.125,15.375,15.875,5.147729,47000,WHR
1973-03-07,0.0,16.1875,15.625,16.1875,5.249064,43200,WHR
1973-03-08,0.0,16.3125,16.125,16.3125,5.289597,12600,WHR
1973-03-09,0.0,16.3125,16.1875,16.1875,5.249064,10800,WHR
1973-03-12,0.0,16.3125,16.0,16.3125,5.289597,8400,WHR
1973-03-13,0.0,16.6875,16.375,16.6875,5.411194,18600,WHR
1973-03-14,0.0,17.0,16.8125,17.0,5.512528,43400,WHR
1973-03-15,0.0,17.0,16.6875,16.8125,5.451733,11800,WHR
1973-03-16,0.0,16.75,16.1875,16.375,5.309866,69200,WHR
1973-03-19,0.0,16.25,15.625,15.625,5.066661,8200,WHR
1973-03-20,0.0,15.5,15.125,15.5,5.026127,76400,WHR
1973-03-21,0.0,15.625,15.25,15.25,4.945064,11000,WHR
1973-03-22,0.0,15.375,15.125,15.125,4.904529,13400,WHR
1973-03-23,0.0,15.1875,15.0,15.0625,4.884264,30400,WHR
1973-03-26,0.0,15.1875,15.0,15.1875,4.924798,26400,WHR
1973-03-27,0.0,16.375,15.25,16.125,5.228796,30200,WHR
1973-03-28,0.0,16.5,16.0,16.5,5.350397,33800,WHR
1973-03-29,0.0,16.5,16.3125,16.3125,5.289597,38800,WHR
1973-03-30,0.0,16.0625,15.75,15.8125,5.127462,24400,WHR
1973-04-02,0.0,15.5,15.4375,15.4375,5.00586,20800,WHR
1973-04-03,0.0,15.375,15.0,15.0625,4.884264,33200,WHR
1973-04-04,0.0,15.125,14.75,15.0,4.863993,16800,WHR
1973-04-05,0.0,15.0625,14.625,15.0,4.863993,27200,WHR
1973-04-06,0.0,15.5,14.75,15.0,4.863993,29600,WHR
1973-04-09,0.0,15.0625,14.875,14.875,4.823463,46200,WHR
1973-04-10,0.0,15.375,15.0,15.25,4.945064,34600,WHR
1973-04-11,0.0,15.75,15.375,15.75,5.107193,18200,WHR
1973-04-12,0.0,16.5,15.8125,16.125,5.228796,20200,WHR
1973-04-13,0.0,16.625,16.0,16.5625,5.370661,14800,WHR
1973-04-16,0.0,16.6875,16.125,16.125,5.228796,18200,WHR
1973-04-17,0.0,16.5,16.25,16.5,5.350397,16000,WHR
1973-04-18,0.0,16.5,16.375,16.375,5.309866,16600,WHR
1973-04-19,0.0,16.75,16.5,16.5,5.350397,19800,WHR
1973-04-23,0.0,16.0,15.875,15.875,5.147729,59200,WHR
1973-04-24,0.0,15.9375,15.75,15.75,5.107193,6200,WHR
1973-04-25,0.0,15.75,15.0,15.0,4.863993,57000,WHR
1973-04-26,0.0,15.125,14.75,14.8125,4.803196,65400,WHR
1973-04-27,0.0,14.8125,14.25,14.25,4.620793,64000,WHR
