Date,Open,High,Low,Close,Adj Close,Volume,Symbol
1997-09-17,5.167146,5.436736,5.167146,5.234543,3.757806,29185406,YUM
1997-09-18,5.301941,5.41427,5.257009,5.41427,3.886832,6731884,YUM
1997-09-19,5.403037,5.571531,5.403037,5.436736,3.902959,3440221,YUM
1997-09-22,5.391804,5.459202,5.380572,5.391804,3.870702,5831072,YUM
1997-09-23,5.391804,5.41427,5.380572,5.391804,3.870702,2738601,YUM
1997-09-24,5.403037,5.41427,5.380572,5.391804,3.870702,2575576,YUM
1997-09-25,5.391804,5.470435,5.391804,5.470435,3.927152,1005971,YUM
1997-09-26,5.459202,5.616463,5.447969,5.60523,4.023918,1636372,YUM
1997-09-29,5.616463,5.683861,5.616463,5.683861,4.080366,1708148,YUM
1997-09-30,5.740025,5.998382,5.728792,5.818656,4.177137,4639263,YUM
1997-10-01,5.829889,5.829889,5.571531,5.571531,3.999724,3525907,YUM
1997-10-02,5.593997,5.60523,5.481668,5.549065,3.983598,1870617,YUM
1997-10-03,5.60523,5.661395,5.571531,5.627696,4.040047,2065357,YUM
1997-10-06,5.60523,5.79619,5.60523,5.751258,4.128748,7842458,YUM
1997-10-07,5.79619,5.886053,5.504134,5.593997,4.015855,21602230,YUM
1997-10-08,5.593997,5.616463,5.481668,5.515367,3.959408,16664736,YUM
1997-10-09,5.504134,5.751258,5.403037,5.740025,4.120687,12844494,YUM
1997-10-10,5.549065,5.740025,5.5266,5.672628,4.072303,10308979,YUM
1997-10-13,5.683861,5.762491,5.672628,5.762491,4.136815,10520968,YUM
1997-10-14,5.717559,5.829889,5.706326,5.728792,4.11262,17077029,YUM
1997-10-15,5.593997,5.717559,5.593997,5.706326,4.096494,9048733,YUM
1997-10-16,5.751258,5.773724,5.661395,5.706326,4.096494,9002552,YUM
1997-10-17,5.616463,5.638929,5.447969,5.60523,4.023918,6431428,YUM
1997-10-20,5.582764,5.829889,5.582764,5.79619,4.161006,7995468,YUM
1997-10-21,5.751258,6.14441,5.751258,6.032081,4.330348,9219548,YUM
1997-10-22,5.930985,5.998382,5.863587,5.930985,4.257773,5610738,YUM
1997-10-23,5.841121,5.942218,5.79619,5.930985,4.257773,7688892,YUM
1997-10-24,5.942218,5.975917,5.829889,5.930985,4.257773,5598497,YUM
1997-10-27,5.841121,5.852354,5.504134,5.593997,4.015855,6699056,YUM
1997-10-28,5.41427,5.683861,5.234543,5.560298,3.991662,4660406,YUM
1997-10-29,5.582764,5.661395,5.425503,5.447969,3.911023,3286098,YUM
1997-10-30,5.234543,5.425503,5.234543,5.301941,3.806191,4901884,YUM
1997-10-31,5.301941,5.481668,5.290708,5.447969,3.911023,5334207,YUM
1997-11-03,5.481668,5.5266,5.403037,5.481668,3.935214,5457171,YUM
1997-11-04,5.436736,5.492901,5.369339,5.41427,3.886832,5849990,YUM
1997-11-05,5.391804,5.481668,5.369339,5.425503,3.894895,6204973,YUM
1997-11-06,5.436736,5.751258,5.41427,5.683861,4.080366,6185499,YUM
1997-11-07,5.661395,5.829889,5.571531,5.751258,4.128748,6055858,YUM
1997-11-10,5.79619,6.178109,5.773724,6.077013,4.362607,5481653,YUM
1997-11-11,5.886053,6.043314,5.886053,6.020848,4.322286,4125150,YUM
1997-11-12,5.975917,6.020848,5.897286,5.897286,4.233582,4147406,YUM
