NumWorkers,Batch_Size,TotalMetrics,MetricsPerSec,RowsPerSec,TotalRows,TimeStamp,Try,Latency
1,2269,18152.0,3314.5777721084846,414.3222215135606,2269.0,2022-12-05 21:31:57.432248,1,5.47641396522522
5,453,18152.0,3241.9046688916374,405.23808361145467,2269.0,2022-12-05 21:32:03.355880,1,5.599177598953247
10,226,18152.0,3006.6755896624077,375.83444870780096,2269.0,2022-12-05 21:32:09.703759,1,6.0372326374053955
20,113,18152.0,3172.4875620663274,396.56094525829093,2269.0,2022-12-05 21:32:15.762975,1,5.72169303894043
1,20151,161208.0,6125.401879046236,765.6752348807795,20151.0,2022-12-05 21:32:42.456016,1,26.317946672439575
5,4030,161208.0,5791.3156087048,723.9144510881,20151.0,2022-12-05 21:33:11.099227,1,27.836162090301514
10,2015,161208.0,5869.5271041745,733.6908880218125,20151.0,2022-12-05 21:33:39.347297,1,27.465245008468628
20,1007,161208.0,5835.4605221257525,729.4325652657191,20151.0,2022-12-05 21:34:07.766317,1,27.625583171844482
1,63153,505224.0,7251.879504780836,906.4849380976045,63153.0,2022-12-05 21:35:18.362295,1,69.66800808906555
5,12630,505224.0,6681.394506916357,835.1743133645447,63153.0,2022-12-05 21:36:35.561654,1,75.6165497303009
10,6315,505224.0,6622.996251926957,827.8745314908696,63153.0,2022-12-05 21:37:53.390403,1,76.28329849243164
20,3157,505224.0,6534.553028765573,816.8191285956966,63153.0,2022-12-05 21:39:12.663983,1,77.31577014923096
1,2269,18152.0,3304.308121640194,413.0385152050242,2269.0,2022-12-05 21:39:19.488117,1,5.493434429168701
5,453,18152.0,3263.732881393423,407.9666101741779,2269.0,2022-12-05 21:39:25.469894,1,5.561729669570923
10,226,18152.0,3227.068590980205,403.38357387252563,2269.0,2022-12-05 21:39:31.408201,1,5.624919176101685
20,113,18152.0,3257.4721063544125,407.18401329430156,2269.0,2022-12-05 21:39:37.328885,1,5.572419166564941
1,20151,161208.0,5986.357368634008,748.294671079251,20151.0,2022-12-05 21:40:04.641556,1,26.92923092842102
5,4030,161208.0,5765.5972835337025,720.6996604417128,20151.0,2022-12-05 21:40:33.394584,1,27.96032953262329
10,2015,161208.0,5919.246165240442,739.9057706550552,20151.0,2022-12-05 21:41:01.424784,1,27.234549045562744
20,1007,161208.0,5813.844748179371,726.7305935224214,20151.0,2022-12-05 21:41:29.948768,1,27.728294610977173
1,63153,505224.0,7258.875985896194,907.3594982370242,63153.0,2022-12-05 21:42:40.466114,1,69.60085844993591
5,12630,505224.0,6651.249882063885,831.4062352579856,63153.0,2022-12-05 21:43:58.000069,1,75.95925712585449
10,6315,505224.0,6497.6830488078795,812.2103811009849,63153.0,2022-12-05 21:45:17.302764,1,77.75448513031006
20,3157,505224.0,6690.147588681922,836.2684485852402,63153.0,2022-12-05 21:46:34.423829,1,75.51761651039124
1,2269,18152.0,3248.5623489457034,406.07029361821293,2269.0,2022-12-05 21:46:41.387295,1,5.587702512741089
5,453,18152.0,3306.2154155825806,413.2769269478226,2269.0,2022-12-05 21:46:47.215050,1,5.490265369415283
10,226,18152.0,3229.743134500348,403.7178918125435,2269.0,2022-12-05 21:46:53.154806,1,5.620261192321777
20,113,18152.0,3147.5530761907876,393.44413452384845,2269.0,2022-12-05 21:46:59.271405,1,5.767019510269165
1,20151,161208.0,6154.025432329034,769.2531790411292,20151.0,2022-12-05 21:47:25.842013,1,26.195536851882935
5,4030,161208.0,5934.934127247402,741.8667659059253,20151.0,2022-12-05 21:47:53.801864,1,27.162559270858765
10,2015,161208.0,5872.698682787099,734.0873353483873,20151.0,2022-12-05 21:48:22.057042,1,27.450412273406982
20,1007,161208.0,5856.718061291058,732.0897576613822,20151.0,2022-12-05 21:48:50.376868,1,27.52531337738037
1,63153,505224.0,7085.174968225741,885.6468710282177,63153.0,2022-12-05 21:50:02.616761,1,71.30720162391663
5,12630,505224.0,6614.155736491361,826.7694670614201,63153.0,2022-12-05 21:51:20.577402,1,76.38525915145874
10,6315,505224.0,6599.527798979917,824.9409748724896,63153.0,2022-12-05 21:52:38.670581,1,76.55456805229187
20,3157,505224.0,6663.301251763737,832.9126564704671,63153.0,2022-12-05 21:53:56.074716,1,75.82187581062317
1,2269,18152.0,3167.88895567107,395.98611945888376,2269.0,2022-12-05 21:54:03.178242,1,5.729998826980591
5,453,18152.0,2767.3007974485367,345.9125996810671,2269.0,2022-12-05 21:54:10.158815,1,6.559460401535034
10,226,18152.0,3059.112536719091,382.3890670898864,2269.0,2022-12-05 21:54:16.420246,1,5.933747053146362
20,113,18152.0,3203.187334505332,400.3984168131665,2269.0,2022-12-05 21:54:22.428085,1,5.666855573654175
1,20151,161208.0,6265.1428895468,783.14286119335,20151.0,2022-12-05 21:54:48.538106,1,25.730937480926514
5,4030,161208.0,5781.437085440729,722.6796356800911,20151.0,2022-12-05 21:55:17.247726,1,27.883724689483643
